 	monsieur	ndombi	est	arrivé	au	village	</S>
a87	0.543673	0.193144	0.0969929	0.0576598	0.0391847	0.0379211	0.0314247
a99	0.17107	0.191373	0.117828	0.103384	0.115793	0.110694	0.189858
a75	0.443976	0.241212	0.0751707	0.0474548	0.0574803	0.0584618	0.076245
a85	0.378714	0.149578	0.0749966	0.0620899	0.0777197	0.100353	0.156549
a37	0.407275	0.190611	0.121674	0.0829467	0.0643962	0.0560299	0.0770671
a98	0.477615	0.237286	0.108153	0.0578821	0.0407704	0.0361958	0.042098
a44	0.460526	0.200417	0.101103	0.0699121	0.0507286	0.0539203	0.0633928
a70	0.340437	0.262948	0.160091	0.0938587	0.0477631	0.0450898	0.0498132
a98	0.170202	0.208273	0.250262	0.190519	0.07742	0.0533665	0.049957
a37	0.160523	0.173437	0.22013	0.165347	0.0921849	0.0898845	0.0984942
a61	0.133627	0.139336	0.241322	0.207515	0.103548	0.0854131	0.0892377
a62	0.0491504	0.0760647	0.17781	0.222083	0.17051	0.152634	0.151749
a21	0.0344246	0.054885	0.135347	0.180981	0.176783	0.207467	0.210111
a85	0.0305979	0.034962	0.0817588	0.121111	0.180457	0.269348	0.281765
a73	0.0265462	0.0211822	0.0485946	0.0839667	0.146239	0.284303	0.389168
a2	0.00821404	0.00659014	0.0254131	0.0506689	0.116133	0.303512	0.489469
a57	0.00266121	0.00361766	0.00951414	0.02032	0.0677214	0.261714	0.634452
a4	0.00713361	0.0091849	0.0172678	0.0313737	0.0790734	0.274894	0.581073
a13	0.000964017	0.00216347	0.00740304	0.0169177	0.0593107	0.250597	0.662644
a9	0.00102892	0.00217597	0.0092158	0.0224141	0.075591	0.27679	0.612784
a87	0.00815205	0.00907163	0.0205078	0.0381838	0.0985227	0.306099	0.519463
a23	0.0647255	0.0497283	0.0674456	0.0960796	0.142431	0.2562	0.32339
a99	0.0131471	0.0133538	0.0274608	0.0491452	0.119742	0.304398	0.472754
a97	0.00338934	0.00448076	0.0123118	0.0242051	0.0863199	0.298003	0.57129
</S>	0.00609628	0.00997642	0.0190372	0.0327439	0.0818498	0.242646	0.60765
