 	le	soldat	qui	est	en	train	de	frapper	la	vieille	femme	dans	le	marché	n'	est	pas	miséricordieux	</S>
a85	0.107888	0.107357	0.0807468	0.0665301	0.0677337	0.0770308	0.102599	0.0920293	0.0546999	0.0394335	0.0268161	0.0242074	0.0306253	0.036617	0.0318845	0.0321316	0.0135584	0.00432804	0.0037841
a87	0.108456	0.113955	0.0893596	0.0803287	0.0763193	0.0539162	0.0643359	0.0496641	0.0420769	0.0343565	0.0248047	0.0232342	0.03002	0.0334101	0.0319725	0.0316097	0.0346444	0.0467227	0.0308132
a23	0.043007	0.0330738	0.0359981	0.0486661	0.0722395	0.0646272	0.0685821	0.071825	0.0801814	0.0751681	0.0599067	0.0368021	0.0486553	0.0325718	0.0419522	0.0515789	0.0361334	0.0276686	0.0713627
a87	0.0683972	0.0589899	0.06454	0.0750155	0.0799557	0.0527068	0.0512099	0.063191	0.102403	0.0670873	0.053227	0.0306236	0.0368421	0.0285172	0.0246354	0.0223661	0.01427	0.0267923	0.0792297
a82	0.0530088	0.0497423	0.0643704	0.0651185	0.0675956	0.0510614	0.0462884	0.0603085	0.0904725	0.0673447	0.0533446	0.0424923	0.0487807	0.0404044	0.0389162	0.045795	0.0359395	0.0343698	0.0446463
a87	0.0849537	0.0708865	0.086559	0.0980199	0.109093	0.0997601	0.084156	0.0903798	0.0855645	0.0482719	0.0251932	0.0158551	0.0141075	0.0126061	0.0112769	0.0116129	0.0103366	0.016818	0.0245494
a23	0.0951539	0.0810342	0.0830902	0.0828981	0.0833256	0.079141	0.0682415	0.0787107	0.091884	0.0554293	0.038278	0.0247326	0.0245689	0.0211505	0.020636	0.0226811	0.0159198	0.0153079	0.0178167
a87	0.119474	0.0982567	0.113847	0.121482	0.10945	0.0672371	0.0529921	0.0457944	0.0426357	0.0281561	0.0171686	0.0140929	0.0151792	0.0162197	0.0178074	0.0202844	0.0235368	0.0362098	0.0401752
a23	0.0761809	0.0673008	0.0803803	0.0965919	0.10525	0.0736332	0.0617318	0.0599238	0.0605513	0.0398067	0.0245926	0.0192405	0.0189809	0.0217072	0.0241408	0.0248477	0.0310808	0.0554491	0.0586097
a79	0.111771	0.101115	0.115456	0.116008	0.0992457	0.0588269	0.0466245	0.0407358	0.0361016	0.0262121	0.0166987	0.0130178	0.0124506	0.0149678	0.0176318	0.0192641	0.0279379	0.0637622	0.0621729
a69	0.133118	0.149749	0.167629	0.100405	0.0725777	0.0511222	0.0376985	0.0350341	0.0336917	0.0376351	0.0208454	0.0141534	0.0127687	0.0136913	0.0104362	0.0103778	0.012223	0.0364934	0.0503494
a94	0.0689173	0.0967323	0.138711	0.0865881	0.0653643	0.0502676	0.0426697	0.0439117	0.0602754	0.0663732	0.0443582	0.0358149	0.0332673	0.037375	0.0241346	0.0194172	0.015127	0.0312451	0.0394501
a90	0.0298317	0.0499796	0.0930664	0.0696112	0.0598523	0.0506833	0.0462957	0.0504242	0.0792918	0.0853225	0.0658873	0.0604772	0.053447	0.0561179	0.0349239	0.0266547	0.0213841	0.031497	0.035252
a92	0.0144532	0.0212409	0.0409631	0.0404897	0.0459682	0.0448925	0.04509	0.0523347	0.0918256	0.106168	0.0883183	0.0837907	0.0746698	0.0776316	0.051778	0.0381488	0.026746	0.0219416	0.0335491
a96	0.00975875	0.0110831	0.0216585	0.0279027	0.035378	0.0343829	0.035547	0.0430965	0.0842368	0.102455	0.100735	0.0963469	0.0894954	0.0866395	0.0636079	0.0491999	0.0379227	0.0250136	0.0455391
