 	j'	ai	mangé	le	koko	à	la	sauce	d'	arachide	</S>
a66	0.231801	0.131179	0.112218	0.112238	0.101805	0.110775	0.0872145	0.0454799	0.0291876	0.0232332	0.0148683
a87	0.151409	0.107391	0.070693	0.0749734	0.0728744	0.0709704	0.0701272	0.0613402	0.0777025	0.111685	0.130834
a23	0.305259	0.180252	0.0827859	0.0633343	0.0531515	0.045495	0.0405244	0.0299102	0.041722	0.0739792	0.0835862
a83	0.309537	0.186231	0.0973409	0.0782916	0.0627461	0.0480435	0.0382674	0.0297981	0.0388249	0.0597925	0.0511275
a31	0.169343	0.108964	0.0926458	0.0849582	0.078177	0.0731996	0.0573381	0.0585516	0.0762542	0.107296	0.0932723
a12	0.184474	0.171819	0.166434	0.107238	0.0829171	0.0651587	0.0518358	0.0379738	0.038523	0.0511487	0.0424781
a31	0.212941	0.229293	0.220266	0.102076	0.0630106	0.0453976	0.0344514	0.022368	0.0201236	0.0267093	0.023364
a47	0.217509	0.230773	0.237002	0.093637	0.0604232	0.0444102	0.0350169	0.0201279	0.017381	0.021174	0.0225458
a96	0.150623	0.142299	0.215972	0.129518	0.0978625	0.0857468	0.0629958	0.0327253	0.026796	0.0295053	0.0259567
a70	0.0926078	0.0955858	0.163741	0.121362	0.108999	0.0981762	0.0892722	0.0637955	0.0553427	0.0563653	0.0547526
a96	0.0547156	0.0427211	0.0688228	0.0936896	0.10841	0.11342	0.1068	0.100887	0.0930671	0.107485	0.109982
a56	0.0600067	0.0438156	0.0649228	0.0916324	0.109978	0.11963	0.114057	0.107093	0.0912296	0.0985731	0.0990608
a43	0.0684569	0.0437853	0.0438244	0.0626312	0.0740203	0.097046	0.112186	0.133797	0.12571	0.120317	0.118226
a75	0.0210405	0.010834	0.012331	0.0233194	0.0356956	0.0644857	0.0845082	0.137991	0.16915	0.210292	0.230353
a92	0.0132389	0.00658682	0.00728299	0.0123087	0.0167042	0.0413837	0.0710527	0.160645	0.213193	0.232983	0.224621
a96	0.0104013	0.00557416	0.00655316	0.0105388	0.0136813	0.0335272	0.0609513	0.144625	0.211636	0.240507	0.262005
a70	0.00350188	0.00171425	0.00186559	0.00319564	0.00526626	0.016215	0.0342192	0.106957	0.18504	0.272042	0.369983
a4	0.00148403	0.00089422	0.00104278	0.00177098	0.00329798	0.0111936	0.0260529	0.0875325	0.174885	0.268693	0.423153
a13	0.00114388	0.000607675	0.000672464	0.00097099	0.00134912	0.00449512	0.0114517	0.0589156	0.158523	0.281426	0.480445
a9	0.00154221	0.000994621	0.00125322	0.00193535	0.00249686	0.00681662	0.0160464	0.0605297	0.164668	0.273124	0.470592
a3	0.0402256	0.0185331	0.0140503	0.0135157	0.0140892	0.0213282	0.0307728	0.0616344	0.149977	0.242125	0.393749
a97	0.13947	0.0778651	0.0403365	0.0319499	0.0277614	0.0317182	0.0418166	0.0632354	0.123695	0.197049	0.225103
a99	0.14231	0.084079	0.0421546	0.0323579	0.0288459	0.0332922	0.0452681	0.0653627	0.119002	0.193726	0.213603
a3	0.0985723	0.0578789	0.0322067	0.0208037	0.0167784	0.0189998	0.0275532	0.0511088	0.110786	0.230574	0.334738
a97	0.0863737	0.0579259	0.0409312	0.0311103	0.0261186	0.032669	0.041007	0.0581244	0.108645	0.207131	0.309963
</S>	0.12645	0.0838032	0.0552263	0.0392638	0.0322089	0.0386313	0.0441025	0.0521972	0.0919967	0.176443	0.259678
