 	le	pancréas	du	porc	est	gros	</S>
a66	0.41015	0.190003	0.0912074	0.122378	0.0916024	0.0578264	0.0368331
a87	0.407553	0.0967508	0.129417	0.141663	0.0930963	0.0728002	0.0587192
a23	0.376645	0.349139	0.169608	0.0457561	0.021613	0.0196798	0.0175584
a62	0.251227	0.443584	0.209716	0.043284	0.0188365	0.0169576	0.0163953
a88	0.361049	0.476315	0.0997575	0.0282951	0.0126527	0.0116383	0.0102922
a62	0.303815	0.345263	0.187122	0.108324	0.0302415	0.016089	0.00914518
a21	0.221127	0.290466	0.294207	0.12872	0.0326887	0.0195352	0.0132556
a5	0.120273	0.244538	0.371087	0.195247	0.0339984	0.0196643	0.0151925
a75	0.0907454	0.131794	0.333514	0.295803	0.0663126	0.0434939	0.0383371
a92	0.0886426	0.11379	0.334301	0.282221	0.0797874	0.0539977	0.0472608
a37	0.0965542	0.125052	0.302039	0.23939	0.112969	0.0717549	0.0522407
a44	0.0582864	0.0678221	0.219569	0.254269	0.164443	0.127534	0.108077
a34	0.0324149	0.0348458	0.0830867	0.176916	0.228316	0.234209	0.210211
a62	0.00965595	0.0115742	0.0234166	0.0836483	0.212055	0.309202	0.350448
a88	0.00194457	0.00246816	0.00522491	0.0294242	0.194525	0.362841	0.403572
a62	0.00136634	0.00126271	0.00300522	0.0259462	0.176901	0.368386	0.423132
a21	0.00118143	0.000944562	0.0031345	0.0217047	0.162395	0.38215	0.428489
a41	0.000284423	0.000292327	0.00151736	0.00766129	0.0798554	0.32457	0.585819
a18	0.000110281	9.77065e-05	0.000483257	0.00385759	0.0513738	0.289487	0.654591
a25	0.00191674	0.000428139	0.0020209	0.0149415	0.111364	0.324576	0.544752
a87	0.0580765	0.0246924	0.0350661	0.0602374	0.138505	0.271814	0.411609
a23	0.326571	0.103016	0.0752161	0.0539025	0.0906317	0.15679	0.193873
a87	0.0321168	0.0130624	0.0106521	0.0109352	0.0567365	0.241153	0.635344
a23	0.00326147	0.00220557	0.00233274	0.00551385	0.0612687	0.257588	0.66783
</S>	0.00434019	0.00355479	0.00616747	0.00779124	0.0587885	0.242463	0.676894
