 	cet	enfant	est	impoli	</S>
a66	0.281618	0.288178	0.295329	0.110303	0.0245717
a87	0.45072	0.271295	0.225466	0.0372148	0.0153043
a23	0.545237	0.295753	0.114821	0.0234219	0.0207668
a87	0.644358	0.268856	0.0534399	0.0103918	0.0229542
a23	0.598568	0.311615	0.0711811	0.00907361	0.00956156
a54	0.621912	0.234317	0.0700242	0.0247891	0.0489574
a36	0.396672	0.214994	0.213363	0.0955584	0.0794129
a6	0.170349	0.13916	0.291033	0.241219	0.158239
a79	0.0814936	0.093731	0.262359	0.366377	0.19604
a92	0.091437	0.129123	0.35624	0.288743	0.134458
a47	0.139812	0.184543	0.332881	0.223661	0.119104
a6	0.0888098	0.141122	0.342775	0.249149	0.178145
a36	0.0515595	0.0928495	0.285541	0.283101	0.286949
a11	0.0493635	0.0694088	0.206841	0.27692	0.397467
a75	0.0449073	0.0507334	0.118004	0.29692	0.489435
a6	0.0281135	0.0383886	0.104313	0.296742	0.532443
a36	0.0106244	0.0124741	0.0297764	0.193553	0.753572
a54	0.0258654	0.0251782	0.0303907	0.136832	0.781734
a0	0.00484524	0.00488635	0.00977109	0.118905	0.861592
a27	0.0118823	0.00850395	0.014776	0.105064	0.859773
a82	0.152	0.102512	0.103821	0.151444	0.490222
a87	0.308991	0.273581	0.164598	0.0939275	0.158902
a23	0.28152	0.277137	0.203262	0.0880736	0.150007
a87	0.203892	0.216844	0.203353	0.113237	0.262673
a23	0.063579	0.0574127	0.0515289	0.126074	0.701406
a87	0.078003	0.0829875	0.103751	0.180773	0.554485
</S>	0.0369665	0.0389265	0.044824	0.117678	0.761605
