 	il	n'	a	pas	répondu	quand	je	l'	ai	appelé	</S>
a66	0.25942	0.167046	0.131399	0.103269	0.0699625	0.0663733	0.0708733	0.0493554	0.0425437	0.0258531	0.0139043
a87	0.270655	0.200187	0.150622	0.101388	0.112353	0.0565871	0.0372554	0.0239746	0.0225479	0.0153378	0.00909111
a23	0.267222	0.22122	0.194594	0.140475	0.125805	0.0206793	0.0108242	0.00543822	0.00413028	0.00390726	0.00570533
a87	0.201579	0.193404	0.166335	0.131214	0.208199	0.0312838	0.0164385	0.0115342	0.0104191	0.0131628	0.0164314
a23	0.247135	0.191393	0.170848	0.129264	0.175851	0.0273625	0.0138795	0.00912816	0.0100191	0.0115975	0.0135236
a30	0.206301	0.167532	0.129959	0.108348	0.177407	0.0442233	0.0278159	0.0242273	0.0264771	0.0400529	0.0476566
a20	0.115445	0.122855	0.117905	0.135683	0.234019	0.0636778	0.0347548	0.0275532	0.0346299	0.0538969	0.0595803
a90	0.114136	0.150264	0.126005	0.122923	0.245363	0.0563928	0.0313566	0.0255058	0.0274655	0.0457894	0.0547979
a94	0.142737	0.203069	0.155583	0.127965	0.225226	0.0578821	0.0269199	0.0152008	0.0140876	0.0164727	0.014857
a93	0.0629488	0.0976228	0.110823	0.119368	0.306843	0.116691	0.0600204	0.0316845	0.0296688	0.0338171	0.0305116
a70	0.043892	0.0647554	0.0941508	0.113551	0.273466	0.144048	0.0904982	0.0484071	0.040801	0.043862	0.0425685
a50	0.0362429	0.047327	0.0760566	0.101532	0.235085	0.140643	0.114959	0.0652072	0.0509264	0.0607611	0.07126
a70	0.0421944	0.043086	0.0690315	0.0969421	0.167485	0.123608	0.121256	0.0764625	0.0611531	0.0805533	0.118228
a90	0.0310983	0.0329474	0.0594993	0.0871538	0.159416	0.155777	0.147475	0.0889892	0.0652993	0.0761131	0.096231
a54	0.0313703	0.0344739	0.0608667	0.09282	0.138452	0.158796	0.150453	0.102004	0.0788008	0.0756865	0.0762762
a5	0.0315862	0.0362585	0.0676996	0.104829	0.0940389	0.141308	0.153512	0.119216	0.102054	0.0811628	0.0683359
a12	0.016186	0.0176946	0.0291433	0.0494148	0.0493899	0.121774	0.169866	0.153106	0.130203	0.125182	0.13804
a96	0.0100758	0.0101991	0.0166136	0.0291405	0.029243	0.0958329	0.164398	0.154723	0.137029	0.159322	0.193423
a94	0.0071076	0.0073101	0.0130179	0.0241039	0.0235094	0.0847286	0.158454	0.15779	0.143572	0.175218	0.205188
