 	trop	de	saleté	abîme	les	habits	</S>
a66	0.198664	0.211845	0.310847	0.226336	0.0338365	0.0126919	0.00577995
a87	0.377304	0.257649	0.114325	0.131489	0.055997	0.0393714	0.0238656
a99	0.350447	0.256314	0.19281	0.111365	0.0406611	0.0284031	0.0199993
a87	0.414508	0.251084	0.219036	0.063272	0.0212045	0.0167731	0.0141234
a23	0.386718	0.251948	0.21135	0.0766799	0.0285399	0.0244055	0.0203586
a13	0.473567	0.250873	0.118818	0.0604921	0.0334171	0.0322256	0.0306073
a62	0.445731	0.25049	0.0912577	0.0725066	0.041304	0.0455813	0.05313
a88	0.335674	0.229593	0.137109	0.15797	0.0635838	0.0477013	0.0283685
a31	0.215887	0.189058	0.217749	0.217311	0.0741607	0.0526738	0.0331599
a21	0.105402	0.128643	0.261167	0.275802	0.113544	0.0705129	0.0449293
a47	0.0744896	0.101273	0.29037	0.349141	0.10632	0.0479755	0.0304296
a88	0.0927953	0.106356	0.291695	0.273652	0.12148	0.0664713	0.0475506
a21	0.051344	0.0752029	0.290304	0.305503	0.146623	0.0733496	0.0576733
a47	0.0554605	0.0811564	0.284782	0.351436	0.124602	0.0573355	0.0452279
a61	0.0499215	0.0722616	0.252829	0.282445	0.18298	0.0896237	0.0699388
a31	0.0488326	0.0735756	0.254729	0.293891	0.181664	0.0838373	0.0634701
a0	0.0211645	0.0373752	0.213577	0.29677	0.219413	0.118418	0.0932823
a47	0.0140291	0.0249013	0.218016	0.285358	0.21856	0.127747	0.111388
a88	0.017956	0.0316585	0.201429	0.246473	0.209962	0.149925	0.142597
a93	0.00795659	0.011819	0.151802	0.215871	0.233425	0.195105	0.184021
a96	0.00487964	0.00669348	0.0853304	0.159626	0.251324	0.265172	0.226975
a94	0.00475149	0.0058539	0.0609497	0.127607	0.22976	0.289205	0.281873
a24	0.0025522	0.00272275	0.0257825	0.0580778	0.160635	0.307143	0.443087
a0	0.000825599	0.000830659	0.00733841	0.0259511	0.122789	0.313797	0.528467
a31	0.00233258	0.00256349	0.0107658	0.0233704	0.108659	0.256342	0.595967
a88	0.000404465	0.000431924	0.0061274	0.0228389	0.126883	0.300929	0.542386
a75	0.000318998	0.000346687	0.00281388	0.00918646	0.0778506	0.243245	0.666238
a6	0.000162499	0.000164297	0.00134531	0.00542527	0.0555578	0.233809	0.703536
a36	6.61352e-05	5.81422e-05	0.000450115	0.00181636	0.0286732	0.171462	0.797474
a37	0.000445143	0.000446091	0.00150344	0.00509368	0.0434466	0.175896	0.773169
a36	0.000561022	0.000554915	0.00145764	0.00479869	0.0376459	0.171521	0.783461
a27	0.00551259	0.0049414	0.00636659	0.0132514	0.0736642	0.210923	0.685341
a82	0.0459303	0.0353088	0.0251874	0.0380051	0.128909	0.230182	0.496477
a10	0.154154	0.112775	0.0575569	0.0451777	0.096061	0.183122	0.351153
a97	0.164262	0.139809	0.092078	0.0720937	0.113311	0.177786	0.240659
a99	0.156117	0.126402	0.145894	0.111505	0.114483	0.149603	0.195997
a97	0.0627847	0.0480641	0.0715197	0.0600484	0.088355	0.226164	0.443064
a87	0.0322455	0.0264747	0.0556792	0.0478991	0.0783557	0.227732	0.531614
a97	0.034248	0.0360707	0.081232	0.0591253	0.0772656	0.199958	0.512101
a99	0.0356828	0.0362847	0.084143	0.0595155	0.0821194	0.213225	0.48903
a97	0.0281394	0.0305769	0.0603599	0.0527306	0.0936799	0.242938	0.491575
a87	0.0297817	0.034633	0.057027	0.0411237	0.0759778	0.215153	0.546304
</S>	0.0659456	0.0766755	0.100981	0.0534964	0.0734583	0.177982	0.451461
