 	nous	sommes	dans	la	maison	</S>
a66	0.454395	0.17804	0.0899997	0.0901753	0.100806	0.0865837
a87	0.230941	0.19419	0.171148	0.160208	0.157321	0.0861925
a23	0.415753	0.323498	0.132635	0.063696	0.0403219	0.0240957
a9	0.422617	0.33577	0.13164	0.0613442	0.0303698	0.0182593
a24	0.50191	0.32836	0.0997355	0.0386306	0.0196637	0.0117005
a88	0.319381	0.264281	0.183278	0.108164	0.0702267	0.0546693
a0	0.172858	0.202535	0.238882	0.187271	0.124398	0.0740556
a75	0.106396	0.138159	0.211558	0.221299	0.192525	0.130062
a47	0.11222	0.143406	0.182265	0.194124	0.189084	0.178901
a15	0.0565387	0.0846462	0.144682	0.199217	0.240792	0.274124
a7	0.0416132	0.0511617	0.0888628	0.147806	0.233746	0.436811
a44	0.0150471	0.0199804	0.0430585	0.099624	0.217922	0.604368
a54	0.0118286	0.013008	0.0325874	0.0897372	0.208125	0.644714
a6	0.0023558	0.00313848	0.0106443	0.0397059	0.145893	0.798263
a36	0.00118956	0.00193903	0.00730174	0.0277574	0.121357	0.840455
a26	0.00270413	0.00446178	0.0109508	0.0306569	0.116445	0.834781
a61	0.0781019	0.0622739	0.0673455	0.0987558	0.162949	0.530574
a88	0.0084365	0.0126587	0.0247257	0.0645009	0.175802	0.713876
a71	0.00734024	0.0096837	0.0204709	0.0503547	0.145916	0.766234
a9	0.0286366	0.0263143	0.0412104	0.0777427	0.16518	0.660916
a87	0.196846	0.12078	0.0901306	0.103423	0.147992	0.340828
a23	0.16961	0.128718	0.100395	0.113121	0.166073	0.322082
a87	0.0787001	0.0677134	0.0796897	0.10923	0.172156	0.492511
</S>	0.033411	0.0412829	0.062123	0.105508	0.186552	0.571123
