 	il	peut	soulever	cette	calebasse	</S>
a23	0.341078	0.368738	0.19286	0.0531351	0.025116	0.0190723
a79	0.391526	0.381051	0.15339	0.0358714	0.0184347	0.0197275
a54	0.236126	0.222389	0.22439	0.102859	0.0919295	0.122306
a85	0.366856	0.198318	0.158852	0.112631	0.0931331	0.0702101
a47	0.472375	0.229905	0.123409	0.0617204	0.0546392	0.0579516
a6	0.434226	0.243173	0.116961	0.0618198	0.0648816	0.0789384
a37	0.492805	0.262968	0.106992	0.0476939	0.0414969	0.0480442
a75	0.514828	0.26275	0.110538	0.0450321	0.0323607	0.0344908
a85	0.332648	0.216818	0.161753	0.103582	0.0887185	0.0964807
a12	0.255789	0.209809	0.183804	0.128376	0.108887	0.113334
a41	0.269045	0.302932	0.181467	0.101904	0.0721855	0.072466
a85	0.0857092	0.0994102	0.168662	0.175352	0.20874	0.262127
a5	0.0818537	0.0877065	0.164214	0.172857	0.209535	0.283834
a27	0.126774	0.148395	0.191489	0.172127	0.162346	0.19887
a11	0.0701673	0.0870911	0.135095	0.191858	0.21218	0.303609
a56	0.0310357	0.0547959	0.0953965	0.200867	0.266906	0.350999
a62	0.0305854	0.0571698	0.103194	0.220009	0.268708	0.320334
a31	0.0149637	0.0319542	0.0748976	0.210893	0.304388	0.362903
a47	0.00631802	0.0132608	0.0433704	0.165858	0.296079	0.475115
a88	0.00582032	0.012214	0.0342385	0.103858	0.241382	0.602488
a9	0.00304993	0.00658357	0.0220879	0.0876032	0.243781	0.636894
a99	0.00430615	0.0101502	0.0326948	0.100636	0.268861	0.583352
a87	0.00453275	0.0112447	0.0401354	0.121079	0.290767	0.532242
a23	0.0359188	0.0717966	0.153538	0.246531	0.228636	0.263579
a87	0.0149036	0.0236738	0.0752547	0.2096	0.295696	0.380871
a23	0.00397342	0.0141713	0.0772256	0.164176	0.26999	0.470463
a87	0.00726215	0.0165866	0.0646632	0.171601	0.290065	0.449822
a23	0.00804092	0.0211917	0.0806549	0.159385	0.262203	0.468525
a87	0.0157544	0.0312665	0.0833805	0.168622	0.266914	0.434062
</S>	0.0194505	0.0359331	0.104896	0.172213	0.250149	0.417359
