 	la	nuit	quand	le	village	est	obscur	les	gens	ont	peur	de	se	promener	</S>
a66	0.121072	0.0977334	0.093062	0.0748897	0.0822494	0.17306	0.145055	0.0629492	0.053949	0.0447089	0.0274362	0.0125506	0.00531936	0.00326037	0.00270429
a87	0.156703	0.0685453	0.0417006	0.0606834	0.0598406	0.0756713	0.108068	0.102551	0.0838187	0.0698689	0.0518886	0.032944	0.0292409	0.0279249	0.0305506
a23	0.108168	0.0671979	0.0494798	0.0736363	0.0728199	0.0724066	0.121312	0.0808365	0.0748473	0.0581646	0.0550343	0.0509202	0.0480008	0.0417836	0.0253926
a82	0.097033	0.0675406	0.0507577	0.0772884	0.0626282	0.0875989	0.239946	0.0554289	0.0429893	0.0402316	0.0498561	0.045755	0.0359049	0.0296334	0.0174084
a57	0.0940888	0.0763967	0.0656205	0.0730021	0.0658334	0.0873557	0.192845	0.0568354	0.0495495	0.0462725	0.0557793	0.0535378	0.0402861	0.0277771	0.0148196
a97	0.112932	0.0917453	0.0852431	0.0803242	0.0760925	0.0833305	0.117367	0.0478188	0.0458316	0.0417483	0.050542	0.0610912	0.0524489	0.0351774	0.0183071
a87	0.128717	0.102796	0.0967921	0.0847096	0.0764761	0.0829809	0.0964797	0.0465071	0.0410633	0.0330287	0.0396482	0.0529599	0.0550675	0.0415301	0.0212431
a97	0.104727	0.074176	0.0638215	0.073241	0.0656477	0.0722811	0.116639	0.0584024	0.0491823	0.0384281	0.050421	0.0638914	0.0711343	0.0656123	0.0323943
a53	0.140987	0.0976831	0.0850425	0.0734061	0.0638564	0.0743534	0.0908701	0.0392604	0.0375336	0.0329389	0.0460979	0.0635607	0.0723352	0.0564448	0.0256299
a93	0.242745	0.158507	0.0963548	0.0679995	0.0479858	0.0870108	0.101658	0.0309863	0.0331049	0.0302572	0.0266095	0.0267406	0.0243054	0.0162017	0.00953356
a75	0.203164	0.161189	0.126943	0.094818	0.0688151	0.0980939	0.127669	0.030051	0.022454	0.0161443	0.012125	0.0102913	0.00928647	0.00940746	0.0095477
a12	0.110083	0.10018	0.095087	0.0939196	0.0796032	0.112124	0.160758	0.055772	0.0455036	0.0340251	0.0259939	0.0215612	0.0217719	0.0223642	0.0212539
a31	0.120118	0.123259	0.126373	0.130306	0.0995726	0.114641	0.157879	0.0361888	0.0233	0.0142168	0.00994674	0.00828412	0.00801487	0.0121169	0.0157832
a88	0.102466	0.105739	0.118952	0.140388	0.115728	0.119554	0.161689	0.0388582	0.0244714	0.0155458	0.0114336	0.00908787	0.00827093	0.0123409	0.0154756
