 	le	cuisinier	exorbite	les	yeux	du	poisson	</S>
a23	0.517029	0.33827	0.0561372	0.016471	0.00995501	0.00763024	0.0164041	0.0381029
a87	0.335006	0.140378	0.0536733	0.053941	0.0885316	0.0922762	0.11298	0.123214
a23	0.350698	0.192638	0.0954404	0.0604026	0.0760525	0.0664482	0.075068	0.0832523
a79	0.257949	0.147151	0.0907289	0.0640765	0.0546361	0.0688072	0.122257	0.194394
a15	0.431736	0.306186	0.0819273	0.0302759	0.0266871	0.0301592	0.0421298	0.0508987
a92	0.220375	0.214611	0.17497	0.10518	0.0943561	0.0695593	0.0616407	0.0593084
a37	0.122208	0.170901	0.247364	0.159924	0.108006	0.07289	0.0586539	0.0600541
a47	0.0513117	0.0583514	0.112053	0.172363	0.176738	0.137399	0.138946	0.152838
a6	0.0891582	0.0995653	0.1376	0.194046	0.148478	0.10261	0.110299	0.118243
a37	0.0872407	0.0928658	0.120416	0.175343	0.140378	0.119629	0.129316	0.134812
a61	0.141964	0.147254	0.165108	0.166192	0.117889	0.0810157	0.0893168	0.0912597
a85	0.0857741	0.0930923	0.156975	0.1684	0.152211	0.120497	0.112639	0.110411
a47	0.0479339	0.0495745	0.059666	0.0682087	0.107467	0.176164	0.254162	0.236823
a44	0.038084	0.0394184	0.0575613	0.0712792	0.0888159	0.128577	0.250785	0.325479
a56	0.0696986	0.0729094	0.110057	0.106788	0.106438	0.110794	0.170724	0.252591
a70	0.0252101	0.0254575	0.0772248	0.117746	0.142799	0.173257	0.201912	0.236393
a75	0.0155658	0.0156344	0.0501962	0.10162	0.134978	0.196431	0.236428	0.249148
a25	0.00968925	0.0102187	0.0294667	0.0671874	0.105915	0.193002	0.28174	0.302781
a56	0.00870769	0.00913387	0.0245732	0.0538588	0.080255	0.166568	0.30295	0.353953
a43	0.0042498	0.00464681	0.0141726	0.0434696	0.0777406	0.163766	0.313216	0.378739
a47	0.00210239	0.00214377	0.0060374	0.0194914	0.0428605	0.112484	0.310007	0.504873
a96	0.00534086	0.00538828	0.0113232	0.0269058	0.0505844	0.113861	0.298076	0.488521
a62	0.00236196	0.00239471	0.00507369	0.0126741	0.0354182	0.0941234	0.28846	0.559494
a0	0.00420131	0.00336977	0.00602611	0.0126771	0.0328024	0.0883088	0.266617	0.585997
a10	0.0085509	0.00572598	0.0089557	0.014082	0.0311963	0.0874983	0.265562	0.578429
a87	0.132048	0.060323	0.0350139	0.0479986	0.0978381	0.153378	0.200329	0.273071
a23	0.428288	0.223468	0.0820399	0.0549905	0.0441728	0.0419515	0.0503939	0.0746951
a87	0.136731	0.0859826	0.0488736	0.0483292	0.0573061	0.101883	0.216047	0.304847
</S>	0.0106536	0.00677693	0.0110967	0.0269992	0.0584339	0.145739	0.327614	0.412686
