 	il	s'	approche	du	lit	</S>
a85	0.536218	0.281341	0.0983551	0.0310155	0.0199261	0.0331448
a87	0.41148	0.189026	0.0995494	0.0939269	0.100282	0.105736
a23	0.285083	0.213872	0.184143	0.145238	0.0909401	0.0807248
a79	0.210991	0.137536	0.144258	0.192318	0.154726	0.160171
a20	0.320381	0.216157	0.153314	0.118702	0.118098	0.0733485
a73	0.27318	0.328111	0.258895	0.0928488	0.0343084	0.0126568
a2	0.206381	0.297374	0.347148	0.1141	0.0252884	0.00970867
a57	0.153456	0.20608	0.303487	0.186253	0.096248	0.054476
a87	0.141568	0.177345	0.221382	0.155943	0.152409	0.151353
a23	0.121986	0.173934	0.225562	0.191587	0.154172	0.132759
a40	0.105459	0.133986	0.186537	0.223945	0.208126	0.141947
a73	0.189673	0.20896	0.265193	0.166517	0.103543	0.0661128
a94	0.127977	0.202348	0.267084	0.195959	0.133933	0.0726991
a41	0.100347	0.135971	0.236646	0.219313	0.186003	0.12172
a96	0.0719268	0.078905	0.134859	0.234666	0.280255	0.199388
a24	0.0681605	0.0592099	0.0783314	0.170498	0.31064	0.31316
a35	0.0363108	0.028593	0.0321228	0.0943617	0.338763	0.469849
a90	0.0507555	0.0377266	0.0352218	0.0738161	0.288533	0.513947
a4	0.0395733	0.0292708	0.0325693	0.0938631	0.291934	0.512789
a13	0.0127021	0.00873123	0.0117	0.0499933	0.234048	0.682826
a38	0.0169172	0.00801838	0.00860229	0.0375579	0.218989	0.709915
a47	0.0182821	0.00822074	0.0103649	0.0472778	0.223174	0.692681
a98	0.0131528	0.00748579	0.0132588	0.0597833	0.222921	0.683398
a9	0.0106069	0.00790261	0.0157155	0.0720158	0.238782	0.654978
a87	0.00935702	0.00732093	0.0133699	0.0573837	0.224785	0.687784
</S>	0.0142957	0.0152685	0.0211523	0.0751682	0.245739	0.628376
