 	je	ne	me	sens	pas	bien	</S>
a66	0.393844	0.239943	0.128834	0.0919387	0.0663074	0.0452013	0.0339317
a87	0.407607	0.229998	0.13218	0.0802693	0.0645305	0.0476722	0.0377432
a23	0.490428	0.236892	0.0804595	0.0609769	0.0460775	0.0420281	0.0431379
a99	0.543793	0.193215	0.0658254	0.055736	0.0373759	0.0423117	0.0617435
a54	0.460384	0.221892	0.0830423	0.0606926	0.0474965	0.0573014	0.0691917
a7	0.335149	0.278497	0.141078	0.087684	0.0547754	0.0530171	0.0498002
a44	0.269638	0.248955	0.17967	0.112052	0.0654754	0.0618883	0.0623208
a94	0.180535	0.220125	0.208547	0.142196	0.0836227	0.0791692	0.0858055
a44	0.173969	0.202358	0.195891	0.136736	0.0920342	0.0932358	0.105775
a93	0.170727	0.196738	0.185505	0.135669	0.0963147	0.0992325	0.115814
a4	0.141906	0.159807	0.163873	0.148969	0.114028	0.12259	0.148827
a93	0.0901205	0.116914	0.161452	0.174884	0.136616	0.144507	0.175506
a96	0.094084	0.120499	0.169519	0.182111	0.142875	0.139064	0.151848
a62	0.0379988	0.0498719	0.107711	0.191368	0.196585	0.195752	0.220713
a83	0.0224048	0.0258618	0.0614448	0.15651	0.23107	0.248455	0.254254
a99	0.012438	0.0141544	0.0367519	0.122149	0.21913	0.270394	0.324983
a18	0.00651896	0.00738033	0.0157457	0.0645188	0.16619	0.291177	0.44847
a44	0.00513003	0.00574532	0.0111963	0.0517645	0.154963	0.309926	0.461275
a7	0.00042312	0.000752398	0.00274161	0.0200075	0.0930896	0.286156	0.59683
a2	0.000244871	0.000465424	0.00210582	0.0185297	0.0873088	0.275867	0.615478
a57	0.00223552	0.00306713	0.00716971	0.030729	0.11276	0.293977	0.550062
a82	0.0123573	0.0102469	0.0145103	0.032997	0.102154	0.279204	0.54853
a87	0.0831749	0.0405451	0.0340013	0.0459571	0.114035	0.23601	0.446277
a97	0.27017	0.115212	0.0637783	0.0605459	0.104098	0.155864	0.23033
a87	0.149313	0.101144	0.0804444	0.092171	0.135812	0.186334	0.254782
</S>	0.134558	0.0875353	0.0726366	0.104951	0.131219	0.183961	0.285139
