 	la	façade	de	la	maison	est	sale	</S>
a23	0.366265	0.258173	0.103958	0.0692226	0.0417152	0.0355537	0.0514375	0.0736746
a99	0.269478	0.166358	0.0936898	0.0990034	0.0939891	0.0872433	0.098564	0.0916745
a53	0.232646	0.204215	0.123557	0.117517	0.0915637	0.0721567	0.0797839	0.07856
a56	0.372983	0.307402	0.165805	0.0766216	0.0354667	0.0163889	0.0131724	0.0121612
a11	0.455922	0.330625	0.114004	0.0471094	0.0220904	0.0110341	0.00959167	0.00962378
a75	0.324531	0.32325	0.142331	0.0765014	0.045039	0.028727	0.0286519	0.0309691
a41	0.173296	0.219448	0.171912	0.130922	0.102132	0.0712202	0.0674887	0.0635818
a37	0.156117	0.211501	0.189558	0.141956	0.100618	0.0688576	0.0687437	0.0626489
a75	0.0879069	0.107579	0.12954	0.139757	0.127367	0.11147	0.144581	0.1518
a90	0.0531227	0.0701614	0.101757	0.116961	0.127249	0.13195	0.181912	0.216887
a56	0.0601265	0.0827901	0.111875	0.119645	0.118888	0.119321	0.167878	0.219478
a75	0.0306375	0.0465097	0.0727324	0.0910352	0.110903	0.128949	0.21055	0.308684
a41	0.0187664	0.0254354	0.0539586	0.0686347	0.0840161	0.112366	0.227052	0.409771
a27	0.0188592	0.0282515	0.0541447	0.0806289	0.104642	0.128077	0.221485	0.363911
a11	0.00217153	0.003095	0.00753403	0.0132787	0.0278808	0.0760454	0.243838	0.626156
a21	0.000785439	0.00151688	0.00436797	0.0100981	0.0237831	0.0702821	0.23619	0.652976
a66	0.00319912	0.00467388	0.01066	0.0185809	0.0380912	0.0977382	0.276453	0.550604
a9	0.00169963	0.00461764	0.0125176	0.0208904	0.0366608	0.077251	0.19732	0.649043
a87	0.00905406	0.0124709	0.0280692	0.0412421	0.0579837	0.103116	0.203744	0.54432
a23	0.096517	0.077991	0.104747	0.130185	0.117023	0.11854	0.133998	0.220999
a87	0.0895512	0.108093	0.106633	0.127848	0.109686	0.11681	0.126208	0.215172
</S>	0.0269705	0.035166	0.0546302	0.0856159	0.0996195	0.141563	0.21531	0.341126
