 	avec	cette	manière	d'	étendre	le	filet	aucun	animal	ne	sera	capturé	</S>
a66	0.199795	0.127081	0.0722953	0.0671336	0.0959305	0.133781	0.101405	0.06097	0.0435352	0.0430415	0.0300979	0.0139753	0.0109591
a10	0.174893	0.119496	0.095084	0.117541	0.118601	0.0970891	0.0743135	0.0525138	0.0441642	0.037546	0.0331599	0.0180252	0.0175731
a87	0.212485	0.206635	0.156377	0.138359	0.152989	0.0682295	0.0278016	0.0137363	0.00610614	0.00496679	0.00424632	0.00306954	0.00499845
a23	0.191722	0.221967	0.198431	0.127457	0.139744	0.0572142	0.025694	0.0135566	0.00663839	0.00610447	0.00526365	0.00278495	0.00342252
a12	0.14458	0.230187	0.261131	0.120153	0.112971	0.0523666	0.0274859	0.0145432	0.00797878	0.00650986	0.00670439	0.00671346	0.00867563
a5	0.294153	0.290693	0.152028	0.0751639	0.0634883	0.0379819	0.0207433	0.00893441	0.00880879	0.00882925	0.0135454	0.0128979	0.0127333
a36	0.276634	0.362081	0.149899	0.066308	0.0394871	0.0278174	0.0159601	0.00689249	0.0089983	0.0101013	0.0144617	0.0117981	0.00956118
a47	0.193851	0.321452	0.16961	0.101422	0.0656746	0.0419686	0.0212814	0.0107078	0.0131757	0.0134485	0.0174636	0.0143933	0.0155517
a12	0.140357	0.197082	0.168436	0.144381	0.136591	0.0844909	0.0348179	0.016704	0.0144536	0.0147114	0.0175001	0.0140586	0.0164166
a75	0.114072	0.148244	0.157381	0.152235	0.137623	0.109131	0.0550688	0.0302177	0.0233902	0.0234984	0.022046	0.0129759	0.0141167
a56	0.0572576	0.0797545	0.14029	0.182745	0.150447	0.135025	0.0778708	0.0506246	0.0361684	0.0334235	0.0259545	0.015391	0.0150484
a93	0.0465418	0.0578278	0.113032	0.170835	0.173246	0.159431	0.101018	0.0647185	0.036345	0.0323287	0.0220682	0.0113903	0.0112182
a4	0.0407173	0.0451974	0.0841857	0.156538	0.171812	0.175805	0.11456	0.0711841	0.040634	0.0358319	0.0254447	0.0168727	0.021217
a11	0.0224388	0.0274504	0.0531003	0.127868	0.164905	0.197314	0.141149	0.0930953	0.0525652	0.0445101	0.0291784	0.0199518	0.0264749
a62	0.0136756	0.0173784	0.0369391	0.0910943	0.146486	0.217484	0.165119	0.105383	0.0584244	0.0509666	0.0347484	0.0256122	0.0366897
a21	0.00759538	0.0115142	0.0353507	0.0708994	0.125175	0.234341	0.186986	0.118044	0.060982	0.0573916	0.0391024	0.0221111	0.0305069
a47	0.00519794	0.00749811	0.0223471	0.0526997	0.0947661	0.196336	0.186433	0.14163	0.0865416	0.0801466	0.0535479	0.0338207	0.039035
a21	0.00656767	0.00972957	0.0283939	0.0677989	0.101129	0.192284	0.171267	0.130127	0.0849392	0.0725615	0.0524498	0.036442	0.0463101
a12	0.00375482	0.00467563	0.0155238	0.043978	0.0808711	0.160522	0.156982	0.153316	0.0976431	0.0909569	0.068042	0.0586105	0.0651237
a18	0.00364646	0.00477602	0.0210573	0.0644986	0.105307	0.153673	0.130702	0.127743	0.0729573	0.0704663	0.0621562	0.0694426	0.113574
a25	0.0101891	0.0104215	0.0179503	0.0650476	0.108813	0.17841	0.117847	0.115011	0.0667876	0.0622903	0.055466	0.0569257	0.134841
a82	0.0174299	0.0163116	0.0247707	0.0716097	0.119864	0.138402	0.0957809	0.112808	0.0726077	0.0794775	0.0714505	0.0576685	0.121819
a87	0.0336255	0.0276515	0.0347403	0.068542	0.08471	0.086114	0.0788832	0.107044	0.0985804	0.113417	0.0931121	0.0637756	0.109805
a23	0.0815166	0.0573797	0.0342113	0.0485451	0.037166	0.0545952	0.0681878	0.0990757	0.124066	0.120553	0.106409	0.0730438	0.0952514
a87	0.0379433	0.0334304	0.0294349	0.0429055	0.0284402	0.0571646	0.0784612	0.0846364	0.0979077	0.115967	0.131843	0.110552	0.151313
a40	0.0338979	0.0316564	0.033842	0.0648371	0.050294	0.083022	0.0829143	0.0819984	0.0989631	0.114668	0.137515	0.0965422	0.0898495
a37	0.0095163	0.00961725	0.00749707	0.0156886	0.00943058	0.025651	0.0320431	0.0420243	0.0905871	0.11931	0.198859	0.188094	0.251681
a61	0.00129897	0.00139488	0.00164072	0.00403491	0.00464198	0.0157125	0.0212522	0.025395	0.0605187	0.0978177	0.208107	0.263114	0.295071
a5	0.00103641	0.00117923	0.00172953	0.00302658	0.00453734	0.0118562	0.0141859	0.0146484	0.029049	0.0568079	0.147981	0.345103	0.368859
a37	0.00135459	0.00121246	0.00171719	0.00318953	0.00500636	0.0115297	0.0134516	0.0151522	0.0254278	0.0526297	0.140551	0.322041	0.406737
a79	0.000809177	0.000788308	0.00188053	0.00411116	0.00677008	0.0163382	0.0175294	0.0179656	0.0239631	0.0480247	0.119188	0.315936	0.426696
a98	0.00109241	0.00122371	0.0024778	0.00521006	0.00725897	0.0182297	0.0231022	0.0319361	0.0401624	0.0592596	0.112976	0.283518	0.413553
a47	0.000809111	0.000968785	0.00223925	0.0057426	0.00812516	0.0218232	0.0282323	0.0413989	0.0532264	0.0616779	0.102836	0.30141	0.371511
a6	0.000392539	0.000574717	0.00201501	0.00568903	0.00712061	0.0159858	0.0252917	0.0378186	0.0456337	0.0426227	0.0714311	0.311622	0.433803
a37	0.000370329	0.000436068	0.00130326	0.00394224	0.00737779	0.0187177	0.0257097	0.0367445	0.0434028	0.0468978	0.0848124	0.308816	0.42147
a12	0.00073109	0.000696102	0.00197414	0.00625542	0.0123855	0.0286625	0.033013	0.0457932	0.0415277	0.0520175	0.0951248	0.283907	0.397912
a96	0.000807603	0.000628589	0.00154954	0.00594091	0.0145974	0.0312274	0.0317986	0.0397772	0.0377452	0.0574984	0.0998094	0.28247	0.396149
a75	0.000810824	0.000677108	0.00150841	0.00481789	0.0107427	0.0214633	0.0226893	0.0296151	0.0304326	0.0446774	0.080309	0.274012	0.478244
a47	0.000301702	0.000294893	0.000899738	0.00306308	0.00670488	0.0119252	0.0156105	0.0263715	0.0230432	0.0310174	0.0592683	0.296967	0.524532
a6	0.00026753	0.000299096	0.00112644	0.00422227	0.00945117	0.0158143	0.019104	0.0262297	0.0201637	0.02128	0.0385012	0.25248	0.591061
a0	0.000354298	0.000421609	0.00130849	0.00459853	0.00959467	0.016263	0.0206859	0.0304247	0.0261242	0.0227426	0.0348687	0.224859	0.607754
a44	0.000967463	0.00101971	0.00195936	0.00556744	0.00965739	0.0102389	0.0116574	0.0147735	0.016137	0.0162408	0.02858	0.189602	0.693599
a58	0.00105479	0.00114591	0.00188427	0.00534084	0.00918694	0.0102703	0.00879306	0.00940535	0.0134044	0.0157433	0.0349967	0.237844	0.65093
a82	0.00867936	0.007304	0.00797355	0.0151469	0.0203791	0.0190665	0.0162479	0.0196836	0.0327164	0.0429589	0.0761069	0.275721	0.458016
a87	0.0334103	0.0237028	0.0226399	0.0247189	0.0285665	0.0262612	0.0284561	0.0396303	0.0599886	0.0770586	0.0968899	0.223934	0.314743
a23	0.0483698	0.0301731	0.0238677	0.0384819	0.0409844	0.0425682	0.0510566	0.0944997	0.13124	0.15561	0.107911	0.117294	0.117943
a87	0.0108146	0.00802141	0.00490013	0.00925484	0.00730109	0.00995399	0.0173601	0.0316683	0.0844201	0.0816688	0.102048	0.238536	0.394053
</S>	0.0122259	0.00716355	0.00449501	0.0108712	0.00937963	0.0129955	0.0166754	0.0266396	0.0617984	0.0499052	0.0620577	0.210069	0.515724
