 	les	gens	se	sont	assemblé	à	la	place	mortuaire	</S>
a23	0.378494	0.180173	0.0843278	0.056406	0.0510389	0.0454875	0.0358467	0.0359524	0.0500258	0.0822471
a20	0.424669	0.152945	0.0845813	0.0555861	0.0492403	0.0404808	0.0292376	0.0431672	0.0596682	0.0604239
a41	0.198046	0.120915	0.0778394	0.0690159	0.0918847	0.101314	0.068093	0.107238	0.0840518	0.0816026
a2	0.339121	0.222734	0.129528	0.0776696	0.0844146	0.0606253	0.025467	0.0303212	0.0187826	0.0113364
a38	0.246141	0.225069	0.176665	0.110524	0.0832987	0.0534516	0.028586	0.03412	0.0248642	0.0172799
a41	0.174518	0.212119	0.187045	0.132639	0.0939825	0.0646071	0.0393162	0.0392587	0.0320306	0.0244835
a18	0.184072	0.194986	0.15198	0.128799	0.113089	0.0848947	0.0453972	0.0378026	0.0323034	0.0266769
a24	0.12976	0.163219	0.168743	0.156061	0.130951	0.0950574	0.0459907	0.0415066	0.0366611	0.0320504
a41	0.101496	0.129409	0.149807	0.158892	0.144685	0.121954	0.0612483	0.0494031	0.0438875	0.0392184
a18	0.0904015	0.10581	0.117139	0.13607	0.129579	0.138153	0.0768561	0.0696175	0.0699955	0.0663779
a41	0.0597993	0.0728478	0.089106	0.115155	0.123176	0.146585	0.105296	0.0965618	0.0963308	0.0951428
a27	0.0544143	0.0606607	0.0659507	0.0866168	0.0943282	0.136321	0.118586	0.121002	0.131662	0.130459
a75	0.0144352	0.0200225	0.029079	0.0451503	0.0494076	0.0814438	0.10426	0.154903	0.222854	0.278445
a41	0.0185717	0.0224554	0.0286805	0.0455237	0.059158	0.10239	0.1351	0.16799	0.192272	0.227859
a94	0.00919968	0.0120285	0.0191968	0.0329214	0.0489596	0.0963484	0.146137	0.186669	0.233564	0.214976
a54	0.0121246	0.0126453	0.0169879	0.0230814	0.0296737	0.0417921	0.0670136	0.11562	0.257634	0.423427
a73	0.00823232	0.0086976	0.0143346	0.0221453	0.0306293	0.047741	0.081661	0.134268	0.263885	0.388406
a84	0.00358143	0.00512291	0.00963751	0.0168797	0.0250917	0.0407508	0.0646996	0.123042	0.2743	0.436894
a57	0.00130241	0.00162889	0.00339216	0.00614473	0.00932404	0.0173008	0.0344814	0.0945558	0.226258	0.605612
a87	0.00283583	0.00220247	0.00345978	0.0056979	0.00951373	0.0174521	0.0419184	0.0856543	0.210757	0.620509
a23	0.003466	0.00255613	0.00393981	0.00655169	0.0115207	0.0206314	0.0614279	0.0926792	0.278551	0.518676
a87	0.0115893	0.008536	0.0119713	0.0173966	0.0270143	0.0346253	0.0851023	0.107077	0.27756	0.419127
</S>	0.00530335	0.00431509	0.00790228	0.0146533	0.0270525	0.0424422	0.10706	0.153893	0.284731	0.352647
