 	le	forgeron	bat	le	fer	sur	l'	enclume	</S>
a23	0.302034	0.201413	0.0758312	0.0487803	0.0410017	0.0647245	0.0780332	0.101853	0.0863301
a30	0.390242	0.22543	0.103251	0.0852081	0.0656455	0.0348083	0.0289498	0.0308065	0.0356582
a13	0.323885	0.260211	0.0963275	0.0556839	0.040026	0.0264219	0.0286187	0.0471562	0.12167
a9	0.434648	0.29887	0.103306	0.0477673	0.0372012	0.0252936	0.0226637	0.0134351	0.0168159
a13	0.325935	0.299542	0.188813	0.0874145	0.0475897	0.0171928	0.0115805	0.00865231	0.0132801
a90	0.128747	0.17063	0.193574	0.133208	0.0840024	0.0503804	0.0494888	0.0683833	0.121585
a15	0.131798	0.156935	0.19511	0.155877	0.115895	0.0603573	0.0530572	0.0561006	0.0748702
a6	0.157828	0.171628	0.188878	0.159477	0.121204	0.0608671	0.0499814	0.0423731	0.0477627
a37	0.119455	0.133096	0.172905	0.1645	0.129998	0.0743085	0.0697093	0.0599068	0.0761212
a21	0.0920785	0.0992376	0.146905	0.199219	0.175737	0.0914691	0.0721326	0.0611953	0.0620259
a61	0.11053	0.107652	0.122329	0.167465	0.159232	0.103716	0.086827	0.0729495	0.0693004
a47	0.0932491	0.0947226	0.114228	0.16503	0.163657	0.124839	0.100424	0.0795862	0.0642632
a96	0.0949427	0.0861463	0.0873019	0.126571	0.13455	0.145257	0.135023	0.105486	0.0847219
a70	0.0670953	0.0610545	0.0653735	0.107128	0.134749	0.181192	0.175325	0.128824	0.0792596
a75	0.0337013	0.0296622	0.0316398	0.0616422	0.0906491	0.170705	0.229151	0.223146	0.129703
a25	0.030082	0.0239147	0.0237082	0.0373196	0.0470075	0.10178	0.190874	0.277273	0.268041
a56	0.0204446	0.0162046	0.0176427	0.0266609	0.0392023	0.087126	0.192267	0.313235	0.287217
a96	0.0114486	0.00903651	0.0116629	0.0239719	0.039532	0.0951633	0.201585	0.33817	0.26943
a24	0.00520056	0.00421272	0.00483486	0.00971862	0.0184736	0.0550884	0.154538	0.355641	0.392292
a62	0.00306536	0.00218004	0.00298045	0.00504915	0.00951765	0.0261891	0.0831892	0.301388	0.566441
a93	0.00360613	0.00250294	0.00346917	0.00567499	0.00957676	0.021151	0.063248	0.256822	0.633949
a83	0.000529589	0.000373889	0.000488142	0.000975381	0.00220487	0.00894998	0.0422139	0.224658	0.719606
a99	0.000300429	0.000204427	0.000249516	0.000491203	0.00121563	0.00624208	0.0333834	0.217261	0.740652
a9	0.000431654	0.000252705	0.000270978	0.000457421	0.0013753	0.00715263	0.0381887	0.25278	0.69909
a87	0.0182665	0.00711456	0.00541564	0.00488901	0.00677291	0.0223852	0.0813642	0.291382	0.56241
a23	0.181096	0.0680884	0.0368347	0.0285618	0.0270171	0.0525738	0.102979	0.225179	0.27767
a87	0.0481933	0.0183047	0.0170745	0.0154317	0.0158942	0.0296161	0.0696431	0.222877	0.562965
</S>	0.0147469	0.00691088	0.00998421	0.0127081	0.0155952	0.039011	0.0840858	0.185304	0.631654
