 	les	habitants	d'	ongondza	ont	collecté	de	l'	argent	pour	la	réfection	de	la	route	</S>
a66	0.163888	0.253951	0.263853	0.136951	0.0437585	0.0405422	0.0130708	0.0137134	0.0139851	0.0131136	0.0124388	0.0075458	0.00581825	0.00560876	0.00542421	0.00633879
a87	0.198289	0.17302	0.0954887	0.0488565	0.0366182	0.0301479	0.0401873	0.0513505	0.0519669	0.0475783	0.0375554	0.0286861	0.0296117	0.0329038	0.0444214	0.0533179
a97	0.14099	0.0752685	0.0376597	0.0340356	0.0229919	0.0474153	0.040116	0.0652756	0.0811734	0.0773387	0.0702959	0.0670258	0.0734661	0.0680901	0.054214	0.0446429
a99	0.15093	0.109987	0.0566381	0.0591893	0.0287903	0.0698247	0.0319819	0.0475494	0.0565223	0.0626575	0.0654151	0.0597025	0.0601514	0.0585491	0.0452878	0.0368233
a54	0.257643	0.177258	0.0664597	0.0559514	0.024818	0.0396046	0.0180139	0.031141	0.0395183	0.0451345	0.0519774	0.0414191	0.0445688	0.0430702	0.0340212	0.0294009
a5	0.225781	0.253858	0.152909	0.0638933	0.0301929	0.0264003	0.00954292	0.0137015	0.016325	0.0201871	0.026002	0.0214728	0.0294169	0.0335692	0.0319263	0.0448215
a12	0.25971	0.287691	0.147815	0.0933362	0.0372061	0.0359727	0.011247	0.0135066	0.014834	0.016148	0.0171742	0.0119923	0.0123598	0.0124836	0.0118692	0.0166537
a37	0.174773	0.251959	0.16324	0.131121	0.0620851	0.062684	0.0178923	0.0181585	0.0181015	0.0178292	0.0169835	0.012606	0.0120994	0.0121634	0.0120912	0.0162133
a90	0.0842004	0.169542	0.132612	0.154094	0.0854197	0.0934385	0.0302488	0.0323824	0.0327015	0.0335136	0.0312839	0.0234942	0.0228829	0.0230565	0.0231774	0.027953
a56	0.0596347	0.143873	0.146266	0.176047	0.104897	0.103204	0.0298497	0.0304333	0.0294878	0.0285659	0.0257603	0.0204508	0.0201797	0.0227386	0.0253488	0.0332637
a93	0.0568376	0.13598	0.136248	0.188949	0.10162	0.112393	0.0343026	0.0340525	0.0327219	0.0296163	0.0260157	0.0210679	0.0200888	0.0207375	0.0224114	0.0269583
a70	0.0505621	0.111503	0.111989	0.160138	0.0984452	0.118008	0.0457055	0.04428	0.0428076	0.0359769	0.031489	0.027288	0.0271499	0.0277041	0.0306228	0.0363313
a90	0.0251261	0.0636935	0.0799134	0.138127	0.0984372	0.132002	0.0695385	0.0682505	0.0625652	0.0483472	0.0385124	0.0335586	0.0315678	0.0312862	0.0353159	0.0437589
a92	0.0202518	0.0688667	0.112848	0.146364	0.0944195	0.106314	0.0533036	0.0558544	0.0532335	0.0441059	0.0356237	0.0348861	0.034826	0.0376822	0.0446893	0.0567316
a44	0.0260531	0.0748744	0.109882	0.146445	0.0905342	0.107315	0.0626586	0.0617389	0.0598611	0.0463625	0.0371679	0.0318543	0.0300996	0.03188	0.0373571	0.0459158
a75	0.0105262	0.0288767	0.0558877	0.111837	0.0914917	0.121932	0.0875537	0.0892455	0.0830357	0.0602091	0.0450362	0.0350415	0.0337746	0.0370037	0.0467436	0.0618048
a85	0.00806243	0.0182183	0.044073	0.0852308	0.0762282	0.0963892	0.0893151	0.0937605	0.0869425	0.0691683	0.053703	0.0544799	0.0463869	0.0469314	0.0574033	0.0737072
a47	0.00668024	0.0156218	0.0424068	0.0679742	0.0636316	0.0826773	0.0972114	0.104588	0.0854404	0.0677712	0.0486233	0.0615608	0.0495321	0.0486354	0.0685911	0.0890545
a36	0.00354119	0.00537668	0.0130121	0.040877	0.0674488	0.0884812	0.106646	0.120181	0.0971071	0.061679	0.0362024	0.0466474	0.0425045	0.0514176	0.0856311	0.133246
a6	0.00324719	0.00389168	0.00662483	0.0239252	0.0657452	0.0823613	0.118546	0.124076	0.101185	0.0570398	0.0338449	0.0362951	0.0361698	0.0493504	0.0931108	0.164586
a36	0.00171377	0.00274803	0.00535728	0.0171991	0.0452673	0.0594099	0.0986257	0.10989	0.098028	0.0676044	0.0477273	0.0554279	0.0518136	0.0633474	0.109407	0.166433
a75	0.00223236	0.00285975	0.00446239	0.0167928	0.0565406	0.0696131	0.126404	0.129417	0.10815	0.0724694	0.0505106	0.0533494	0.0428241	0.0502191	0.081861	0.132296
