 	trois	personnes	sont	parties	en	forêt	les	autres	sont	restées	dans	la	maison	</S>
a66	0.192319	0.180616	0.141073	0.176009	0.11722	0.0647626	0.0396633	0.0274952	0.0167799	0.0141259	0.00852642	0.00754414	0.00689742	0.0069679
a87	0.289896	0.276962	0.141912	0.0656601	0.0204717	0.0100662	0.00824377	0.00760878	0.00906791	0.00804137	0.0209712	0.0371023	0.0521425	0.051854
a23	0.468253	0.225819	0.069301	0.0336137	0.0186976	0.0117833	0.0101612	0.00915088	0.0103799	0.00976122	0.0135346	0.0205275	0.0409325	0.0580844
a40	0.257727	0.0973896	0.0302093	0.00938108	0.00635666	0.00648124	0.0102466	0.0121163	0.0129355	0.0145092	0.0440467	0.0873327	0.168972	0.242295
a36	0.2867	0.20438	0.0929423	0.0608633	0.0417874	0.0414557	0.0393344	0.0332601	0.0282193	0.0262418	0.0342715	0.0355613	0.0351382	0.0398452
a0	0.241181	0.238699	0.158378	0.0871997	0.0338044	0.0175499	0.0146816	0.0143613	0.0155024	0.0151082	0.029318	0.0431452	0.0437477	0.0473245
a75	0.194256	0.166665	0.150972	0.0907753	0.054923	0.0272192	0.0183147	0.0153307	0.0145861	0.0175942	0.0345188	0.062948	0.0736422	0.0782542
a47	0.113682	0.135656	0.168469	0.145736	0.103141	0.0505954	0.03005	0.0233699	0.0204988	0.0257844	0.0378116	0.0491188	0.0482658	0.0478207
a6	0.0703062	0.0898354	0.153935	0.141249	0.114843	0.0550537	0.0327408	0.0248698	0.0208782	0.0316533	0.0550915	0.0748807	0.0657915	0.0688712
a36	0.0869611	0.107125	0.176703	0.156499	0.129899	0.0644203	0.0358407	0.0264085	0.0217181	0.0352237	0.0399402	0.0446469	0.0353957	0.0392189
a75	0.051099	0.0594477	0.0941963	0.0865446	0.109984	0.0881437	0.0698199	0.0603026	0.0513409	0.083262	0.081453	0.0725269	0.0460852	0.045794
a61	0.0234356	0.0501663	0.116211	0.131583	0.148578	0.112173	0.0795175	0.0616683	0.0457754	0.0769803	0.0551132	0.0439833	0.0267102	0.0281047
a37	0.0204543	0.0345935	0.0827052	0.115007	0.171279	0.146658	0.100214	0.0743819	0.0490206	0.0708648	0.0484066	0.0362465	0.0249979	0.0251708
a26	0.0203354	0.0285552	0.0618756	0.092899	0.16445	0.157887	0.111713	0.0843192	0.0540776	0.0776215	0.0518138	0.0372691	0.0279566	0.0292265
a53	0.0216391	0.0297947	0.0444623	0.063804	0.144757	0.15832	0.111915	0.0788801	0.0533109	0.0790686	0.0656115	0.0504345	0.0429919	0.0550095
a15	0.0133135	0.0165761	0.028496	0.0495424	0.12347	0.155462	0.121813	0.0989684	0.0667431	0.10547	0.0772955	0.0554572	0.0395049	0.0478879
a20	0.00484714	0.0072223	0.0159165	0.0317424	0.085855	0.124598	0.116261	0.107412	0.0795084	0.13162	0.10081	0.0699371	0.051491	0.0727799
a58	0.00465376	0.00739288	0.0153553	0.029669	0.0812887	0.129764	0.124475	0.110231	0.0834267	0.128038	0.0996791	0.0661535	0.0485559	0.0713166
a84	0.00573076	0.00828547	0.0140988	0.0241912	0.0639612	0.124741	0.135784	0.111652	0.0792987	0.129864	0.104817	0.0632281	0.0493157	0.0850319
a87	0.0411392	0.0531023	0.0375938	0.0296478	0.0455084	0.0921143	0.136873	0.105374	0.0721784	0.0702072	0.0570449	0.0466992	0.0680537	0.144464
a23	0.0433996	0.0490108	0.0343219	0.0277061	0.0391779	0.0607003	0.0693248	0.0501401	0.0350046	0.0360553	0.0554501	0.0883663	0.144018	0.267324
a2	0.0102517	0.0134121	0.0110231	0.0133642	0.0163562	0.0297067	0.0370053	0.0374053	0.0354601	0.0451198	0.0786755	0.12686	0.188768	0.356592
a11	0.000801172	0.00197363	0.00305168	0.00472888	0.00863064	0.0171321	0.0257114	0.0307731	0.0356032	0.051316	0.137969	0.191948	0.189889	0.300473
a0	0.00133388	0.00317623	0.00379749	0.00720613	0.0170004	0.0407446	0.0578872	0.068611	0.0818788	0.103097	0.157953	0.152599	0.11649	0.188226
a54	0.000688265	0.00152996	0.00243517	0.0060574	0.0154486	0.0394839	0.0547035	0.0671926	0.0778056	0.10149	0.18152	0.167639	0.117965	0.166042
a73	0.00178959	0.00367524	0.00681687	0.0135654	0.0420831	0.0849018	0.080472	0.0637335	0.052319	0.0674316	0.106849	0.116667	0.138211	0.221485
a7	0.000634262	0.00171898	0.00382882	0.0086303	0.0342098	0.072838	0.0885847	0.078135	0.0610076	0.0793023	0.122211	0.131118	0.129842	0.187939
a44	0.000599385	0.00102706	0.00179541	0.00410809	0.015374	0.0460814	0.0670048	0.0716678	0.0648191	0.0794861	0.117928	0.139267	0.157728	0.233114
a11	0.00102749	0.00151446	0.00233266	0.00506598	0.0167361	0.0584137	0.109124	0.128732	0.121685	0.125006	0.108993	0.0879677	0.0874838	0.145919
a54	0.0021171	0.00303048	0.00361386	0.00653759	0.0138234	0.039885	0.073724	0.0859941	0.0885167	0.0856483	0.116936	0.130044	0.144312	0.205817
a36	0.000965218	0.00231601	0.00438369	0.00815877	0.0248127	0.0646077	0.119512	0.128873	0.114733	0.101404	0.101848	0.0840163	0.0928728	0.151496
a37	0.000584711	0.00118324	0.00185035	0.00336612	0.00908685	0.0281412	0.0668607	0.0919575	0.101264	0.109309	0.127457	0.11607	0.141431	0.201439
a66	0.00116941	0.00208146	0.00241273	0.00373653	0.00743325	0.0179163	0.0362755	0.0493015	0.0617192	0.0766075	0.125944	0.149707	0.194075	0.27162
a88	0.00166051	0.0028291	0.00304352	0.0043308	0.00801415	0.0175889	0.0344426	0.0474474	0.0626329	0.0723125	0.113012	0.144253	0.19947	0.288962
a71	0.00135582	0.00233935	0.0026902	0.00371181	0.00540121	0.00941482	0.01682	0.0248098	0.0388499	0.0532072	0.134419	0.168469	0.221725	0.316786
a9	0.0022914	0.00351852	0.00315435	0.00333852	0.0051362	0.00887439	0.0150027	0.0219892	0.036174	0.0474341	0.124936	0.145508	0.213355	0.369288
a87	0.00560606	0.00709947	0.00649401	0.0071808	0.010808	0.0203843	0.0390506	0.0569983	0.0816448	0.0961501	0.128818	0.117517	0.158937	0.263311
a23	0.0780468	0.0633244	0.0444575	0.0555738	0.0540399	0.0529454	0.0641404	0.078217	0.0879555	0.0862258	0.0598071	0.0636018	0.0841198	0.127545
a87	0.108541	0.0902074	0.0537541	0.0530288	0.0479121	0.0503746	0.0639652	0.0719012	0.0732596	0.0580577	0.0523076	0.067731	0.0869208	0.122039
</S>	0.00409086	0.00666656	0.00948237	0.0156421	0.0253485	0.0422787	0.0571594	0.05999	0.0570259	0.0732795	0.0895049	0.10876	0.15226	0.298512
