 	nyaamvua	enfonce	le	manioc	dans	la	hotte	</S>
a10	0.171368	0.136739	0.184953	0.20337	0.132213	0.0739359	0.0509351	0.0464866
a87	0.210234	0.17135	0.18853	0.162304	0.106642	0.0698702	0.0460399	0.0450297
a10	0.269568	0.145752	0.103044	0.0996941	0.0894728	0.0896429	0.0906118	0.112214
a83	0.385807	0.178477	0.117026	0.087526	0.0610322	0.0529695	0.0516024	0.0655594
a62	0.256262	0.163844	0.151511	0.118775	0.0805627	0.0624829	0.0729087	0.0936542
a75	0.485615	0.268782	0.0972804	0.0537872	0.0307848	0.0207375	0.0188428	0.0241705
a6	0.493657	0.268031	0.0945433	0.0575581	0.0307398	0.0188304	0.0160469	0.0205939
a47	0.375825	0.272181	0.135819	0.0834995	0.0447364	0.0282306	0.0259388	0.0337694
a37	0.239977	0.256204	0.169701	0.108706	0.0641123	0.0471157	0.0498212	0.0643615
a11	0.217172	0.227426	0.178271	0.11963	0.0692191	0.051351	0.0573603	0.079571
a90	0.184821	0.220116	0.188686	0.127575	0.0802659	0.0600851	0.0598573	0.0785941
a25	0.126086	0.172908	0.205311	0.162927	0.0999487	0.0706686	0.0714132	0.0907367
a41	0.0762051	0.113947	0.184135	0.189948	0.133397	0.0973877	0.0943657	0.110614
a5	0.0373314	0.0581928	0.112838	0.188161	0.174798	0.141499	0.134188	0.152992
a85	0.0513564	0.0701351	0.127906	0.19244	0.174146	0.138803	0.119492	0.125722
a6	0.0347013	0.0456004	0.103651	0.167787	0.171373	0.163253	0.15601	0.157624
a27	0.0270398	0.0333339	0.0627372	0.128814	0.152695	0.177066	0.196687	0.221627
a24	0.0174195	0.0168093	0.0281179	0.0486429	0.0655031	0.132071	0.27433	0.417106
a62	0.00537838	0.00600285	0.0131633	0.031918	0.0539546	0.142453	0.293883	0.453248
a21	0.006946	0.00900969	0.0198722	0.0390401	0.0599574	0.153893	0.298337	0.412945
a5	0.0104928	0.0123276	0.0207973	0.0386828	0.0626097	0.146655	0.299192	0.409242
a47	0.00529585	0.00592148	0.0129943	0.0238802	0.0423876	0.120368	0.305479	0.483674
a88	0.00275004	0.0029425	0.00751541	0.0151681	0.0316144	0.112202	0.309139	0.518668
a25	0.00285253	0.00287612	0.00725442	0.0129229	0.0265762	0.10514	0.296425	0.545953
a53	0.00693905	0.00592142	0.0124126	0.0178736	0.0376104	0.124444	0.317224	0.477574
a25	0.00693791	0.00535864	0.0123223	0.0171089	0.0338051	0.112141	0.316442	0.495884
a79	0.00403014	0.00375433	0.00992378	0.0162109	0.0322999	0.11272	0.310293	0.510767
a32	0.00691667	0.00677943	0.0156166	0.0249532	0.0440005	0.120952	0.305696	0.475085
a75	0.0593798	0.0461146	0.0623967	0.0764717	0.0933047	0.146616	0.232698	0.283019
a79	0.0164962	0.0131544	0.0229713	0.0372799	0.0529832	0.118566	0.274201	0.464348
a37	0.00278133	0.0030154	0.00646105	0.010779	0.0226055	0.0825835	0.283901	0.587873
a61	0.0020469	0.00204762	0.004743	0.00987512	0.0220663	0.0847795	0.291149	0.583292
a56	0.00231379	0.00213176	0.0049207	0.010946	0.0236218	0.0842679	0.285088	0.58671
a7	0.00330453	0.00320915	0.00722907	0.0145604	0.0301427	0.0977803	0.295325	0.548449
a84	0.00943544	0.00845674	0.0180429	0.0288415	0.0553258	0.134801	0.308985	0.436112
a10	0.134705	0.0985824	0.105218	0.115184	0.11612	0.129463	0.147078	0.15365
a87	0.118657	0.0880878	0.096671	0.107031	0.108186	0.137134	0.163328	0.180905
a23	0.133463	0.0994889	0.0929528	0.0974654	0.0955302	0.130514	0.163525	0.187061
a10	0.0722483	0.0541844	0.0529536	0.0783541	0.0896869	0.150201	0.227392	0.27498
</S>	0.0419272	0.0314182	0.0416072	0.0734832	0.086363	0.147574	0.242505	0.335121
