 	il	bouche	le	trou	</S>
a23	0.398708	0.209396	0.120136	0.120638	0.151122
a10	0.308597	0.213527	0.172726	0.169989	0.135162
a87	0.325252	0.239892	0.157129	0.152854	0.124873
a10	0.290629	0.244203	0.179724	0.170292	0.115152
a62	0.305784	0.268906	0.184034	0.150741	0.0905356
a61	0.389807	0.25338	0.153894	0.117427	0.0854924
a0	0.465125	0.217184	0.139433	0.101214	0.0770436
a24	0.212325	0.181792	0.181888	0.212856	0.211139
a75	0.0967536	0.108959	0.179629	0.267544	0.347114
a56	0.0769124	0.0858182	0.173028	0.278652	0.385589
a98	0.0546065	0.0800116	0.165202	0.286762	0.413418
a85	0.0261984	0.0492829	0.138028	0.30091	0.485581
a36	0.0293741	0.0468399	0.102813	0.28543	0.535543
a2	0.0403136	0.0523452	0.0980179	0.254799	0.554524
a57	0.0464409	0.0599846	0.121414	0.272792	0.499368
a3	0.115209	0.141348	0.165278	0.259613	0.318551
a87	0.129368	0.131813	0.150908	0.234554	0.353357
a97	0.114822	0.122629	0.165951	0.247147	0.349452
a3	0.0945032	0.101512	0.165911	0.260877	0.377198
a97	0.140407	0.128914	0.174109	0.239798	0.316773
</S>	0.161844	0.149033	0.181652	0.23189	0.275581
