 	les	hommes	ont	fait	une	bonne	chasse	</S>
a23	0.464614	0.250133	0.130565	0.0530805	0.023821	0.0210509	0.0263309	0.0304049
a85	0.404795	0.18469	0.131796	0.0844808	0.0414761	0.0407095	0.0536998	0.058353
a87	0.269714	0.185705	0.144536	0.074851	0.0451748	0.0622997	0.0905558	0.127164
a23	0.290553	0.204692	0.169089	0.0982061	0.0423312	0.0491904	0.0607639	0.0851743
a40	0.114503	0.0515614	0.0414345	0.0252355	0.0230636	0.106563	0.238446	0.399193
a20	0.241437	0.178133	0.133195	0.0773048	0.0612848	0.111616	0.10391	0.0931194
a84	0.218837	0.25672	0.251214	0.164236	0.0543867	0.0241522	0.0165895	0.0138641
a57	0.175465	0.204348	0.238966	0.200907	0.0869043	0.0407292	0.0276829	0.0249987
a20	0.104284	0.115875	0.14697	0.138648	0.109966	0.106891	0.12614	0.151226
a69	0.146482	0.198037	0.230367	0.179537	0.0954885	0.062479	0.046839	0.0407706
a90	0.172211	0.200594	0.231538	0.185755	0.101332	0.0497629	0.0312722	0.0275356
a57	0.128005	0.165354	0.234537	0.211112	0.125645	0.0644135	0.0389006	0.0320339
a38	0.0918413	0.120311	0.202922	0.199425	0.151118	0.105202	0.0725599	0.0566204
a0	0.084336	0.0931371	0.151052	0.154397	0.150656	0.133064	0.11687	0.116487
a62	0.0533021	0.0446719	0.0547955	0.0696184	0.141196	0.21958	0.223979	0.192857
a76	0.0477214	0.0314652	0.0315929	0.0377095	0.0824196	0.163015	0.275761	0.330316
a90	0.0403114	0.0357453	0.0375667	0.0434473	0.0837765	0.181194	0.284051	0.293907
a38	0.0499294	0.0550067	0.0736101	0.0728005	0.114399	0.166261	0.226041	0.241952
a41	0.0200878	0.0121207	0.0132497	0.0152782	0.0323796	0.101788	0.285357	0.519738
a27	0.0100379	0.00622812	0.00754984	0.0103271	0.0292774	0.11371	0.302325	0.520545
a82	0.0050722	0.00234961	0.00275977	0.00339118	0.0116974	0.0628317	0.26903	0.642868
a87	0.0032387	0.00105122	0.000947048	0.0011437	0.00559205	0.0397913	0.218244	0.729992
</S>	0.00693705	0.00400071	0.00467741	0.0059019	0.0211155	0.0819429	0.276093	0.599332
