 	maman	tire	l'	enfant	par	le	bras	</S>
a87	0.263618	0.235823	0.201271	0.138842	0.0695212	0.0389752	0.028487	0.0234623
a10	0.310541	0.15254	0.140949	0.106084	0.0892248	0.065862	0.0632459	0.0715523
a83	0.295312	0.138749	0.0982011	0.0777829	0.0737209	0.0784267	0.101006	0.136802
a70	0.201273	0.146023	0.140634	0.116327	0.113496	0.0926858	0.0913692	0.0981915
a98	0.494933	0.247484	0.0972017	0.0473675	0.0334914	0.0273834	0.025747	0.0263925
a85	0.443662	0.315683	0.118227	0.0420703	0.0249856	0.0210523	0.0181996	0.0161205
a37	0.38734	0.358092	0.137333	0.0444256	0.0230441	0.0181298	0.016344	0.0152914
a66	0.405746	0.382641	0.101513	0.0328932	0.0198533	0.0182372	0.0189727	0.0201433
a34	0.257841	0.276777	0.128488	0.0742785	0.0638882	0.0642535	0.0650258	0.0694478
a56	0.276666	0.286039	0.126915	0.0685689	0.0520058	0.055413	0.0627356	0.0716569
a75	0.236355	0.270769	0.168434	0.0780647	0.0530775	0.0565735	0.0638874	0.0728383
a85	0.157944	0.191754	0.175463	0.098722	0.0765473	0.0867088	0.0995171	0.113343
a41	0.108183	0.17172	0.190102	0.11734	0.0948296	0.105312	0.105496	0.107018
a35	0.0695508	0.123031	0.147944	0.128163	0.116942	0.125892	0.132638	0.155838
a98	0.0510905	0.0883748	0.122622	0.146318	0.136449	0.138122	0.143979	0.173044
a85	0.0348673	0.0685108	0.0889067	0.123398	0.138268	0.166822	0.178412	0.200815
a61	0.0224019	0.043106	0.0699199	0.111725	0.144867	0.187559	0.201745	0.218676
a21	0.0291632	0.0439718	0.0526269	0.090276	0.144702	0.200226	0.209221	0.229814
a66	0.0276038	0.0341713	0.0360021	0.0581597	0.111226	0.190309	0.252767	0.289761
a75	0.00591438	0.0100544	0.0130043	0.0317254	0.0903612	0.190415	0.273884	0.384642
a25	0.00810801	0.015131	0.0186512	0.0283134	0.0712668	0.166506	0.283573	0.408451
a69	0.00336813	0.00854086	0.0158896	0.0322371	0.0835457	0.175581	0.275085	0.405753
a58	0.00406004	0.0103012	0.016595	0.0331662	0.0832338	0.175644	0.278687	0.398313
a82	0.00133247	0.00229934	0.006801	0.0170638	0.06272	0.141964	0.286357	0.481463
a87	0.0987963	0.0833315	0.0731626	0.0835244	0.117467	0.132222	0.177259	0.234237
a23	0.165059	0.219804	0.125651	0.098565	0.108511	0.0960997	0.0942931	0.092017
a87	0.0511843	0.0619902	0.0479775	0.0725287	0.14368	0.198988	0.215174	0.208477
a38	0.0222251	0.0415374	0.0572682	0.0921236	0.146371	0.17686	0.217454	0.246161
a87	0.0317135	0.0574842	0.0688834	0.0732946	0.100059	0.141749	0.212668	0.314148
</S>	0.0331623	0.048567	0.0569421	0.0698636	0.104836	0.152031	0.231594	0.303005
