 	l'	homme	avança	sa	main	pour	me	dire	bonjour	</S>
a10	0.0788844	0.0639776	0.125012	0.127223	0.137835	0.098632	0.0888153	0.0848203	0.0843099	0.11049
a87	0.140258	0.12947	0.226097	0.11095	0.081039	0.0497208	0.0428806	0.054452	0.0699123	0.0952209
a23	0.134241	0.16309	0.276739	0.133786	0.0902907	0.0483875	0.0316467	0.0430335	0.0341353	0.0446504
a24	0.113615	0.130462	0.245503	0.171927	0.129768	0.0659448	0.0397455	0.0462486	0.0276994	0.029086
a62	0.328884	0.312981	0.181196	0.0855923	0.0459923	0.0184359	0.00921264	0.00936137	0.00437984	0.00396389
a13	0.360508	0.327138	0.149508	0.0671872	0.0415775	0.0200298	0.0122161	0.0112719	0.00607284	0.00448987
a98	0.205375	0.240483	0.149169	0.0886431	0.0740802	0.0548503	0.049569	0.0544917	0.0490641	0.0342749
a73	0.112344	0.174498	0.161954	0.111082	0.109478	0.0820713	0.0771586	0.0762584	0.0568058	0.0383493
a41	0.0959109	0.150615	0.157612	0.113799	0.118655	0.0866033	0.0815486	0.0825913	0.0600545	0.0526103
a12	0.086125	0.134264	0.160509	0.124936	0.118547	0.0977933	0.0898565	0.0953631	0.0562133	0.0363927
a56	0.0770214	0.12213	0.169307	0.128907	0.130689	0.0965099	0.0886644	0.0939741	0.0530551	0.0397421
a32	0.065467	0.0926318	0.148255	0.123816	0.137308	0.105496	0.101267	0.109066	0.0656451	0.0510483
a11	0.0530776	0.0693738	0.120475	0.116836	0.142137	0.108612	0.108063	0.116628	0.0850155	0.079782
a75	0.0551641	0.0666729	0.11108	0.115789	0.135518	0.110635	0.112187	0.12257	0.0922856	0.0780981
a94	0.0336906	0.0450518	0.0743688	0.095806	0.121862	0.104645	0.110696	0.148904	0.115807	0.149168
a75	0.0349285	0.0441541	0.0729517	0.106579	0.151225	0.123513	0.125116	0.144855	0.10005	0.0966285
a44	0.0500374	0.0567277	0.0744154	0.0953105	0.10813	0.0937531	0.0981129	0.140739	0.116453	0.16632
a53	0.0379558	0.0423309	0.0606226	0.0932047	0.132074	0.123847	0.128221	0.148522	0.112031	0.121191
a15	0.040242	0.0404286	0.0476795	0.0802007	0.0997808	0.100882	0.112335	0.159855	0.140037	0.17856
a90	0.0286376	0.030603	0.0450598	0.0828604	0.103997	0.103133	0.117293	0.163827	0.142058	0.18253
a15	0.0444367	0.0473771	0.0486005	0.078236	0.0957336	0.101197	0.11689	0.157345	0.13033	0.179854
a73	0.0280457	0.0306748	0.0291515	0.0436922	0.0568545	0.0781076	0.122023	0.177093	0.172923	0.261435
a58	0.0299993	0.0343064	0.028337	0.0337381	0.0398877	0.055744	0.110093	0.156522	0.192924	0.318449
a53	0.0150962	0.018399	0.016304	0.0288143	0.0313169	0.0549469	0.115327	0.162702	0.214186	0.342908
a90	0.0166796	0.0224119	0.0274155	0.038701	0.037834	0.0528957	0.0961618	0.152151	0.209183	0.346565
a32	0.0195451	0.0274827	0.0330554	0.0507422	0.0606536	0.0714966	0.109749	0.153826	0.166008	0.307441
a25	0.022362	0.0262693	0.0270048	0.0440926	0.0469426	0.0610287	0.103299	0.145205	0.168641	0.355155
a44	0.0271106	0.0265727	0.0245156	0.0352975	0.0372147	0.0543296	0.100835	0.141467	0.162096	0.390563
a94	0.0173957	0.0186243	0.0188319	0.0327637	0.031866	0.046145	0.0872094	0.134692	0.1877	0.424772
