 	apporte-nous	deux	chaises	</S>
a66	0.268136	0.254633	0.252408	0.224823
a87	0.260617	0.198418	0.238114	0.302851
a97	0.51203	0.199159	0.163469	0.125342
a38	0.559554	0.186617	0.141632	0.112197
a75	0.450848	0.161759	0.172581	0.214812
a85	0.419636	0.207358	0.159388	0.213618
a41	0.469171	0.220184	0.140585	0.17006
a36	0.481261	0.22078	0.137942	0.160018
a12	0.365133	0.249437	0.174566	0.210864
a43	0.474134	0.223717	0.156851	0.145298
a11	0.273526	0.266012	0.236037	0.224425
a75	0.220046	0.275424	0.269533	0.234997
a37	0.188257	0.293967	0.282135	0.235641
a85	0.133713	0.301612	0.311759	0.252915
a5	0.0795586	0.288053	0.318647	0.313742
a18	0.121125	0.303394	0.322971	0.252509
a43	0.0418725	0.176295	0.308938	0.472895
a12	0.0251956	0.133947	0.294903	0.545954
a88	0.0308387	0.149443	0.281323	0.538395
a0	0.0107127	0.0841544	0.264762	0.640371
a75	0.0159015	0.108607	0.285975	0.589516
a85	0.0230488	0.11453	0.222913	0.639508
a79	0.0234462	0.143623	0.264481	0.56845
a56	0.0176784	0.119432	0.230062	0.632828
a90	0.0132973	0.111788	0.240513	0.634402
a15	0.0135126	0.0971707	0.212487	0.67683
a20	0.0232131	0.105642	0.222496	0.648649
a36	0.0309301	0.139686	0.251953	0.577431
a27	0.0348171	0.131612	0.258973	0.574598
a11	0.117182	0.199198	0.282642	0.400978
a38	0.108994	0.190499	0.25448	0.446026
a25	0.0626113	0.15792	0.237836	0.541632
a10	0.0745693	0.164342	0.242541	0.518548
a25	0.18009	0.200869	0.241172	0.377868
a82	0.189292	0.211545	0.237958	0.361205
a3	0.181352	0.189154	0.233739	0.395756
a97	0.194275	0.211857	0.225676	0.368192
a3	0.236244	0.228933	0.202019	0.332804
a82	0.275107	0.233315	0.186255	0.305323
a3	0.300959	0.237527	0.174504	0.28701
a82	0.320543	0.235724	0.168877	0.274857
a3	0.321638	0.239968	0.17061	0.267784
a82	0.341022	0.234174	0.166835	0.257968
a10	0.440009	0.21851	0.141927	0.199553
a82	0.338527	0.253288	0.173338	0.234848
a10	0.360918	0.234868	0.166395	0.237819
a82	0.363179	0.227806	0.169682	0.239333
</S>	0.295387	0.232702	0.186901	0.28501
