 	notre	père	a	l'	habitude	de	manger	de	la	cola	</S>
a66	0.473887	0.208356	0.0841265	0.0515072	0.0392211	0.0286514	0.0331878	0.0294144	0.0208359	0.0168991	0.0139136
a87	0.420132	0.148962	0.0810502	0.0903117	0.0968262	0.0467939	0.0377106	0.0253992	0.0187744	0.0174157	0.016624
a23	0.41169	0.184842	0.0943788	0.0524084	0.0392703	0.0387913	0.0404992	0.0374461	0.0364242	0.0323054	0.0319443
a54	0.180717	0.104479	0.135989	0.141519	0.102786	0.073369	0.0565409	0.0478662	0.0504637	0.048623	0.0576475
a6	0.276534	0.165498	0.108991	0.0958847	0.0832976	0.0614751	0.0428661	0.032873	0.03987	0.0437988	0.0489115
a37	0.153822	0.190463	0.221533	0.163048	0.116454	0.0576745	0.0288274	0.0185393	0.0162083	0.0173803	0.0160501
a43	0.14088	0.155788	0.242258	0.177145	0.125509	0.0649918	0.026654	0.0173756	0.0155914	0.0170869	0.0167198
a75	0.12963	0.147695	0.247355	0.183066	0.138857	0.0636392	0.0248473	0.0165658	0.0142457	0.0165777	0.0175215
a85	0.0949524	0.136357	0.189819	0.161877	0.144508	0.0926668	0.0493338	0.0345005	0.0288994	0.0325895	0.0344972
a6	0.0516679	0.0773707	0.110116	0.125404	0.152051	0.147748	0.0941927	0.0673271	0.0545054	0.0549725	0.0646441
a85	0.0596876	0.0716712	0.077673	0.0907716	0.137846	0.18649	0.123516	0.0821983	0.059913	0.0547256	0.0555069
a47	0.0191007	0.0229048	0.0265637	0.0398641	0.0758208	0.162149	0.176717	0.140511	0.111002	0.103806	0.12156
a36	0.00394817	0.00501454	0.00856323	0.0164061	0.0390463	0.101432	0.148684	0.148671	0.144609	0.161075	0.222551
a37	0.00186253	0.00195927	0.0029113	0.0057802	0.0133776	0.0358268	0.079373	0.148332	0.20578	0.224948	0.279849
a43	0.00122915	0.0013153	0.00232145	0.00584992	0.0140146	0.0352156	0.0608119	0.102872	0.192556	0.248326	0.335487
a11	0.000470388	0.000527001	0.00105907	0.00289147	0.00782445	0.0217691	0.0434462	0.0731539	0.161707	0.261277	0.425875
a9	0.00117694	0.00108302	0.00157262	0.00374368	0.0107991	0.0246606	0.0499537	0.0832703	0.155537	0.212397	0.455806
a10	0.0229143	0.0201998	0.0146864	0.0146613	0.0249006	0.0462053	0.0626362	0.0833516	0.132406	0.185528	0.392511
a87	0.180525	0.0967898	0.0496767	0.0355329	0.0427171	0.0574602	0.071414	0.0817967	0.100654	0.121955	0.161479
a23	0.253855	0.131596	0.0683787	0.0442257	0.0504856	0.0581144	0.0625779	0.064073	0.0782859	0.0883442	0.100064
a99	0.0230172	0.0156822	0.0109083	0.0120584	0.0198612	0.0367345	0.0730447	0.124509	0.201534	0.237179	0.245472
a97	0.00264941	0.00209406	0.00237125	0.00351749	0.00616136	0.0166602	0.0517426	0.113104	0.202373	0.250106	0.34922
</S>	0.00397876	0.00399108	0.00527995	0.00631717	0.00843547	0.0200561	0.0555306	0.106682	0.176261	0.239244	0.374224
