 	je	ne	parle	pas	encore	bien	le	mbochi	</S>
a66	0.398572	0.202542	0.103686	0.0859333	0.071434	0.0568401	0.0335872	0.0269723	0.0204337
a87	0.261427	0.144373	0.104943	0.0903297	0.0951985	0.0931926	0.066842	0.0725742	0.0711202
a97	0.372682	0.221031	0.109494	0.0617278	0.0575324	0.0476574	0.0366131	0.0426285	0.0506334
a13	0.342505	0.231484	0.130496	0.0672287	0.0584735	0.0444347	0.0372633	0.0421324	0.0459825
a62	0.483875	0.236183	0.0851668	0.0375534	0.0268163	0.0289696	0.0241917	0.0361038	0.0411397
a12	0.426577	0.254856	0.117157	0.060566	0.0396812	0.032824	0.0227942	0.0234931	0.0220515
a43	0.330328	0.261472	0.165736	0.0846455	0.0531668	0.03854	0.0248122	0.0214848	0.0198147
a56	0.283722	0.244594	0.188037	0.103807	0.0610096	0.0422171	0.0267511	0.0240841	0.025778
a93	0.191254	0.213165	0.214115	0.143307	0.0848592	0.0555916	0.0351	0.0298617	0.0327457
a11	0.161122	0.200441	0.222064	0.162425	0.0933661	0.0588145	0.037878	0.030299	0.0335903
a21	0.111891	0.158775	0.211577	0.182319	0.113826	0.0718848	0.0522992	0.0454851	0.0519432
a12	0.104003	0.148363	0.196949	0.175587	0.122123	0.0885123	0.068567	0.0477966	0.0480981
a96	0.0635158	0.100461	0.154855	0.168305	0.144675	0.115325	0.10409	0.0766199	0.0721531
a90	0.038738	0.0657908	0.124576	0.169671	0.17005	0.136504	0.120105	0.0892233	0.0853424
a25	0.031167	0.0521753	0.104381	0.166445	0.183969	0.151252	0.132627	0.0910338	0.0869499
a56	0.0152029	0.0265735	0.0560042	0.110183	0.159359	0.164575	0.188204	0.138875	0.141023
a21	0.0177891	0.0258084	0.0496307	0.099695	0.160831	0.175017	0.195103	0.142531	0.133594
a61	0.0117856	0.0168529	0.0347181	0.0727283	0.123948	0.143004	0.197899	0.190215	0.208849
a96	0.0121587	0.0164798	0.0315046	0.0605354	0.10978	0.136276	0.205691	0.206973	0.220602
a21	0.00664683	0.00875131	0.0177448	0.0362093	0.0780148	0.113417	0.214698	0.248925	0.275593
a5	0.0036484	0.00473366	0.00944958	0.0191053	0.0408544	0.0668782	0.178235	0.285681	0.391415
a23	0.00234537	0.00299424	0.0062754	0.012953	0.0294241	0.0516663	0.154148	0.291029	0.449164
a75	0.000435226	0.000610704	0.00159038	0.0042208	0.0117487	0.0276237	0.114587	0.277736	0.561447
a47	0.000540332	0.000775216	0.00181757	0.00443491	0.0125803	0.0304986	0.121017	0.286607	0.541729
a36	0.000396553	0.000439324	0.00100438	0.00260053	0.00783543	0.0194012	0.0931378	0.267695	0.607489
a2	0.00437928	0.00284444	0.00369046	0.00616324	0.0130173	0.0278693	0.0864153	0.273523	0.582097
a57	0.0580008	0.0383001	0.0394634	0.0500024	0.0645353	0.0880443	0.143141	0.218933	0.29958
a97	0.151165	0.0696202	0.0494824	0.0511962	0.0611579	0.0734476	0.108668	0.18542	0.249843
a10	0.157746	0.0679443	0.0465076	0.049195	0.0665054	0.0767312	0.116966	0.193043	0.225362
a99	0.148868	0.0664397	0.0448362	0.0477397	0.073716	0.0843923	0.121095	0.188325	0.224589
a97	0.0662372	0.0351381	0.0302284	0.0368176	0.0624775	0.0854907	0.143872	0.221934	0.317805
a3	0.0500418	0.0301109	0.0292277	0.038987	0.0635843	0.0846828	0.140977	0.21982	0.342569
a97	0.0545416	0.0387367	0.041446	0.0538794	0.0763072	0.0900528	0.137001	0.202438	0.305597
a82	0.102399	0.0700011	0.0663086	0.0722956	0.0867163	0.0896157	0.114029	0.160612	0.238023
a57	0.131168	0.090178	0.0803526	0.0798779	0.0881287	0.0863659	0.103287	0.142088	0.198554
</S>	0.129661	0.0885636	0.079927	0.0789774	0.0867886	0.0875665	0.105665	0.14304	0.19981
