 	ces	femmes	ont	bouché	le	ruisseau	</S>
a66	0.306147	0.294956	0.195852	0.103677	0.0501749	0.0287033	0.02049
a87	0.328777	0.199022	0.152497	0.122887	0.0851203	0.0612323	0.0504652
a23	0.44962	0.191587	0.105875	0.0626556	0.055456	0.0599528	0.0748537
a87	0.431173	0.229609	0.127361	0.0536712	0.0444335	0.0488496	0.0649022
a23	0.378942	0.23	0.135544	0.0648641	0.0576989	0.0599884	0.072962
a40	0.344623	0.168289	0.0994075	0.0686657	0.0821137	0.100641	0.13626
a5	0.368692	0.250039	0.137282	0.0657932	0.0626182	0.0590498	0.0565259
a61	0.36923	0.252966	0.173067	0.0658849	0.0478986	0.0449354	0.0460182
a56	0.339315	0.264143	0.199231	0.0703318	0.0449903	0.0401095	0.0418801
a44	0.228571	0.264211	0.246369	0.0948564	0.0544076	0.0527514	0.0588333
a98	0.176714	0.241036	0.252535	0.102928	0.0682965	0.0731055	0.0853856
a47	0.126672	0.220507	0.251048	0.116415	0.08155	0.0947358	0.109072
a6	0.117357	0.202953	0.205683	0.0915118	0.0814863	0.12433	0.176679
a37	0.136745	0.201568	0.216405	0.106185	0.082822	0.11154	0.144735
a26	0.12534	0.222825	0.235589	0.121665	0.0815456	0.0946451	0.11839
a61	0.0591379	0.127157	0.17209	0.147311	0.120033	0.155166	0.219105
a88	0.0436295	0.0844097	0.130775	0.192236	0.172956	0.177989	0.198004
a18	0.0254483	0.0506672	0.0836686	0.150624	0.188794	0.230313	0.270486
a24	0.013286	0.0191038	0.030713	0.0745916	0.166446	0.307864	0.387996
a43	0.0107708	0.0132738	0.0209782	0.0557007	0.156271	0.314562	0.428443
a75	0.00294766	0.00430255	0.00886594	0.0384392	0.158762	0.337942	0.44874
a25	0.00143959	0.00296418	0.00693152	0.0296476	0.115007	0.328693	0.515318
a69	0.000620394	0.00103519	0.00225604	0.0115408	0.0658275	0.277437	0.641283
a56	0.00121341	0.0013484	0.00241357	0.00895882	0.0481573	0.243558	0.69435
a47	0.00130546	0.00184389	0.00405739	0.0215374	0.0890106	0.294767	0.587478
a43	0.0017823	0.00186518	0.00356122	0.0183513	0.0754534	0.273473	0.625514
a24	0.0014358	0.00135724	0.00269198	0.0137318	0.0585874	0.249172	0.673023
a9	0.0011568	0.00121362	0.00250487	0.0120744	0.0549544	0.243795	0.684301
a10	0.0371823	0.0230261	0.0220498	0.0353893	0.0782433	0.232278	0.571832
a87	0.127865	0.0659906	0.0480631	0.0611387	0.109183	0.215386	0.372373
a23	0.158846	0.0918647	0.0651558	0.0669649	0.112986	0.210356	0.293827
a99	0.0986754	0.0311833	0.0227081	0.0286024	0.0753755	0.257113	0.486343
a97	0.0371471	0.0185881	0.0194198	0.0404165	0.103592	0.28415	0.496686
</S>	0.0241985	0.0198731	0.0229058	0.0401762	0.0871517	0.249178	0.556517
