 	il	a	refusé	de	faire	ma	com	mission	par	canaillerie	</S>
a66	0.111486	0.10884	0.118146	0.148753	0.19656	0.188681	0.0765741	0.0292375	0.0101783	0.00656311	0.00498182
a87	0.272228	0.254096	0.186692	0.108834	0.075509	0.0531405	0.0231128	0.0111495	0.00680159	0.0061688	0.0022676
a23	0.187265	0.124232	0.143757	0.157123	0.135906	0.116048	0.0617938	0.0376862	0.0172812	0.0120563	0.00685175
a53	0.159738	0.123436	0.171145	0.149524	0.0972207	0.0776074	0.0624752	0.0483076	0.0408059	0.0349295	0.034811
a15	0.123859	0.131683	0.140302	0.12669	0.122032	0.133791	0.0993296	0.067005	0.0251379	0.0181503	0.0120198
a7	0.153964	0.212087	0.198416	0.119247	0.0897286	0.0673737	0.0574433	0.0480534	0.0241788	0.0196407	0.0098676
a37	0.140868	0.191718	0.211955	0.138491	0.0892747	0.0487787	0.0399386	0.0432476	0.0364041	0.0482218	0.0111027
a75	0.114444	0.13906	0.183333	0.148583	0.105199	0.0592426	0.0486368	0.0552331	0.0515265	0.0687807	0.0259624
a92	0.0803704	0.114504	0.152905	0.140827	0.124306	0.0938143	0.0934879	0.0793544	0.045476	0.0525507	0.0224044
a79	0.0777831	0.107555	0.133456	0.136048	0.127081	0.0894014	0.0882811	0.0751856	0.0562433	0.0711281	0.0378373
a98	0.0853887	0.102536	0.115582	0.142696	0.139707	0.102458	0.0974887	0.0715093	0.0496874	0.0544615	0.0384868
a92	0.079926	0.0980129	0.113714	0.154161	0.16076	0.118938	0.0944929	0.0638068	0.0405265	0.0446048	0.0310566
a90	0.0892424	0.0822379	0.0848301	0.110216	0.121597	0.0952189	0.078795	0.0660164	0.0717948	0.105373	0.0946786
a69	0.0558052	0.0469106	0.0510115	0.0831055	0.112949	0.103726	0.099848	0.0930237	0.0992206	0.122102	0.132298
a4	0.0254038	0.0219648	0.0242487	0.0506587	0.087635	0.0884332	0.105972	0.119569	0.134151	0.150028	0.191936
a75	0.0194851	0.0152137	0.0135871	0.0215427	0.040803	0.0490215	0.0718974	0.101077	0.149144	0.197019	0.32121
a92	0.00647006	0.00505155	0.00462053	0.00920144	0.0215578	0.0264265	0.04257	0.0785835	0.159736	0.239165	0.406618
a98	0.00366435	0.00278582	0.00257146	0.00516256	0.0127764	0.0175551	0.0314194	0.0592738	0.145289	0.275619	0.443883
a92	0.00248021	0.00200178	0.00213945	0.00481893	0.0120461	0.0161262	0.0325205	0.0651326	0.144345	0.306276	0.412113
a21	0.000976871	0.000688378	0.000484272	0.000639715	0.00137313	0.00257209	0.00754062	0.0206496	0.106839	0.206934	0.651302
a5	0.000647297	0.000439137	0.000307623	0.000389429	0.000797035	0.00134348	0.00425252	0.0141993	0.0874963	0.190156	0.699972
a85	0.00139505	0.000867269	0.000464102	0.000442439	0.000739303	0.00110659	0.00474091	0.0194649	0.110189	0.189059	0.671531
a6	0.000586581	0.000372748	0.000211702	0.000199472	0.000321194	0.000423743	0.00195955	0.0104331	0.0937003	0.16484	0.726952
a36	0.00106928	0.000704045	0.000354377	0.000365396	0.00065216	0.00107784	0.00535674	0.0245702	0.102229	0.153465	0.710156
a26	0.00641445	0.00639168	0.00337143	0.00288718	0.00501236	0.0065876	0.0266532	0.0782368	0.19709	0.228934	0.438421
a57	0.060707	0.0538256	0.0322072	0.0232257	0.0312827	0.0417095	0.0789787	0.112434	0.120436	0.138277	0.306917
a87	0.0982386	0.0646147	0.0596165	0.0641446	0.0830602	0.109077	0.117185	0.149225	0.0961466	0.046162	0.11253
a23	0.112262	0.0815657	0.0770584	0.0774636	0.0981423	0.123431	0.125451	0.136108	0.0955963	0.0324487	0.0404733
a87	0.0548666	0.0274108	0.0159515	0.0146495	0.018484	0.0249578	0.050249	0.0752119	0.226795	0.233491	0.257933
</S>	0.00950927	0.00549975	0.00419562	0.00490615	0.00767713	0.0113322	0.030945	0.066648	0.249788	0.272454	0.337045
