 	ce	jeune	garçon	est	un	vagabond	</S>
a79	0.340919	0.18927	0.166068	0.108406	0.0907325	0.0616397	0.0429652
a38	0.389164	0.165	0.0922891	0.0744233	0.0723818	0.0927894	0.113952
a75	0.387539	0.188604	0.171474	0.116702	0.0764075	0.0342258	0.0250478
a98	0.446632	0.284459	0.162288	0.0534093	0.0282788	0.0123148	0.0126181
a85	0.514189	0.26851	0.118401	0.0388851	0.0260489	0.0180369	0.015928
a21	0.408591	0.24835	0.151492	0.0718344	0.0512616	0.039673	0.0287977
a47	0.343313	0.239654	0.182943	0.0904672	0.0638643	0.0461045	0.0336536
a70	0.213205	0.239397	0.236867	0.136952	0.0860337	0.0589583	0.0285864
a75	0.0877159	0.122665	0.206436	0.24558	0.190294	0.104468	0.0428413
a98	0.0898398	0.103678	0.153635	0.19391	0.187501	0.175253	0.0961835
a85	0.0607853	0.0761244	0.129861	0.211109	0.235086	0.191644	0.0953904
a61	0.0526656	0.0592293	0.0951379	0.166927	0.22353	0.230828	0.171683
a88	0.0349393	0.0438903	0.0815282	0.175442	0.271769	0.258315	0.134115
a71	0.0163326	0.0233172	0.0475314	0.119511	0.229678	0.327254	0.236375
a75	0.0109746	0.0127773	0.0270173	0.0658232	0.154248	0.410603	0.318556
a44	0.00727298	0.011517	0.0347159	0.0841265	0.167908	0.346407	0.348052
a84	0.00298943	0.00536256	0.0200999	0.0642618	0.142558	0.379568	0.385161
a57	0.0021772	0.00302269	0.00965718	0.028365	0.0808287	0.301501	0.574448
a70	0.00204024	0.00193401	0.00419687	0.0100411	0.0311232	0.227058	0.723606
a13	0.000541363	0.000723823	0.00238403	0.00920619	0.0324611	0.197279	0.757404
a20	0.00335057	0.00330792	0.00664289	0.0178851	0.0574528	0.294578	0.616783
a7	0.00136353	0.00178799	0.00405176	0.0115768	0.0333764	0.195105	0.752739
a57	0.00088455	0.00100527	0.00205862	0.00537501	0.0172522	0.136979	0.836446
a87	0.0197068	0.0119552	0.0117529	0.0234405	0.0563828	0.31838	0.558382
a23	0.150304	0.082331	0.0510455	0.0712567	0.104736	0.274395	0.265932
a87	0.0380492	0.0323793	0.029895	0.058864	0.100383	0.377747	0.362683
</S>	0.0245978	0.0239807	0.0324388	0.0794915	0.129703	0.301137	0.408652
