 	la	récolte	annuelle	de	sésames	augmentent	</S>
a10	0.119712	0.108127	0.103936	0.158179	0.232523	0.166294	0.11123
a87	0.154291	0.121183	0.108828	0.133127	0.15385	0.166021	0.1627
a23	0.260572	0.160417	0.111053	0.115897	0.127957	0.126866	0.0972377
a94	0.248053	0.18398	0.126749	0.138927	0.142212	0.111273	0.0488072
a20	0.424833	0.246612	0.147272	0.087317	0.0479414	0.0275353	0.0184896
a76	0.433275	0.264685	0.136598	0.0795818	0.0425539	0.0265649	0.0167409
a94	0.397703	0.293943	0.138287	0.0845878	0.0461413	0.0270231	0.0123146
a13	0.389751	0.298263	0.136169	0.0844915	0.0472224	0.029291	0.0148115
a9	0.340529	0.287103	0.153714	0.104153	0.0615372	0.036	0.016964
a38	0.248202	0.242177	0.179318	0.145765	0.0954977	0.057737	0.0313039
a35	0.271093	0.25699	0.183963	0.134922	0.0809402	0.0465975	0.0254932
a90	0.262355	0.250542	0.181328	0.140405	0.0921809	0.052745	0.0204449
a9	0.19337	0.226676	0.197182	0.174852	0.112922	0.0679535	0.0270449
a87	0.1151	0.187724	0.221601	0.207887	0.148789	0.0830168	0.0358827
a23	0.140871	0.161623	0.161549	0.15587	0.162713	0.12961	0.0877623
a41	0.181211	0.19597	0.164084	0.15116	0.140842	0.100091	0.0666422
a98	0.172096	0.172387	0.157868	0.14982	0.141156	0.122464	0.0842073
a71	0.173124	0.16268	0.152004	0.158471	0.149901	0.119413	0.0844064
a38	0.0854679	0.117626	0.144437	0.170006	0.185879	0.17101	0.125573
a24	0.0714376	0.0973245	0.133523	0.184577	0.204376	0.181079	0.127683
a76	0.0495419	0.0672234	0.0928776	0.135413	0.194298	0.210926	0.249719
a90	0.0367141	0.0537378	0.083631	0.152383	0.210442	0.246015	0.217077
a25	0.0325247	0.0511164	0.0900489	0.167722	0.208504	0.227945	0.222139
a11	0.0252296	0.0395615	0.0721465	0.143756	0.201284	0.249437	0.268585
a94	0.0128659	0.0239135	0.0427064	0.0837659	0.184774	0.271529	0.380445
a98	0.0134172	0.023323	0.0450045	0.0879777	0.198542	0.268309	0.363427
a24	0.0159483	0.0197933	0.0356835	0.0690403	0.162329	0.253328	0.443877
a76	0.0140018	0.0177435	0.0305375	0.0571853	0.145006	0.241047	0.494479
a35	0.0201138	0.0221524	0.0356187	0.0574567	0.125297	0.241632	0.497729
a26	0.0168378	0.0171597	0.0305346	0.0511718	0.124226	0.23652	0.523551
a24	0.0205843	0.0245336	0.0458877	0.0763191	0.163742	0.231901	0.437033
a43	0.0248459	0.0248816	0.0402421	0.0629907	0.144695	0.226232	0.476112
a32	0.0300123	0.0312489	0.0468502	0.0700065	0.147874	0.224666	0.449342
a75	0.036403	0.0346725	0.0495058	0.0720388	0.1502	0.231686	0.425494
a14	0.00873279	0.00869001	0.0174995	0.0355801	0.103572	0.212884	0.613041
a94	0.00956562	0.0122385	0.0264873	0.0472768	0.111944	0.214643	0.577845
a53	0.0117235	0.0150469	0.0302187	0.0510937	0.112705	0.205663	0.57355
a90	0.0162081	0.017998	0.0321599	0.0532575	0.110946	0.193655	0.575776
a66	0.0158314	0.018679	0.0338058	0.0535746	0.104382	0.205382	0.568345
a54	0.0543193	0.0436232	0.0586854	0.0783515	0.132685	0.192765	0.43957
a7	0.0526536	0.0485384	0.0635955	0.0848067	0.148583	0.215683	0.38614
a57	0.0538596	0.0372603	0.0519424	0.0756909	0.145125	0.237086	0.399035
a87	0.0476832	0.0395063	0.0503837	0.0754014	0.139046	0.244599	0.403381
a23	0.0767473	0.0573751	0.0579495	0.071777	0.11795	0.216426	0.401776
a87	0.104448	0.0742482	0.0691525	0.0909172	0.148032	0.221397	0.291805
</S>	0.0660383	0.0452032	0.046415	0.0829473	0.198907	0.254051	0.306439
