 	je	prends	le	remède	</S>
a66	0.427241	0.232154	0.168699	0.1025	0.0694068
a87	0.359965	0.239041	0.19301	0.128692	0.0792911
a23	0.609277	0.229598	0.0946951	0.0384449	0.027985
a38	0.545774	0.188817	0.117877	0.0761344	0.0713971
a54	0.498216	0.175923	0.137662	0.106122	0.0820774
a5	0.453506	0.255945	0.141037	0.0883226	0.0611894
a12	0.221524	0.280664	0.249569	0.152857	0.0953868
a96	0.304952	0.252438	0.182543	0.140218	0.119848
a56	0.241413	0.234872	0.192803	0.172158	0.158754
a25	0.199873	0.217203	0.209008	0.200058	0.173858
a69	0.113974	0.148921	0.198579	0.256786	0.281739
a58	0.0714317	0.0878316	0.155346	0.266301	0.41909
a94	0.0244223	0.0286595	0.0752769	0.228758	0.642884
a12	0.0101401	0.0175894	0.0577416	0.216106	0.698423
a96	0.0117232	0.0199251	0.0493073	0.185612	0.733432
a18	0.0130716	0.0250308	0.0668303	0.207247	0.687821
a71	0.0486206	0.0643598	0.110288	0.25215	0.524582
a9	0.108786	0.0969364	0.125866	0.239468	0.428943
a87	0.358523	0.164587	0.123318	0.148001	0.205571
a23	0.487346	0.235506	0.118332	0.0812571	0.077559
a87	0.312383	0.145795	0.131384	0.142494	0.267944
</S>	0.0661202	0.0490099	0.0793569	0.181993	0.62352
