 	les	enfants	de	cette	femme	jetaient	les	écorces	d'	arachide	dans	la	poubelle	</S>
a66	0.15418	0.180307	0.202673	0.169165	0.11575	0.0603835	0.0313611	0.0194815	0.0177186	0.0158958	0.0133982	0.00964513	0.00584476	0.00419509
a87	0.263172	0.150876	0.0746376	0.0468143	0.0328155	0.015723	0.0152724	0.0252064	0.0387973	0.0623515	0.0781927	0.0728061	0.0660758	0.0572596
a97	0.132987	0.0908777	0.0734218	0.085746	0.0919548	0.0321503	0.0262541	0.0372901	0.0501359	0.0715619	0.0738078	0.0718976	0.0787727	0.0831425
a87	0.158178	0.127021	0.093432	0.0985415	0.0986395	0.0400786	0.0308687	0.034515	0.0449478	0.0677689	0.0695886	0.0527736	0.0417455	0.0419012
a97	0.120036	0.0953327	0.0690145	0.0668324	0.0742462	0.0351953	0.0349145	0.0522428	0.0661025	0.0962476	0.095068	0.0752988	0.0591336	0.0603351
a79	0.204833	0.163438	0.112604	0.0823367	0.0580897	0.0356801	0.0152612	0.0172928	0.0195654	0.0449175	0.0563486	0.0564709	0.0627427	0.0704189
a54	0.297615	0.233919	0.168019	0.0671869	0.0312951	0.0255567	0.0121058	0.00962747	0.00777224	0.0145118	0.0179763	0.0208588	0.0369817	0.0565743
a37	0.25991	0.211946	0.181139	0.0909962	0.0569764	0.0585301	0.0292977	0.0195164	0.0127307	0.015435	0.0149204	0.0141524	0.0169762	0.0174737
a6	0.150339	0.15368	0.166768	0.133747	0.0974993	0.0778426	0.0466682	0.0317071	0.0223246	0.0248082	0.0228471	0.0223774	0.0244786	0.0249138
a37	0.0681283	0.0902689	0.135223	0.122611	0.103167	0.125625	0.0917502	0.0560995	0.0357678	0.0331899	0.0276183	0.0275683	0.0408652	0.0421178
a93	0.0813967	0.0849357	0.13142	0.144602	0.13061	0.110883	0.0853489	0.0565641	0.0454023	0.0362633	0.0269732	0.0221151	0.0214081	0.022078
a4	0.0742193	0.0840671	0.132135	0.134349	0.120008	0.110822	0.0957537	0.0659786	0.0555849	0.0411811	0.0277489	0.0201395	0.0185684	0.019444
a70	0.070644	0.0779157	0.108742	0.111072	0.106234	0.10371	0.0972369	0.0817634	0.0755386	0.0559807	0.038395	0.026665	0.0229073	0.0231961
a96	0.0275397	0.0337388	0.063784	0.0868302	0.0995526	0.112135	0.122753	0.112867	0.107764	0.0823096	0.0563721	0.0366835	0.0285148	0.0291564
a93	0.017137	0.0192878	0.0434094	0.0809238	0.10823	0.110134	0.123956	0.111776	0.116828	0.0935026	0.0663174	0.0439323	0.0313064	0.0332598
a4	0.0114895	0.0146153	0.0386497	0.0770815	0.0994254	0.0976601	0.119953	0.122205	0.124049	0.101944	0.0730399	0.0482556	0.0342137	0.0374187
a93	0.0117103	0.0141645	0.0314718	0.0749068	0.111113	0.106262	0.125082	0.114797	0.116327	0.0968064	0.0728854	0.049788	0.036352	0.0383329
a53	0.011607	0.0142293	0.0337319	0.0773406	0.110759	0.103664	0.126358	0.119851	0.114433	0.0924229	0.0696606	0.0492132	0.0369335	0.0397961
a69	0.007174	0.00870783	0.0205899	0.0584221	0.108172	0.109298	0.138635	0.120962	0.12115	0.0987943	0.0738633	0.0524952	0.0392932	0.0424424
a54	0.00600077	0.00788016	0.0177401	0.045514	0.0901279	0.0929799	0.12944	0.120841	0.128113	0.106824	0.0852923	0.0653849	0.0509616	0.0528995
a6	0.00203015	0.00329097	0.00953942	0.0270416	0.0700391	0.0910222	0.131906	0.137459	0.134122	0.103778	0.083505	0.0722754	0.0656409	0.0683495
a36	0.00161754	0.00242048	0.00673996	0.0195507	0.0656482	0.0980715	0.141571	0.14662	0.128867	0.0937592	0.073662	0.066936	0.073949	0.0805878
a61	0.00155795	0.00198815	0.00543002	0.0178207	0.0626736	0.11307	0.172699	0.154405	0.129126	0.093914	0.0673816	0.0499637	0.0539291	0.0760417
a12	0.00196447	0.00215247	0.00463661	0.0154354	0.0514514	0.0872317	0.125945	0.119786	0.108276	0.0894682	0.0813531	0.0791779	0.101304	0.131818
a96	0.00163761	0.001693	0.00321179	0.0100728	0.0365974	0.0765866	0.118043	0.119261	0.118984	0.0963163	0.0867702	0.0836117	0.107735	0.139478
a98	0.00109251	0.00123039	0.00264133	0.00852818	0.0333737	0.0710659	0.117819	0.129873	0.13145	0.103221	0.0904554	0.0831473	0.0982272	0.127875
a47	0.000366793	0.000469961	0.00138843	0.00511507	0.0222232	0.0551732	0.112947	0.130191	0.128977	0.0943886	0.0828573	0.0819625	0.119727	0.164212
a36	0.000262216	0.00035144	0.000997665	0.00369899	0.0198578	0.0523763	0.11051	0.125423	0.122292	0.087357	0.0765983	0.0837296	0.143396	0.173149
