 	il	est	coordonnier	</S>
a57	0.446107	0.204687	0.188617	0.160589
a30	0.274169	0.224405	0.26447	0.236956
a90	0.402339	0.194397	0.212594	0.19067
a25	0.304612	0.204199	0.200908	0.290281
a79	0.379144	0.245105	0.138742	0.237009
a56	0.481538	0.299845	0.100515	0.118102
a34	0.39954	0.291723	0.148298	0.160439
a56	0.394736	0.314499	0.152987	0.137778
a34	0.307038	0.334037	0.205183	0.153742
a62	0.204347	0.316785	0.278435	0.200434
a21	0.132187	0.226957	0.367051	0.273805
a92	0.0996383	0.187487	0.391691	0.321184
a85	0.056683	0.12278	0.361401	0.459137
a47	0.0744718	0.154632	0.338062	0.432835
a15	0.0344134	0.0730938	0.281926	0.610567
a7	0.0288188	0.0512395	0.225768	0.694174
a4	0.00753243	0.0239797	0.194356	0.774132
a13	0.0109056	0.0459174	0.230542	0.712635
a3	0.00553169	0.0291481	0.191377	0.773943
a97	0.0124905	0.0346782	0.244234	0.708597
a87	0.0662662	0.0871529	0.313039	0.533542
a23	0.0691832	0.0776484	0.32287	0.530298
a87	0.0116958	0.0244933	0.207563	0.756248
</S>	0.00654655	0.0181075	0.167595	0.807751
