 	cet	homme	s'	est	initié	à	la	divination	</S>
a66	0.235408	0.161005	0.1274	0.0935881	0.0798454	0.106991	0.092422	0.0759859	0.0273548
a10	0.220123	0.139497	0.0922232	0.0689373	0.0691776	0.113183	0.129253	0.125313	0.0422932
a97	0.193145	0.140582	0.106949	0.0751488	0.0730607	0.0936022	0.0941755	0.122768	0.100569
a87	0.209311	0.163782	0.130147	0.088664	0.0978859	0.096379	0.0762231	0.0754396	0.0621684
a97	0.197683	0.161032	0.129662	0.0927082	0.103199	0.108445	0.0831173	0.0715895	0.0525641
a83	0.202881	0.153976	0.134178	0.1046	0.109869	0.0904413	0.0621598	0.0718784	0.0700156
a93	0.300019	0.204056	0.162219	0.0942736	0.0465814	0.035173	0.0289306	0.0636083	0.0651386
a90	0.211296	0.207576	0.206706	0.135392	0.10678	0.0574325	0.0292382	0.028379	0.0172003
a98	0.132565	0.144214	0.181829	0.167083	0.152449	0.0930914	0.0472219	0.0489322	0.0326135
a92	0.0799636	0.108789	0.164063	0.181393	0.174835	0.114951	0.0648055	0.0688932	0.0423077
a37	0.081933	0.124452	0.173544	0.177919	0.179823	0.123283	0.067007	0.0481244	0.0239145
a96	0.0563997	0.0942803	0.160477	0.191135	0.242556	0.139029	0.062146	0.0341246	0.0198532
a66	0.046845	0.0744163	0.132463	0.18655	0.229605	0.178903	0.0866687	0.041735	0.0228132
a38	0.0229325	0.0354106	0.0722833	0.135975	0.195157	0.194262	0.135643	0.109255	0.0990823
a47	0.0283955	0.0407148	0.0764732	0.132211	0.172887	0.193439	0.147298	0.113238	0.0953431
a61	0.0261624	0.0294462	0.0532498	0.106567	0.132512	0.203281	0.183203	0.144475	0.121104
a47	0.0224365	0.0275429	0.0495819	0.101228	0.134643	0.181277	0.193803	0.172968	0.116519
a88	0.0147699	0.0158251	0.0281515	0.0643347	0.0895304	0.168704	0.214144	0.215612	0.188929
a62	0.0119906	0.0114263	0.0162235	0.035681	0.0596535	0.118521	0.181712	0.229396	0.335397
a96	0.0132474	0.0134864	0.0174463	0.0327937	0.0541213	0.100228	0.169876	0.226657	0.372143
a75	0.010836	0.0102122	0.0146585	0.030826	0.0475743	0.0933699	0.150183	0.221078	0.421262
a36	0.00743607	0.00787905	0.0129538	0.0294208	0.0406972	0.0663828	0.104286	0.193258	0.537686
a26	0.016915	0.0134157	0.0139438	0.0215395	0.0271913	0.0478875	0.0973379	0.200341	0.561429
a3	0.106624	0.0757082	0.0559885	0.0534164	0.0442487	0.06942	0.0977889	0.17705	0.319755
a82	0.147476	0.0972468	0.0688597	0.0585749	0.0417057	0.067016	0.0982666	0.155319	0.265535
a97	0.155296	0.0935312	0.0615874	0.0488864	0.034406	0.0601482	0.102596	0.19527	0.24828
a82	0.125202	0.0736424	0.0543531	0.0521234	0.0361136	0.060836	0.10284	0.23093	0.26396
</S>	0.0899517	0.0555113	0.0449134	0.0459417	0.0368589	0.0665922	0.107783	0.23305	0.319397
