 	ambili	était	un	grand	écrivain	</S>
a87	0.706067	0.186652	0.051628	0.0196106	0.0161274	0.0199152
a23	0.164035	0.059214	0.0564027	0.108848	0.175305	0.436196
a40	0.233525	0.214661	0.142178	0.101565	0.113437	0.194634
a37	0.553541	0.208681	0.103005	0.062866	0.0401317	0.031775
a26	0.698579	0.167335	0.0708666	0.024464	0.0208672	0.0178878
a61	0.586972	0.2171	0.103479	0.0314404	0.032467	0.0285421
a47	0.648794	0.229953	0.0808916	0.016413	0.0126979	0.0112501
a21	0.406217	0.274017	0.153216	0.0594654	0.0590294	0.0480552
a85	0.622895	0.199759	0.0889501	0.0313145	0.030546	0.026535
a5	0.284331	0.192926	0.12775	0.093749	0.14609	0.155154
a75	0.381814	0.272048	0.174371	0.0584886	0.0569	0.0563788
a25	0.187796	0.111606	0.121878	0.140234	0.206072	0.232414
a56	0.146794	0.119554	0.149697	0.152732	0.20729	0.223932
a44	0.130065	0.133618	0.196193	0.168472	0.175121	0.196531
a21	0.0744505	0.0951551	0.139824	0.186602	0.227676	0.276292
a12	0.0433617	0.0545303	0.0837926	0.19172	0.300429	0.326167
a96	0.0131764	0.03191	0.0579301	0.19016	0.352595	0.354228
a62	0.00521186	0.0107517	0.0205199	0.0808502	0.327447	0.555219
a88	0.0050589	0.0120626	0.0259741	0.106833	0.330308	0.519763
a75	0.00226566	0.00560672	0.0150736	0.0642363	0.301942	0.610875
a6	0.00304173	0.00836542	0.0196575	0.0768317	0.267668	0.624436
a0	0.00157501	0.00449	0.011306	0.058488	0.255537	0.668604
a90	0.00046606	0.00118498	0.00331167	0.0238363	0.154795	0.816406
a94	0.000510302	0.00127502	0.00444129	0.0251378	0.126065	0.842571
a18	0.000242154	0.000747725	0.00253583	0.0242398	0.155671	0.816564
a25	0.00074868	0.0030883	0.00876482	0.0562521	0.228322	0.702824
a97	0.0011627	0.00349267	0.00825942	0.0495838	0.229715	0.707786
a87	0.165799	0.114968	0.102024	0.148684	0.190165	0.27836
a23	0.262248	0.129417	0.0744882	0.116986	0.154645	0.262216
a87	0.0812387	0.0266571	0.0259945	0.0935098	0.262908	0.509692
</S>	0.00698899	0.00492926	0.00919337	0.0906396	0.281601	0.606648
