 	les	poules	sont	sous	l'	ombre	du	manguier	</S>
a66	0.482803	0.306418	0.0684972	0.0319065	0.0263558	0.0173332	0.0217829	0.0245755	0.0203273
a87	0.523424	0.178653	0.0729823	0.0383103	0.0333928	0.0314993	0.0353849	0.0436316	0.0427222
a23	0.552467	0.186601	0.0448065	0.023518	0.0235225	0.0312888	0.0352273	0.0471892	0.0553798
a40	0.393372	0.135624	0.0371316	0.0243771	0.0381958	0.0663001	0.0701301	0.0893246	0.145544
a36	0.438203	0.192823	0.087044	0.0591695	0.0549713	0.0405238	0.043907	0.0433902	0.0399678
a56	0.328875	0.393267	0.128061	0.0451693	0.0241689	0.0191663	0.0151038	0.020389	0.0257987
a43	0.281006	0.40107	0.190681	0.0698033	0.0250354	0.0118901	0.00696943	0.00647968	0.00706572
a75	0.214931	0.297438	0.225227	0.126957	0.0500103	0.0276493	0.0185822	0.0178169	0.0213887
a85	0.140041	0.309155	0.303443	0.144581	0.0454085	0.0175631	0.0123416	0.01213	0.0153365
a6	0.079293	0.146141	0.260839	0.213798	0.0922314	0.0481229	0.0423614	0.0498052	0.0674081
a5	0.157138	0.232758	0.250068	0.164579	0.064322	0.0346208	0.028063	0.0312033	0.0372468
a43	0.131017	0.130239	0.206851	0.170076	0.102872	0.0619084	0.062876	0.0647459	0.0694131
a21	0.0680621	0.0684156	0.10988	0.145336	0.142228	0.100234	0.110553	0.117119	0.138173
a12	0.0267195	0.0237145	0.0388014	0.0697746	0.11029	0.128455	0.180319	0.212304	0.209623
a56	0.0132006	0.0130163	0.0215998	0.0482651	0.108848	0.153207	0.226273	0.223638	0.191952
a96	0.00815185	0.00776037	0.0140696	0.0345916	0.0861532	0.162861	0.253113	0.242588	0.190712
a62	0.00637094	0.00673374	0.0103792	0.0245477	0.0588424	0.125371	0.236462	0.290547	0.240746
a75	0.00216103	0.00258084	0.00395045	0.00769563	0.0224531	0.0705295	0.180698	0.356001	0.353931
a92	0.000380325	0.000362407	0.000811234	0.00263965	0.0117002	0.0644509	0.182812	0.345344	0.391499
a79	0.000323876	0.000299874	0.000812886	0.00261479	0.00976654	0.045403	0.12647	0.338261	0.476048
a94	9.61581e-05	0.000111636	0.000495489	0.00217437	0.00935754	0.0423002	0.122087	0.327334	0.496043
a54	5.99859e-05	6.98081e-05	0.000194666	0.000798154	0.0041179	0.0334963	0.0866388	0.335439	0.539185
a47	5.76869e-05	7.39935e-05	0.000242707	0.000886602	0.00420985	0.0309258	0.0786255	0.298057	0.586921
a7	6.41171e-05	8.88354e-05	0.000378133	0.00139141	0.00590774	0.0365063	0.0969838	0.328774	0.529906
a26	0.000345474	0.000509712	0.0013088	0.0032205	0.00808927	0.0420395	0.097352	0.343509	0.503626
a57	0.0464189	0.0462842	0.0381512	0.0448255	0.0568884	0.0953539	0.153687	0.233422	0.284968
a87	0.209293	0.11907	0.0630451	0.0517203	0.0563321	0.0691765	0.0954016	0.149626	0.186335
a23	0.453992	0.188585	0.0856305	0.0474443	0.0382863	0.0342398	0.0385916	0.0547917	0.0584391
a97	0.0908758	0.040851	0.0241958	0.0198496	0.0306472	0.0835063	0.107271	0.248453	0.35435
a87	0.0200588	0.0103383	0.00737149	0.00797131	0.0160612	0.0838405	0.132071	0.245284	0.477003
</S>	0.0513783	0.028919	0.0134939	0.0114057	0.0216954	0.0871482	0.131077	0.224694	0.430189
