 	mon	genou	s'	est	enflé	</S>
a66	0.24961	0.210549	0.165253	0.15988	0.131152	0.0835554
a3	0.21959	0.178835	0.17024	0.152404	0.168648	0.110283
a87	0.385879	0.304701	0.171798	0.0714187	0.0434147	0.022789
a99	0.371065	0.302455	0.196841	0.0834909	0.0341202	0.0120279
a50	0.553692	0.286096	0.0997112	0.0365255	0.0167112	0.00726447
a83	0.391028	0.353189	0.159912	0.0670953	0.0206112	0.00816429
a93	0.377282	0.248966	0.199049	0.102338	0.0454709	0.0268937
a56	0.217119	0.2067	0.236209	0.1679	0.0950473	0.077025
a34	0.152836	0.155151	0.223737	0.200901	0.137793	0.129582
a96	0.152108	0.182626	0.212919	0.19021	0.134735	0.127402
a62	0.150564	0.220015	0.197449	0.171843	0.133035	0.127094
a61	0.0751043	0.128765	0.130812	0.180161	0.226732	0.258426
a43	0.0428831	0.105461	0.102437	0.15719	0.248421	0.343608
a11	0.0152975	0.0549175	0.0768036	0.152345	0.283353	0.417283
a93	0.00594813	0.030142	0.0611935	0.141038	0.298237	0.463441
a94	0.0023058	0.0123389	0.0295437	0.0972527	0.289091	0.569467
a11	0.00108856	0.00548749	0.0149879	0.0584108	0.253842	0.666184
a0	0.00203952	0.00841019	0.0215481	0.0744816	0.271332	0.622189
a11	0.00664137	0.0170041	0.031599	0.0813386	0.272341	0.591076
a9	0.0141476	0.0269689	0.0424365	0.0890352	0.246963	0.580449
a87	0.0879439	0.0733993	0.0658806	0.0980276	0.227546	0.447202
a23	0.269351	0.229399	0.122506	0.0976123	0.140834	0.140297
a99	0.0654489	0.0533692	0.0553187	0.0743729	0.217462	0.534028
a97	0.0434454	0.0577641	0.0657656	0.0972198	0.208707	0.527098
a87	0.0292469	0.0454015	0.0461869	0.0777841	0.204206	0.597175
</S>	0.0502737	0.0712439	0.0827934	0.113575	0.233641	0.448472
