 	voilà	le	crâne	du	gorille	</S>
a66	0.444031	0.319438	0.125867	0.06108	0.035972	0.0136122
a87	0.676373	0.235446	0.0589962	0.0144423	0.00864166	0.00610135
a23	0.55166	0.258074	0.0989179	0.0329145	0.027652	0.0307819
a62	0.417783	0.222917	0.11987	0.0718998	0.0661038	0.101426
a12	0.522117	0.28694	0.0937043	0.0356527	0.0312947	0.0302907
a21	0.346134	0.39969	0.184268	0.0467923	0.0144385	0.0086774
a5	0.240018	0.386694	0.267451	0.0748214	0.0224976	0.00851858
a43	0.234014	0.363998	0.269506	0.0722337	0.0426108	0.0176378
a75	0.244093	0.357484	0.241332	0.0728255	0.0527112	0.031554
a85	0.157723	0.259885	0.342962	0.148976	0.0684037	0.0220509
a6	0.111987	0.188196	0.271552	0.223815	0.142218	0.0622324
a5	0.0982101	0.128236	0.232301	0.249889	0.203852	0.0875115
a12	0.0889073	0.100183	0.167315	0.223133	0.265584	0.154878
a18	0.0195738	0.0242112	0.06656	0.157415	0.327605	0.404635
a88	0.0021357	0.00220134	0.00427261	0.0287241	0.184795	0.777871
a93	0.00147381	0.00172205	0.00444083	0.0303927	0.158882	0.803088
a56	0.00193639	0.00214842	0.00498857	0.0292367	0.196438	0.765252
a21	0.000622364	0.00067554	0.00199813	0.0189941	0.165594	0.812116
a12	0.000264726	0.000321674	0.00130973	0.0156161	0.114384	0.868104
a18	0.000227584	0.000366728	0.00121577	0.0122554	0.128861	0.857074
a93	0.00466647	0.00594013	0.0153403	0.062157	0.244025	0.667871
a4	0.000666422	0.00109318	0.00320243	0.0202701	0.191978	0.78279
a57	0.000600875	0.000901156	0.00289435	0.022241	0.197983	0.77538
a3	0.0115671	0.010515	0.0243795	0.0926889	0.242916	0.617934
a87	0.303315	0.114378	0.114296	0.134838	0.144201	0.188972
a23	0.45888	0.245785	0.137722	0.0809191	0.0422937	0.0344009
a99	0.0568023	0.0271392	0.0338496	0.0583186	0.16303	0.660861
a3	0.0271298	0.0134295	0.0225926	0.0533931	0.185409	0.698046
</S>	0.00912483	0.00658248	0.016713	0.0347684	0.145711	0.7871
