 	la	graisse	de	cabri	qu'	elle	a	préparée	s'	est	coagulée	</S>
a66	0.15139	0.127323	0.114395	0.131616	0.117808	0.108272	0.0979135	0.0824229	0.0325355	0.0191713	0.0101982	0.00695461
a10	0.33034	0.226937	0.167445	0.113105	0.0578944	0.0368067	0.0278345	0.0163194	0.00871898	0.00675095	0.0041509	0.00369799
a3	0.176304	0.190289	0.152924	0.142478	0.118966	0.0816306	0.0513626	0.0357923	0.0163611	0.0144273	0.00980608	0.00965944
a87	0.153792	0.186318	0.147932	0.141746	0.110549	0.0741214	0.0538782	0.0480174	0.0273296	0.0255303	0.0162599	0.014526
a23	0.138838	0.157645	0.132188	0.133372	0.107649	0.0810857	0.0644683	0.0583323	0.0399287	0.0420231	0.0263944	0.0180746
a40	0.198462	0.187776	0.136348	0.113714	0.0734979	0.0611784	0.0579087	0.0465463	0.034514	0.0336179	0.0302291	0.0262078
a20	0.319256	0.218866	0.168766	0.107171	0.050862	0.0401206	0.0336918	0.0246134	0.0124007	0.00924532	0.00859004	0.0064177
a69	0.297493	0.230898	0.17266	0.103039	0.0470121	0.0393035	0.0343613	0.0239127	0.0149569	0.0119154	0.0134551	0.0109924
a44	0.274008	0.210991	0.16357	0.0993345	0.0521235	0.0488614	0.0451534	0.0316543	0.024269	0.0202677	0.0177813	0.0119866
a53	0.117395	0.117499	0.130256	0.113449	0.0934285	0.0890898	0.0864104	0.0646528	0.0564662	0.053573	0.043787	0.0339942
a98	0.0927345	0.091028	0.115884	0.111488	0.105579	0.0995383	0.0975611	0.0815031	0.0646667	0.0555437	0.0404933	0.0439815
a15	0.102946	0.0910541	0.139372	0.12107	0.101819	0.0928459	0.0960998	0.0772773	0.0650528	0.048224	0.03215	0.0320889
a7	0.0861474	0.0736138	0.11471	0.106675	0.103012	0.0978477	0.109315	0.0900751	0.0781681	0.060533	0.0404161	0.0394866
a90	0.049957	0.059678	0.0945649	0.121937	0.142049	0.124786	0.101765	0.0886621	0.0644382	0.0524174	0.0370427	0.0627021
a79	0.0589506	0.0570091	0.0926113	0.107304	0.118638	0.115274	0.112243	0.103697	0.0799668	0.0639405	0.0405622	0.0498035
a56	0.0283511	0.024203	0.0441124	0.0748226	0.111433	0.124814	0.135983	0.124726	0.108936	0.0933368	0.0592094	0.0700729
a32	0.0190567	0.0181334	0.0303935	0.0542682	0.103268	0.114327	0.123527	0.139361	0.124958	0.106665	0.0722049	0.0938371
a96	0.00908844	0.00878355	0.0127731	0.0231761	0.0562335	0.0787258	0.105018	0.13361	0.141889	0.129597	0.103862	0.197244
a98	0.0100559	0.00942285	0.012009	0.0199354	0.0458533	0.0701048	0.0995241	0.132077	0.140764	0.132068	0.116636	0.21155
a85	0.00666589	0.00615323	0.0102352	0.0195157	0.0499871	0.0750702	0.101705	0.112043	0.12641	0.133571	0.137915	0.22073
a6	0.00546766	0.00447418	0.00845333	0.0178676	0.0458791	0.0756811	0.103629	0.117681	0.144012	0.143884	0.134437	0.198535
a36	0.00539591	0.00430563	0.00698069	0.0141479	0.0365969	0.0711058	0.0985997	0.11593	0.142587	0.144245	0.153965	0.206141
a37	0.00784879	0.00635503	0.00896459	0.0150693	0.0313165	0.0649099	0.100925	0.129961	0.140367	0.12648	0.149587	0.218217
a56	0.00794262	0.00655355	0.0095766	0.0152922	0.0280151	0.0513832	0.0802241	0.109626	0.125229	0.119417	0.160981	0.28576
a93	0.0060275	0.00476225	0.00709532	0.0113568	0.0230799	0.0407872	0.0674019	0.108954	0.144622	0.147306	0.175569	0.263039
a90	0.00391973	0.00287515	0.0043213	0.00729529	0.0136677	0.0241972	0.0424527	0.0681762	0.110378	0.12215	0.188304	0.412263
a98	0.0036178	0.00252747	0.00361359	0.0058766	0.0120601	0.0246863	0.0432174	0.0667779	0.114805	0.136513	0.197303	0.389001
a92	0.0035941	0.00241944	0.00394428	0.00670025	0.0135762	0.0270579	0.0507172	0.0634383	0.111048	0.134929	0.197027	0.385549
a79	0.00365362	0.00278447	0.00409392	0.00627267	0.0123173	0.0250201	0.0462196	0.0694251	0.112677	0.132454	0.193072	0.39201
a37	0.00249134	0.00179649	0.00297961	0.0045164	0.00788828	0.013588	0.02518	0.0438021	0.0884173	0.116756	0.216801	0.475783
a32	0.00219889	0.00156332	0.0025891	0.00394802	0.00640711	0.00959484	0.0158361	0.0258724	0.0578336	0.0884633	0.223603	0.562091
a90	0.00202248	0.00130919	0.00210454	0.00307971	0.00477215	0.00654565	0.0104308	0.0147771	0.032509	0.0560564	0.191665	0.674728
a93	0.00051842	0.00035129	0.000568356	0.000929244	0.00171326	0.0031772	0.00584406	0.0103025	0.0300669	0.0581408	0.19408	0.694308
a4	0.000720545	0.000518409	0.000816815	0.00129869	0.00225725	0.00369259	0.0062299	0.0104188	0.0277307	0.0516356	0.190027	0.704654
a93	0.00115012	0.000803563	0.00134833	0.00208302	0.00323564	0.00488516	0.00729334	0.00958601	0.0212357	0.038866	0.187584	0.721929
a56	0.00143153	0.000977456	0.00148147	0.00208071	0.00326625	0.00488404	0.00782456	0.0121851	0.0307864	0.0552516	0.196265	0.683566
a96	0.00142413	0.000922401	0.00148439	0.00211295	0.00326445	0.00463513	0.00716161	0.00984241	0.0235871	0.0447289	0.180685	0.720151
a36	0.00131372	0.00074352	0.00124937	0.0018804	0.0029898	0.00431943	0.00693358	0.00760816	0.0165817	0.0318749	0.17236	0.752145
a26	0.013732	0.00742926	0.00946153	0.0115315	0.0145514	0.0221503	0.0309627	0.0288454	0.0523008	0.0902824	0.224971	0.493782
a57	0.035785	0.0219537	0.027494	0.0298863	0.0332001	0.049282	0.0577729	0.0508826	0.0878923	0.108487	0.187707	0.309657
a87	0.0951759	0.0543598	0.0522315	0.0474069	0.0439818	0.0501077	0.0626655	0.0559218	0.0812211	0.0897468	0.135379	0.231803
a23	0.134504	0.120102	0.103917	0.101778	0.0966639	0.0889702	0.0818818	0.0742053	0.0668427	0.0503323	0.039535	0.041268
a82	0.0664262	0.0357967	0.0358094	0.0269596	0.0228368	0.0210715	0.0243958	0.0272945	0.0653604	0.0694449	0.152625	0.451979
a87	0.0488797	0.0326241	0.0269102	0.0230201	0.0288053	0.0339575	0.0427826	0.0510281	0.088896	0.0845222	0.129353	0.409222
a23	0.0514205	0.0426779	0.0371111	0.0399488	0.0617511	0.0735681	0.0843806	0.0836164	0.0927945	0.0847703	0.0887313	0.259229
a87	0.0349612	0.0232659	0.0251703	0.021836	0.0275725	0.0315992	0.0397309	0.0436125	0.0911276	0.0903286	0.141282	0.429513
a97	0.0407362	0.0334802	0.0373837	0.0397601	0.0494217	0.0474676	0.0500331	0.045427	0.0624815	0.0605074	0.0942213	0.43908
</S>	0.0769427	0.0681948	0.0785581	0.0862249	0.0967829	0.0879492	0.0889379	0.0817126	0.0752957	0.0583652	0.0530564	0.14798
