 	cette	fille	avait	fui	la	maison	de	son	mari	</S>
a66	0.236894	0.168491	0.127178	0.0855325	0.0791046	0.105306	0.0809149	0.0470737	0.0391123	0.0303922
a87	0.29418	0.214164	0.152023	0.0760737	0.0301685	0.0402943	0.0396151	0.0445702	0.0587168	0.0501943
a23	0.333457	0.205582	0.150749	0.0762391	0.0439255	0.0394452	0.038417	0.0363281	0.0407109	0.0351464
a53	0.232546	0.159096	0.12336	0.0652787	0.0434291	0.0489253	0.0666869	0.0786381	0.0967006	0.0853388
a54	0.193012	0.186647	0.136475	0.15045	0.102193	0.0705199	0.0578389	0.0429145	0.0363243	0.0236237
a92	0.14142	0.188667	0.178822	0.202784	0.0840187	0.0691823	0.0500704	0.037105	0.0286074	0.0193229
a56	0.11117	0.152077	0.19679	0.225245	0.0738654	0.071746	0.0484904	0.0437436	0.0418486	0.0350236
a34	0.0992828	0.120012	0.189323	0.207495	0.098122	0.0888084	0.0535949	0.0459003	0.0464355	0.0510264
a56	0.0957757	0.109059	0.162902	0.180596	0.103249	0.0899891	0.0602125	0.0560064	0.0606873	0.0815227
a25	0.0939041	0.108968	0.146594	0.160715	0.100738	0.0906733	0.064313	0.0634858	0.0715051	0.0991032
a56	0.098366	0.117719	0.130704	0.17022	0.11128	0.0995957	0.0730501	0.0592535	0.0608468	0.0789647
a90	0.109046	0.101662	0.110953	0.117519	0.0949347	0.0904135	0.0864297	0.0842948	0.0911442	0.113604
a4	0.0691935	0.0653354	0.0850409	0.1029	0.0976837	0.117802	0.123939	0.110696	0.108627	0.118783
a70	0.0285034	0.0264071	0.0446211	0.0466974	0.0770213	0.117914	0.1577	0.163196	0.166882	0.171058
a75	0.0103057	0.00915693	0.0153512	0.0161853	0.0309514	0.056893	0.115279	0.195822	0.256513	0.293543
a92	0.00320226	0.00322182	0.00577647	0.00756616	0.0166146	0.0528613	0.148918	0.215986	0.253774	0.292079
a47	0.00137498	0.00153546	0.0029299	0.00394872	0.00898571	0.0327569	0.119884	0.216203	0.271333	0.341048
a93	0.000849922	0.000990938	0.00219641	0.00343833	0.00758894	0.0238062	0.0869402	0.174238	0.276055	0.423896
a70	0.00069065	0.000675918	0.00135335	0.0022477	0.0051091	0.0153176	0.0689747	0.17583	0.305895	0.423906
a93	0.000872699	0.000958878	0.0022589	0.00441328	0.0071163	0.013775	0.0423412	0.122188	0.299805	0.506271
a70	0.00170733	0.00185831	0.00374146	0.00628594	0.0105055	0.023308	0.0727177	0.161663	0.298633	0.419581
a66	0.00215748	0.00244809	0.00579096	0.00945202	0.0153166	0.034292	0.0798941	0.151313	0.26565	0.433685
a9	0.0142306	0.0159381	0.0315761	0.0397617	0.0475735	0.078615	0.118451	0.164147	0.203316	0.286391
a99	0.0468068	0.0385208	0.0568171	0.0763727	0.0834309	0.0732861	0.0973053	0.129157	0.177186	0.221118
a87	0.0708744	0.0494464	0.0514314	0.0551241	0.0557947	0.0674481	0.0882485	0.12458	0.173438	0.263615
</S>	0.20914	0.109306	0.0825449	0.0645494	0.0546289	0.062061	0.0747943	0.0903327	0.11262	0.140023
