 	il	est	revenu	bredouille	</S>
a23	0.227921	0.218026	0.172542	0.199697	0.181814
a87	0.176853	0.198034	0.193208	0.250689	0.181216
a79	0.269748	0.208834	0.188548	0.20163	0.131241
a20	0.207073	0.188085	0.209218	0.236889	0.158735
a73	0.278782	0.231053	0.211664	0.172178	0.106324
a84	0.409349	0.278483	0.15822	0.0987611	0.0551861
a11	0.32882	0.260398	0.174281	0.140037	0.0964646
a90	0.310931	0.251135	0.174527	0.144948	0.118459
a35	0.30546	0.241488	0.164865	0.161987	0.1262
a94	0.169602	0.198224	0.201033	0.212299	0.218842
a76	0.104345	0.134134	0.172805	0.279326	0.309389
a69	0.0651829	0.101894	0.172826	0.263802	0.396296
a58	0.0598064	0.0957908	0.162083	0.27858	0.403741
a35	0.0290042	0.0575581	0.108856	0.278298	0.526284
a41	0.01273	0.0308933	0.115394	0.30936	0.531623
a61	0.00598599	0.0167119	0.0806523	0.311635	0.585015
a32	0.00691658	0.014827	0.0633381	0.280961	0.633957
a25	0.0256448	0.0449812	0.119265	0.270978	0.539131
a87	0.0287501	0.0551773	0.139792	0.280489	0.495791
</S>	0.0428014	0.0608117	0.136724	0.317807	0.441856
