 	ma	pirogue	est	restée	seule	au	port	</S>
a85	0.238974	0.183442	0.20538	0.149574	0.0746709	0.0651703	0.0387676	0.0440219
a87	0.237209	0.152663	0.101956	0.0848407	0.0733623	0.093512	0.101236	0.155221
a23	0.268527	0.227852	0.126016	0.0900729	0.0617966	0.0505401	0.0558165	0.119379
a87	0.342433	0.211277	0.083051	0.0511055	0.0330274	0.045218	0.0639153	0.169973
a23	0.251455	0.16745	0.0726867	0.0614104	0.0566161	0.0892336	0.107862	0.193287
a53	0.310257	0.156714	0.0648604	0.0480041	0.0406067	0.080363	0.112961	0.186234
a15	0.642342	0.155523	0.0505807	0.032763	0.0191457	0.0271776	0.0308169	0.0416512
a47	0.390959	0.218356	0.127937	0.0982749	0.0597285	0.0517564	0.0236399	0.0293484
a6	0.347612	0.245454	0.148454	0.0955629	0.0510377	0.0453736	0.0262962	0.0402096
a47	0.225045	0.215791	0.169265	0.140897	0.0870913	0.0777993	0.0359937	0.0481177
a94	0.207329	0.213199	0.179714	0.1444	0.0863575	0.071776	0.0388925	0.0583323
a96	0.183606	0.229881	0.197452	0.157659	0.0895283	0.0708267	0.0320591	0.0389882
a66	0.132714	0.212344	0.230593	0.182221	0.103687	0.066628	0.0324224	0.0393915
a90	0.0565733	0.147018	0.201573	0.202814	0.137407	0.115172	0.0634448	0.0759996
a13	0.0389239	0.0864748	0.16101	0.214599	0.18289	0.155465	0.0721912	0.0884463
a38	0.0415608	0.0921326	0.158351	0.205959	0.173055	0.142081	0.0812497	0.105612
a13	0.0375951	0.0725238	0.141521	0.191621	0.172751	0.156481	0.0955732	0.131934
a38	0.0289031	0.0613442	0.126932	0.188845	0.183853	0.18075	0.106178	0.123196
a90	0.0261898	0.0477578	0.0961214	0.136433	0.156621	0.211755	0.14549	0.179631
a98	0.0277376	0.0387484	0.0833148	0.138887	0.146053	0.1879	0.168545	0.208814
a37	0.0383324	0.0379287	0.0703777	0.0971779	0.093436	0.136118	0.213268	0.313361
a75	0.0338849	0.0417454	0.0827999	0.114554	0.110861	0.147828	0.170771	0.297556
a5	0.0391595	0.0501049	0.0966285	0.119442	0.110956	0.145399	0.177601	0.260709
a61	0.0417214	0.0472376	0.0812666	0.094521	0.0881248	0.134707	0.192025	0.320396
a31	0.0295359	0.0320235	0.061057	0.0861718	0.094168	0.17733	0.209515	0.310198
a24	0.0245384	0.0275482	0.0529002	0.0769577	0.0870575	0.17714	0.268625	0.285233
a83	0.0103324	0.0121149	0.0252516	0.0364028	0.0451005	0.11728	0.326005	0.427513
a13	0.00761539	0.00960303	0.0186461	0.0272013	0.034755	0.0951813	0.331697	0.475301
a93	0.00203407	0.00269028	0.00538621	0.00958042	0.0172616	0.0655242	0.317088	0.580436
a96	0.00456607	0.00645436	0.0147252	0.0246475	0.0362207	0.113432	0.309496	0.490458
a83	0.000836282	0.00105678	0.00174637	0.00318006	0.00622824	0.0335915	0.282561	0.6708
a13	0.00133198	0.00183796	0.00278976	0.00476746	0.00940002	0.0408114	0.30237	0.636692
a99	0.00479471	0.0048032	0.00712009	0.0109469	0.0184162	0.0567233	0.318321	0.578875
a87	0.00858264	0.00703222	0.00711187	0.0104388	0.0176448	0.0516355	0.303836	0.593718
a23	0.221206	0.115607	0.0642951	0.0591464	0.0621697	0.0947164	0.132063	0.250797
a87	0.0782412	0.0417759	0.0298851	0.0341048	0.0397165	0.07857	0.207106	0.4906
</S>	0.0277651	0.0171522	0.0171844	0.0286418	0.0388876	0.0765675	0.232602	0.561199
