 	je	ne	m'	entends	pas	avec	lui	</S>
a23	0.444288	0.225006	0.116065	0.0592024	0.043505	0.0320164	0.033308	0.0466102
a99	0.609583	0.172809	0.082701	0.0378102	0.0246946	0.0193397	0.0211397	0.0319223
a83	0.419557	0.205594	0.111541	0.0535063	0.0373241	0.0352901	0.0483806	0.0888071
a0	0.436997	0.257179	0.114989	0.0420176	0.0300322	0.0286584	0.0354449	0.0546815
a75	0.3568	0.28587	0.186534	0.0555604	0.0309584	0.0270541	0.0274389	0.0297843
a73	0.214848	0.208529	0.167597	0.0945576	0.0716658	0.0742966	0.0808129	0.0876929
a15	0.168415	0.212082	0.196023	0.0930355	0.078541	0.0814995	0.0831618	0.0872416
a92	0.147048	0.154401	0.126318	0.0850084	0.100328	0.120905	0.127578	0.138413
a12	0.0770645	0.100074	0.125465	0.114314	0.119078	0.138688	0.146701	0.178615
a18	0.0414052	0.0646039	0.109783	0.127086	0.138883	0.166063	0.173887	0.17829
a24	0.02447	0.0451872	0.0867244	0.162028	0.153013	0.169675	0.170651	0.188252
a62	0.024683	0.0351686	0.0567029	0.131699	0.158645	0.184471	0.194529	0.214101
a34	0.0252741	0.0314843	0.0471762	0.0979549	0.145153	0.197775	0.23062	0.224562
a90	0.011768	0.0166464	0.0309795	0.104199	0.155847	0.209138	0.232827	0.238596
a53	0.0102266	0.0151181	0.0253573	0.0642704	0.10447	0.173113	0.255358	0.352086
a90	0.00641909	0.009821	0.0178608	0.0649474	0.113189	0.180459	0.248664	0.35864
a44	0.00754319	0.011171	0.0188249	0.069696	0.112672	0.180795	0.246034	0.353264
a90	0.00393196	0.00523984	0.00912349	0.0441547	0.0848684	0.1679	0.253504	0.431278
a70	0.00446579	0.00656093	0.0118253	0.0530648	0.0923232	0.174511	0.261557	0.395692
a54	0.00156116	0.00177391	0.00316648	0.0220356	0.0482471	0.120633	0.256358	0.546225
a73	0.00178735	0.00229517	0.00411392	0.0224559	0.0470546	0.110289	0.247306	0.564699
a2	0.00114452	0.00143767	0.00267907	0.0162409	0.0339627	0.0869131	0.22673	0.630892
a75	0.00177219	0.00111867	0.00137958	0.00495093	0.0156192	0.0554799	0.211173	0.708507
a47	0.00229051	0.00124213	0.00141739	0.006516	0.0227235	0.078491	0.240494	0.646826
a36	0.000440465	0.000322074	0.000563587	0.00352399	0.0155633	0.0636745	0.229325	0.686587
a2	0.00255131	0.00147662	0.00212489	0.00877474	0.0278313	0.0817088	0.219968	0.655564
a57	0.0565337	0.0287371	0.025746	0.0534065	0.0881978	0.132092	0.207172	0.408115
a87	0.103869	0.0684728	0.0531251	0.0814367	0.118469	0.143407	0.180508	0.250712
a23	0.0847265	0.0700782	0.0547436	0.0793604	0.115054	0.150643	0.201436	0.243958
a87	0.0501459	0.0357877	0.0285741	0.0523465	0.109497	0.185499	0.243584	0.294565
</S>	0.00990611	0.00787202	0.00879486	0.0301207	0.100056	0.188083	0.289808	0.365359
