 	itoua	ressemble	à	son	père	</S>
a23	0.438301	0.257659	0.16096	0.0896555	0.031653	0.0217711
a87	0.553975	0.250474	0.113192	0.0445391	0.0230547	0.0147655
a50	0.434904	0.223164	0.158192	0.0877435	0.0537581	0.0422381
a88	0.527819	0.279914	0.125886	0.0367986	0.0166003	0.0129824
a9	0.45618	0.310739	0.161321	0.0450085	0.0163235	0.010428
a38	0.351026	0.27478	0.19523	0.0926466	0.0458758	0.0404411
a90	0.305148	0.223613	0.166399	0.111424	0.0965268	0.0968897
a20	0.307502	0.252368	0.171429	0.109285	0.0823741	0.0770424
a44	0.207239	0.187885	0.182545	0.164636	0.130515	0.127179
a53	0.181979	0.159022	0.174196	0.18677	0.154206	0.143827
a90	0.132966	0.105286	0.145711	0.198933	0.203274	0.21383
a70	0.0945136	0.0800879	0.143479	0.230084	0.22178	0.230056
a11	0.0707348	0.06418	0.128916	0.2561	0.252219	0.22785
a24	0.0363974	0.0304457	0.0693625	0.204465	0.332502	0.326827
a9	0.024212	0.0214522	0.050226	0.169073	0.352531	0.382506
a10	0.0047771	0.00372717	0.0108855	0.0616324	0.291966	0.627012
a75	0.00666564	0.00374686	0.00885678	0.0396601	0.21498	0.72609
a73	0.00685007	0.00476313	0.0106279	0.0425799	0.2034	0.731779
a2	0.00485323	0.00428716	0.013135	0.0544499	0.216093	0.707181
a57	0.0042958	0.00293153	0.00864135	0.0353342	0.184174	0.764623
a87	0.0791336	0.0600921	0.0693256	0.0916485	0.181402	0.518398
a10	0.143601	0.113013	0.107373	0.1707	0.190625	0.274687
a87	0.0656966	0.0745053	0.134021	0.271987	0.228218	0.225572
a23	0.0690055	0.0767577	0.142101	0.269381	0.215142	0.227613
a87	0.0492676	0.0425752	0.0716547	0.178026	0.272057	0.38642
a23	0.0511256	0.0413118	0.0792232	0.165352	0.273147	0.389841
a87	0.0442473	0.0381313	0.0840061	0.191098	0.267303	0.375214
</S>	0.0623842	0.0517374	0.0975781	0.170336	0.264254	0.353711
