 	hier	soir	nous	nous	sommes	égarés	dans	la	forêt	</S>
a23	0.29467	0.244141	0.123588	0.109329	0.0830897	0.0590292	0.0354033	0.0211116	0.0152441	0.0143948
a87	0.31658	0.146905	0.0696246	0.065119	0.0521423	0.0589377	0.052817	0.0635298	0.0827964	0.0915481
a97	0.147734	0.12913	0.107317	0.0894448	0.0908521	0.0768818	0.0467574	0.0548766	0.0886191	0.168387
a99	0.138468	0.182361	0.131654	0.11711	0.095231	0.0546061	0.0469932	0.0560718	0.0746383	0.102866
a97	0.224537	0.265439	0.126369	0.100487	0.0631453	0.0282407	0.0335062	0.0416583	0.0525715	0.0640459
a99	0.239473	0.264684	0.118373	0.0899503	0.0540977	0.0247795	0.0336234	0.0465008	0.060171	0.0683467
a83	0.260365	0.221482	0.0946099	0.0733188	0.0465297	0.0230009	0.0417943	0.0638671	0.0834392	0.0915929
a75	0.294234	0.298269	0.112388	0.0684995	0.034759	0.0183966	0.0242423	0.0322873	0.0505562	0.0663684
a92	0.295331	0.216173	0.0888342	0.0608663	0.0450223	0.0393594	0.0368186	0.0442882	0.0747377	0.0985694
a79	0.270379	0.230132	0.108517	0.0804331	0.0625539	0.0568068	0.0406754	0.0360977	0.0500504	0.0643541
a7	0.20668	0.185555	0.13331	0.103885	0.0812178	0.075002	0.04902	0.044517	0.0541958	0.0666166
a90	0.151647	0.232197	0.166135	0.141828	0.0994763	0.0639338	0.0343373	0.0284178	0.0355908	0.0464376
a98	0.137748	0.208366	0.185593	0.151209	0.100938	0.0725351	0.0346519	0.0266599	0.0352492	0.0470502
a92	0.100237	0.157298	0.169366	0.147181	0.116291	0.114264	0.0618088	0.0371446	0.0415189	0.0548916
a21	0.0779483	0.137657	0.161404	0.152268	0.128755	0.135009	0.0588919	0.0398368	0.0469168	0.0613145
a37	0.121709	0.176533	0.141482	0.123243	0.0951233	0.119481	0.0639844	0.0473044	0.048898	0.0622424
a56	0.0457776	0.0939512	0.123751	0.123459	0.125489	0.183472	0.0827133	0.0573863	0.069045	0.0949563
a44	0.0341382	0.0672202	0.0985957	0.101414	0.109626	0.188673	0.103261	0.0840999	0.093208	0.119765
a58	0.0289122	0.0543975	0.0877316	0.0960324	0.111098	0.196667	0.106413	0.0891815	0.100575	0.128993
a53	0.0253306	0.0469916	0.0864137	0.104237	0.133532	0.211628	0.0825375	0.0620319	0.0977272	0.14957
a90	0.0216738	0.0384828	0.0650945	0.0738487	0.0921454	0.192003	0.106077	0.102808	0.128772	0.179094
a4	0.0265495	0.0465944	0.0784874	0.0899494	0.11039	0.220819	0.102629	0.089607	0.100839	0.134136
a96	0.0285632	0.0433527	0.0663619	0.0687967	0.0762442	0.184271	0.113342	0.111655	0.132566	0.174848
a43	0.0254986	0.0414472	0.0639442	0.0693556	0.0858411	0.18948	0.112515	0.110663	0.130675	0.17058
a62	0.0143313	0.0241339	0.044297	0.0546622	0.0892349	0.230981	0.119538	0.0983616	0.129903	0.194557
a47	0.0149175	0.0239628	0.0427489	0.0489314	0.0718086	0.227122	0.136579	0.12209	0.140639	0.171201
a31	0.0285444	0.0423945	0.0747717	0.0819274	0.0968267	0.218663	0.129628	0.0895168	0.101511	0.136217
a47	0.0111589	0.0157123	0.0305269	0.0398604	0.0710793	0.227432	0.165151	0.15761	0.140248	0.141221
a62	0.00918777	0.0156192	0.0352583	0.0467675	0.0812959	0.236661	0.162987	0.138951	0.130992	0.14228
a96	0.00528662	0.00836686	0.0197197	0.0275487	0.0563352	0.198453	0.150876	0.172997	0.182434	0.177983
a62	0.00327771	0.00539103	0.0137832	0.0194472	0.0417061	0.170069	0.142394	0.170802	0.212925	0.220205
a0	0.00246573	0.00389427	0.0105215	0.0155674	0.0330359	0.135753	0.122906	0.169258	0.250497	0.256102
a93	0.00108827	0.00169844	0.00513517	0.0086985	0.0226425	0.104954	0.0905025	0.138056	0.282324	0.344901
a4	0.00074572	0.00157654	0.0057167	0.00826292	0.0169916	0.0787766	0.0805674	0.150712	0.299046	0.357605
a13	0.000989644	0.00171604	0.00511642	0.00806517	0.014518	0.0624647	0.0727537	0.135146	0.297429	0.401801
a4	0.000334386	0.000306627	0.000780521	0.00161878	0.00527686	0.0290918	0.0372522	0.0909216	0.327588	0.506829
a13	0.000580534	0.00065431	0.00172989	0.00345575	0.00844131	0.036382	0.0465886	0.111632	0.355333	0.435202
a38	0.00369678	0.00265883	0.00442079	0.00622444	0.0153609	0.0816497	0.0845764	0.148242	0.29163	0.361541
a30	0.00271985	0.0017728	0.00308714	0.00492811	0.0128811	0.0548301	0.0686392	0.150524	0.305279	0.395339
a97	0.04139	0.0220703	0.0186771	0.0219185	0.0347909	0.0848229	0.111975	0.16504	0.227475	0.271839
a3	0.0623742	0.0392188	0.0314202	0.0330969	0.0415157	0.0905531	0.113081	0.167801	0.204032	0.216908
a97	0.0245938	0.0137494	0.0150922	0.0167646	0.0262521	0.0800017	0.0955533	0.177443	0.268257	0.282293
a3	0.0235878	0.0136654	0.0185413	0.0230407	0.0397086	0.0891116	0.0813249	0.141434	0.254884	0.314702
</S>	0.0347177	0.027949	0.0385708	0.0443981	0.0637108	0.110334	0.0867775	0.125487	0.203558	0.264497
