 	l'	eau	de	ce	ruisseau	est	rouillée	</S>
a66	0.276078	0.23083	0.163848	0.128116	0.0972308	0.0551104	0.0307251	0.0180616
a87	0.483292	0.23219	0.0929968	0.0583327	0.0573768	0.03429	0.024075	0.0174472
a23	0.366865	0.225133	0.171597	0.11143	0.0588809	0.0207362	0.021948	0.0234098
a87	0.3098	0.177035	0.132624	0.0930576	0.0662227	0.039069	0.0839702	0.0982217
a23	0.307865	0.183668	0.14983	0.112337	0.0786939	0.0402139	0.06348	0.0639123
a7	0.198634	0.107687	0.0941364	0.0980767	0.0962688	0.0887682	0.15906	0.157369
a69	0.225141	0.194549	0.178578	0.150431	0.0968071	0.058405	0.0549448	0.0411438
a94	0.238511	0.231734	0.178178	0.147054	0.0960533	0.0643484	0.0322274	0.0118932
a31	0.111003	0.166199	0.187091	0.17645	0.141954	0.121601	0.0696646	0.0260369
a43	0.0846499	0.127734	0.190095	0.222201	0.168427	0.107739	0.0606644	0.0384898
a0	0.0690224	0.109052	0.189147	0.233717	0.180232	0.108869	0.0634435	0.0465165
a11	0.0541922	0.0762592	0.155573	0.215976	0.189794	0.125495	0.0922948	0.0904153
a90	0.0395067	0.0529919	0.121038	0.196348	0.209171	0.138013	0.11507	0.127862
a98	0.0218683	0.0334684	0.0745648	0.144197	0.195219	0.191832	0.170455	0.168395
a15	0.0152252	0.023958	0.0447293	0.0867367	0.157801	0.231657	0.241156	0.198738
a7	0.0198846	0.0248979	0.0428871	0.0757495	0.1405	0.174679	0.233796	0.287606
a44	0.0265161	0.0252848	0.0353113	0.0505984	0.0892939	0.112829	0.274935	0.385231
a54	0.0164687	0.014195	0.0198491	0.033243	0.0723337	0.111621	0.28233	0.44996
a6	0.00399509	0.00433133	0.0080207	0.017569	0.0461069	0.119126	0.321065	0.479786
a36	0.00175731	0.00183416	0.00315889	0.00688575	0.0195173	0.0745975	0.320804	0.571445
a2	0.00139238	0.00141849	0.00168227	0.00284502	0.00769683	0.035663	0.284265	0.665037
a44	0.0124915	0.0103102	0.00830116	0.00861065	0.0161	0.0305771	0.181603	0.732006
a26	0.00162588	0.00153951	0.00169351	0.00285176	0.00806966	0.033683	0.243547	0.70699
a57	0.00853678	0.00714599	0.0065519	0.00775543	0.0129916	0.0315706	0.187401	0.738046
a87	0.130837	0.0725831	0.0481937	0.0364846	0.0417526	0.0662586	0.180376	0.423514
a23	0.325436	0.189954	0.114897	0.069351	0.056726	0.0588726	0.0888493	0.0959142
a87	0.161135	0.108225	0.0719558	0.0579697	0.0642446	0.121499	0.234801	0.18017
</S>	0.0116175	0.0101462	0.0106672	0.0148262	0.0242692	0.077326	0.366385	0.484762
