 	la	brebis	a	mis	bas	un	agnelet	</S>
a87	0.422189	0.161873	0.106613	0.0911898	0.0852235	0.0597393	0.0405773	0.0325947
a23	0.203672	0.128745	0.109725	0.115985	0.105503	0.10174	0.110666	0.123965
a40	0.302801	0.171953	0.113279	0.0977692	0.0787342	0.0751352	0.0695994	0.0907291
a41	0.357397	0.163166	0.0988232	0.0906603	0.0890202	0.0792711	0.0525331	0.0691293
a18	0.429359	0.289189	0.144476	0.0672684	0.033816	0.0170161	0.00842003	0.0104553
a38	0.447814	0.304249	0.122502	0.0481801	0.0247468	0.0177177	0.0145347	0.020255
a76	0.305094	0.286113	0.176791	0.0975131	0.0448981	0.0305205	0.0268976	0.0321722
a94	0.267259	0.242362	0.146518	0.109018	0.0753165	0.0540544	0.0495495	0.0559229
a26	0.227977	0.232857	0.177027	0.133438	0.076623	0.051316	0.0475679	0.0531942
a75	0.199905	0.228586	0.184003	0.145455	0.0728232	0.0471192	0.0525862	0.069523
a35	0.131198	0.158011	0.154722	0.142192	0.105874	0.0909328	0.0988052	0.118265
a66	0.0824273	0.116277	0.129731	0.13654	0.120856	0.109888	0.136154	0.168128
a94	0.0582487	0.0701434	0.0895892	0.114064	0.120148	0.121725	0.178944	0.247138
a76	0.0383567	0.0468708	0.0656214	0.0965281	0.124227	0.146463	0.212477	0.269456
a14	0.0343938	0.0391525	0.0498834	0.0768217	0.11386	0.155939	0.243243	0.286707
a35	0.0202885	0.0270273	0.0361003	0.0603767	0.101935	0.15142	0.24407	0.358783
a14	0.00888522	0.0108959	0.0144752	0.0251207	0.0571272	0.132364	0.293765	0.457367
a35	0.0126339	0.0138834	0.0181311	0.0289428	0.0604387	0.133948	0.290534	0.441488
a30	0.00540257	0.00573761	0.00732525	0.0114968	0.0284141	0.0911397	0.310447	0.540037
a26	0.00672382	0.00685816	0.00983463	0.0149597	0.040845	0.104843	0.293578	0.522357
a57	0.00315116	0.00273301	0.00416516	0.00791805	0.0266976	0.0910091	0.289458	0.574868
a87	0.00327082	0.0025857	0.00332673	0.00589123	0.0171584	0.0636088	0.278749	0.62541
</S>	0.00490269	0.00440289	0.00726858	0.0142141	0.0362306	0.0962747	0.326651	0.510055
