 	le	bras	est	un	membre	du	corps	</S>
a66	0.298475	0.251482	0.195597	0.138055	0.0588507	0.0320516	0.0151712	0.0103165
a87	0.376791	0.237489	0.126313	0.0983062	0.0723552	0.0324936	0.027498	0.0287545
a23	0.269069	0.256408	0.263293	0.168226	0.0237022	0.00659811	0.00676651	0.00593787
a5	0.157657	0.193333	0.244412	0.237652	0.0762997	0.0323237	0.0284698	0.0298524
a56	0.239464	0.231175	0.179688	0.133274	0.0776232	0.0436997	0.0430204	0.0520552
a90	0.146535	0.204467	0.241612	0.264168	0.107692	0.0212112	0.00780488	0.00650918
a25	0.133081	0.207981	0.235437	0.324923	0.0837444	0.00965654	0.00279918	0.00237774
a98	0.159654	0.20379	0.210236	0.283945	0.113113	0.0175246	0.00586269	0.0058745
a85	0.114092	0.180917	0.215462	0.279719	0.137058	0.0408099	0.0161653	0.0157778
a5	0.113345	0.153301	0.179279	0.226733	0.116981	0.0752306	0.0630337	0.0720968
a85	0.140275	0.126871	0.108467	0.125398	0.141226	0.123059	0.119045	0.115659
a37	0.0336884	0.0397329	0.0486325	0.0819074	0.163814	0.211103	0.212028	0.209094
a92	0.0192743	0.0224066	0.0286569	0.0473238	0.119939	0.239028	0.278332	0.24504
a5	0.00428592	0.00509917	0.00700712	0.0146794	0.106657	0.271357	0.326776	0.264138
a75	0.00356618	0.00291413	0.00274131	0.00399884	0.0198105	0.130493	0.338317	0.498159
a56	0.00136324	0.00141993	0.00182311	0.00369415	0.0249394	0.182159	0.362646	0.421954
a93	0.00131137	0.00114285	0.0011821	0.00197755	0.0140404	0.110399	0.316416	0.553531
a70	0.000837962	0.000523281	0.000489501	0.00078565	0.00521033	0.0798738	0.325447	0.586833
a57	0.00308527	0.00232643	0.00189793	0.00466831	0.0240522	0.135198	0.348166	0.480607
a3	0.111528	0.128356	0.114431	0.12046	0.100097	0.11992	0.130187	0.175021
a87	0.202963	0.232253	0.209921	0.201373	0.048675	0.0405221	0.032383	0.0319105
a23	0.229234	0.227764	0.179198	0.196118	0.0562215	0.0445245	0.0344559	0.0324834
a66	0.0903481	0.0924102	0.0925132	0.0878417	0.049774	0.0998585	0.212671	0.274583
a26	0.0192674	0.0218819	0.0251207	0.0371524	0.035922	0.0865891	0.268753	0.505314
</S>	0.0251623	0.0294234	0.0287103	0.0396719	0.0344675	0.0780492	0.266949	0.497566
