 	il	y	en	a	assez	</S>
a23	0.317748	0.177641	0.122269	0.107969	0.135293	0.13908
a38	0.381837	0.206558	0.132881	0.0974465	0.0855966	0.0956812
a24	0.441772	0.256431	0.133904	0.0630149	0.0474899	0.0573878
a71	0.457251	0.289329	0.173624	0.0501222	0.0191644	0.0105105
a26	0.302755	0.262181	0.24721	0.111191	0.051719	0.0249446
a24	0.233438	0.207847	0.228788	0.161898	0.109369	0.0586609
a43	0.215428	0.215832	0.208553	0.16421	0.12761	0.0683668
a94	0.148387	0.186838	0.212043	0.200805	0.163626	0.088301
a71	0.193568	0.209988	0.208844	0.172382	0.136729	0.0784893
a38	0.13269	0.164466	0.17927	0.186209	0.194818	0.142547
a73	0.113529	0.129939	0.155938	0.190719	0.221043	0.188831
a2	0.0684915	0.0744543	0.110825	0.188567	0.269049	0.288614
a57	0.0220711	0.026195	0.0385977	0.0956214	0.259022	0.558493
a87	0.0228175	0.0283236	0.028486	0.0581495	0.193154	0.669069
</S>	0.0356315	0.0491239	0.0505817	0.0888231	0.208843	0.566997
