 	nous	avons	fait	un	détour	en	passant	derrière	la	maison	</S>
a87	0.131054	0.111595	0.134872	0.172095	0.183844	0.122573	0.0830203	0.024638	0.0152514	0.0114234	0.00963498
a23	0.198877	0.136526	0.0972228	0.0906903	0.11849	0.128501	0.122246	0.0410259	0.0252922	0.0221112	0.0190174
a0	0.0952408	0.10999	0.101927	0.113959	0.102637	0.0952983	0.0889907	0.0609423	0.0545515	0.0712312	0.105232
a61	0.203561	0.176423	0.158967	0.131874	0.0842814	0.0605364	0.0363505	0.0299676	0.0285559	0.0358732	0.0536099
a21	0.372659	0.244864	0.166299	0.110506	0.049462	0.0212881	0.00991118	0.00596864	0.00595761	0.00643378	0.0066513
a47	0.308817	0.260528	0.174134	0.121105	0.0605055	0.0337293	0.015287	0.00696512	0.0059276	0.00639567	0.00660651
a88	0.13934	0.173779	0.165951	0.16973	0.113186	0.0700832	0.0633454	0.0350036	0.0261717	0.0232368	0.0201728
a31	0.107743	0.118107	0.134568	0.147821	0.131351	0.104237	0.08346	0.049571	0.0416907	0.0404856	0.0409655
a96	0.0912504	0.11065	0.156552	0.202216	0.182267	0.115309	0.0557721	0.0238894	0.0208312	0.0202213	0.021041
a93	0.0564948	0.0646857	0.116651	0.174178	0.187607	0.161658	0.0814583	0.0436173	0.0381777	0.0365746	0.038897
a75	0.0521013	0.0502592	0.0978277	0.154228	0.190391	0.179972	0.087676	0.0474189	0.0443023	0.0454084	0.050415
a85	0.0660208	0.0513603	0.0915725	0.151934	0.204908	0.177744	0.0806539	0.045991	0.0416261	0.0401576	0.0480316
a56	0.0620824	0.0537438	0.087726	0.140406	0.165264	0.146905	0.0939534	0.0612825	0.0606473	0.0595042	0.0684855
a90	0.0340037	0.0294684	0.0515017	0.0870689	0.159921	0.217059	0.153761	0.0839332	0.0629379	0.0557561	0.0645891
a25	0.031867	0.0239867	0.0361257	0.0520825	0.105143	0.161085	0.112156	0.107191	0.113837	0.112149	0.144377
a56	0.0203673	0.017834	0.0277677	0.0414545	0.0874189	0.15753	0.140457	0.121853	0.115955	0.115413	0.153949
a62	0.0166319	0.0134894	0.0237117	0.0369398	0.0716029	0.131676	0.151074	0.146625	0.136551	0.121867	0.149831
a75	0.0152397	0.0137165	0.0208911	0.0311204	0.059555	0.101787	0.136546	0.158297	0.15319	0.14063	0.169026
a5	0.0139853	0.0104232	0.0169148	0.0223758	0.0394787	0.078259	0.0928223	0.12741	0.153318	0.184374	0.260638
a61	0.00787764	0.00596295	0.00961329	0.013929	0.025585	0.0478553	0.0773602	0.140434	0.178684	0.212395	0.280304
a47	0.00532329	0.00425036	0.0060663	0.00814835	0.0156129	0.0331609	0.0722743	0.146418	0.190948	0.224736	0.293061
a83	0.00671121	0.00603767	0.00840189	0.0108535	0.0164062	0.0289581	0.0732608	0.172473	0.213053	0.225775	0.238069
a9	0.00227904	0.00186212	0.00241363	0.0032557	0.00676944	0.0142322	0.0468749	0.131176	0.200598	0.265442	0.325097
a99	0.001139	0.000944591	0.000938714	0.00124339	0.00413309	0.013187	0.0491173	0.137636	0.204443	0.253977	0.333241
a87	0.00486883	0.00314869	0.00256738	0.00279399	0.00456561	0.0127386	0.0430525	0.116193	0.174407	0.243766	0.391898
a97	0.0295721	0.0262277	0.0227	0.028583	0.0493258	0.104287	0.174602	0.144767	0.128669	0.133095	0.158171
a87	0.0423044	0.0349465	0.0271989	0.0376248	0.0853048	0.137684	0.204538	0.125637	0.103162	0.100855	0.100745
a97	0.0504774	0.0457023	0.0402016	0.057072	0.111137	0.142166	0.170632	0.101871	0.0850166	0.0921682	0.103556
a87	0.0351627	0.0366168	0.0378548	0.0586515	0.100941	0.123808	0.147608	0.0995172	0.0941801	0.11721	0.148451
a23	0.0473701	0.0462965	0.0496201	0.0713836	0.105038	0.113448	0.115736	0.08555	0.0836145	0.113229	0.168715
a87	0.00402588	0.00411765	0.00359621	0.00447885	0.00687098	0.0114626	0.0269307	0.0690186	0.126458	0.270899	0.472141
a97	0.0122094	0.0104189	0.00864753	0.0104646	0.0152444	0.0207281	0.0320391	0.0598918	0.104795	0.24108	0.484481
</S>	0.0400327	0.0349484	0.0296901	0.0381549	0.0578164	0.0684732	0.0710818	0.0758341	0.0973069	0.178202	0.308459
