 	tous	les	jeunes	se	sont	baignés	dans	le	fleuve	</S>
a40	0.117553	0.049305	0.0230966	0.0226809	0.0373472	0.0536546	0.112145	0.138899	0.204565	0.240753
a73	0.109645	0.0633493	0.0484488	0.0540925	0.0576439	0.0748824	0.0944788	0.11047	0.172221	0.214768
a94	0.503967	0.232487	0.0831463	0.0517289	0.0260541	0.0222022	0.0200223	0.0200274	0.0194495	0.0209154
a38	0.621941	0.224292	0.0626216	0.024174	0.0105022	0.00954736	0.00949641	0.0110025	0.0126574	0.0137653
a41	0.452201	0.271542	0.106544	0.0430779	0.0223748	0.0198905	0.0183601	0.0206426	0.0218899	0.0234766
a32	0.271197	0.213055	0.141642	0.078461	0.0598127	0.058103	0.0495191	0.0484957	0.0420155	0.0376987
a75	0.251256	0.207196	0.184319	0.100682	0.0575797	0.0476424	0.0397448	0.0396112	0.0361947	0.0357746
a73	0.14301	0.116486	0.117095	0.0947849	0.0984872	0.109967	0.0921183	0.0905262	0.073328	0.0641966
a2	0.121727	0.0969309	0.132729	0.136238	0.115058	0.105235	0.0865103	0.0791102	0.0651508	0.0613104
a57	0.0942436	0.0665571	0.112094	0.150278	0.100398	0.0956094	0.0810705	0.087967	0.0931921	0.11859
a10	0.115047	0.0874446	0.126179	0.181694	0.12224	0.0801211	0.0673561	0.0635981	0.066469	0.0898518
a90	0.156156	0.128696	0.140237	0.17379	0.113937	0.0683219	0.0558119	0.0501757	0.0485253	0.0643493
a76	0.0913941	0.0684436	0.0931528	0.121636	0.0984421	0.106449	0.0901546	0.0987816	0.10277	0.128776
a69	0.0937235	0.0695957	0.0889551	0.120007	0.11624	0.114804	0.105457	0.102519	0.0959242	0.0927752
a84	0.0824451	0.0576703	0.0765778	0.116407	0.109532	0.11828	0.11023	0.117708	0.104945	0.106204
a40	0.065738	0.0425322	0.0566389	0.107461	0.10043	0.114125	0.105891	0.120965	0.120283	0.165935
a73	0.0250661	0.0179083	0.0240038	0.0523321	0.0855038	0.127716	0.132868	0.149206	0.171255	0.214141
a69	0.0222137	0.0183512	0.0428377	0.111099	0.132823	0.139401	0.14403	0.132884	0.12894	0.127419
a84	0.0334035	0.0249239	0.0396217	0.0863627	0.108418	0.12002	0.131605	0.148195	0.150995	0.156454
a11	0.0147709	0.0106946	0.018266	0.0568236	0.0890931	0.112647	0.134915	0.154211	0.174416	0.234163
a90	0.0324477	0.0210939	0.0266401	0.0569261	0.0783649	0.0974874	0.120171	0.144668	0.176784	0.245417
a32	0.0260577	0.0187006	0.0267825	0.0589235	0.0791221	0.0969172	0.129985	0.155705	0.186825	0.220981
a75	0.0166369	0.0109413	0.0158518	0.0378879	0.0579573	0.0844419	0.114985	0.145434	0.21384	0.302024
a25	0.021118	0.0144634	0.0237475	0.0603085	0.0773873	0.0892388	0.110142	0.127382	0.1933	0.282913
a44	0.0139734	0.0104582	0.0203623	0.0524991	0.0718125	0.0902326	0.124545	0.148379	0.203883	0.263855
a26	0.0271322	0.019576	0.032179	0.0714633	0.0893496	0.1026	0.112034	0.124209	0.172986	0.24847
a98	0.0156616	0.00974352	0.0145252	0.0321354	0.040899	0.0566955	0.0811216	0.119266	0.227428	0.402524
a73	0.00897683	0.00519661	0.00885082	0.020526	0.0278259	0.040438	0.0650402	0.115843	0.262164	0.445138
a84	0.00435891	0.00279676	0.0049919	0.0127898	0.0186356	0.0307811	0.0559434	0.105425	0.271005	0.493273
a87	0.00197375	0.00139469	0.00206851	0.00539149	0.00855487	0.0165845	0.0458665	0.105183	0.276641	0.536342
</S>	0.00158916	0.00091659	0.00104364	0.00252	0.00533235	0.0116244	0.0523154	0.118173	0.334967	0.471519
