 	mon	frère	ainé	est	cachotier	il	se	marie	en	secret	sans	avertir	ses	parents	</S>
a66	0.13644	0.12922	0.110327	0.129082	0.129616	0.114038	0.115767	0.0621542	0.031957	0.0278686	0.00404581	0.00235727	0.00203716	0.00239806	0.0026926
a87	0.429634	0.192834	0.0913381	0.0775533	0.0213264	0.0320724	0.0333394	0.0253651	0.0232058	0.0157344	0.010101	0.00818066	0.00916445	0.0137847	0.0163657
a23	0.403411	0.137039	0.110642	0.110426	0.0521207	0.0502789	0.0468371	0.0208276	0.0158015	0.0150363	0.00586512	0.00429043	0.00511424	0.0080346	0.0142765
a87	0.37275	0.150715	0.14347	0.0996315	0.0637497	0.043064	0.0311012	0.0179425	0.0149752	0.0103625	0.00550884	0.00482548	0.00729967	0.0117694	0.0228362
a23	0.274071	0.156365	0.179294	0.133099	0.0896408	0.0457809	0.0329138	0.022012	0.0187191	0.0111472	0.00571069	0.00529446	0.00583615	0.00781972	0.0122969
a87	0.308614	0.155768	0.161657	0.0659557	0.0523765	0.0325581	0.0219448	0.0233684	0.0245581	0.0165523	0.0115179	0.0136536	0.021452	0.0320623	0.057961
a23	0.233837	0.165513	0.200646	0.0995451	0.0777351	0.0411637	0.0291382	0.0252326	0.0298981	0.017441	0.00973169	0.0108951	0.013229	0.0183448	0.0276492
a79	0.241788	0.179427	0.194646	0.0694885	0.0590686	0.0324847	0.0245551	0.0224095	0.0250876	0.0139971	0.00996285	0.0137667	0.0223415	0.0334195	0.0575567
a44	0.221479	0.215409	0.221346	0.0616077	0.0405319	0.0243993	0.0192592	0.0131366	0.0156498	0.010224	0.00756139	0.0134318	0.0252828	0.0405965	0.0700856
a70	0.197567	0.186904	0.182961	0.0862852	0.0651554	0.0365907	0.0336589	0.0260382	0.0289695	0.0279736	0.00911552	0.0135137	0.0234373	0.0330588	0.0487716
a34	0.0619491	0.0911316	0.138728	0.138425	0.173521	0.0999606	0.0700274	0.0398174	0.0357672	0.0391459	0.0136121	0.0165978	0.0187037	0.0247274	0.0378856
a37	0.0435052	0.0611583	0.105158	0.139869	0.20234	0.114577	0.0772121	0.0459766	0.0381994	0.0422806	0.01945	0.0210522	0.0209606	0.0274792	0.0407816
