 	le	chef	a	décidé	de	le	chasser	du	village	</S>
a66	0.205315	0.176334	0.137743	0.118181	0.116104	0.110808	0.0772207	0.0315392	0.0145317	0.0122238
a87	0.302057	0.205202	0.165216	0.111976	0.0561359	0.0386811	0.046086	0.0313049	0.0218447	0.0214974
a23	0.370124	0.253037	0.16058	0.0815438	0.0385642	0.0258628	0.0288165	0.012658	0.0106174	0.0181967
a87	0.377544	0.256275	0.16595	0.0825282	0.0400269	0.023471	0.0204452	0.00834661	0.00908752	0.0163245
a23	0.358654	0.278871	0.174852	0.0830713	0.0416616	0.0232316	0.0159045	0.00737328	0.00709688	0.00928313
a87	0.330474	0.262213	0.183253	0.0877944	0.0420677	0.0209207	0.01871	0.0141066	0.0166098	0.0238517
a23	0.285423	0.232588	0.164553	0.102771	0.0666832	0.0419559	0.0366479	0.021497	0.0215313	0.026349
a30	0.297542	0.268595	0.179126	0.0894904	0.0518889	0.0277045	0.0224035	0.0177739	0.0196407	0.0258348
a13	0.199388	0.243747	0.200797	0.109414	0.0708619	0.0428051	0.0351565	0.0310256	0.0318637	0.0349412
a53	0.213045	0.248779	0.211836	0.121083	0.0765258	0.0371383	0.0227864	0.020531	0.0216383	0.0266376
a93	0.14293	0.163557	0.169944	0.147258	0.142929	0.0876611	0.0461279	0.0296578	0.0291165	0.0408179
a70	0.0624913	0.0807702	0.128805	0.175133	0.210387	0.148593	0.0759836	0.0382574	0.0338509	0.0457281
a75	0.0660865	0.0750399	0.124248	0.183972	0.229277	0.175791	0.0829776	0.0244738	0.017288	0.0208461
a5	0.0418807	0.0492477	0.0949208	0.172614	0.24414	0.20415	0.103661	0.034458	0.0245865	0.0303412
a43	0.0443195	0.0465878	0.0873807	0.172432	0.248673	0.206224	0.104631	0.0345366	0.0248601	0.0303552
a75	0.0331018	0.0311472	0.0607207	0.150764	0.247481	0.236939	0.134396	0.0398555	0.0292391	0.0363552
a92	0.0168597	0.0174999	0.0344771	0.0968896	0.208616	0.236641	0.132847	0.084106	0.0759248	0.096138
a12	0.0206415	0.0193947	0.0318045	0.0838829	0.185088	0.236824	0.148067	0.0895844	0.0825252	0.102188
a62	0.0248495	0.0195679	0.0266138	0.0686648	0.155777	0.219928	0.183758	0.0999639	0.0856528	0.115224
a50	0.0255121	0.0179719	0.0201721	0.0489379	0.125449	0.20736	0.204772	0.128299	0.0930969	0.128429
a88	0.0128391	0.0110131	0.012221	0.0231728	0.056867	0.151345	0.195084	0.182642	0.154226	0.20059
a9	0.0147338	0.0121038	0.0116087	0.0192191	0.0450333	0.121154	0.165977	0.19387	0.189486	0.226813
a38	0.013577	0.017706	0.0194762	0.0261626	0.0457032	0.119678	0.179643	0.186647	0.183674	0.207732
a90	0.0095081	0.0116022	0.0139025	0.0185902	0.0294852	0.0747901	0.143159	0.220569	0.238256	0.240138
a56	0.00198817	0.00146365	0.00164065	0.00256498	0.00519859	0.0164322	0.0481871	0.162866	0.333225	0.426434
a92	0.00167272	0.00127945	0.00124782	0.00189903	0.00393714	0.0131375	0.0395037	0.122815	0.313101	0.501406
a98	0.000764936	0.00053915	0.000494724	0.000763722	0.00173746	0.00703792	0.0250847	0.108475	0.327665	0.527437
a25	0.000529188	0.000332758	0.000294766	0.000446653	0.00102299	0.00401376	0.0119165	0.0637101	0.290775	0.626959
a69	0.000527718	0.000351375	0.000360768	0.000525561	0.00105329	0.00319504	0.00805956	0.0531017	0.251802	0.681023
a58	0.000886118	0.000491231	0.000357242	0.000396378	0.000695468	0.00210694	0.00734914	0.052027	0.244508	0.691183
a4	0.00255361	0.00173956	0.00108909	0.000960317	0.00105779	0.00225721	0.00810434	0.0581855	0.237244	0.686808
a13	0.00163278	0.000997874	0.000729981	0.000696045	0.000876096	0.0020232	0.0073344	0.0708699	0.296223	0.618617
a3	0.00335724	0.00219152	0.00191695	0.00271269	0.00407884	0.00906912	0.0273471	0.131314	0.315427	0.502585
a99	0.0830256	0.0477992	0.02793	0.0268555	0.02588	0.0335924	0.0602533	0.135272	0.221532	0.33786
a97	0.183649	0.124607	0.074414	0.0497706	0.0335282	0.0326784	0.047848	0.0976051	0.151201	0.204699
a87	0.195253	0.175225	0.127692	0.0793421	0.0424156	0.0380431	0.0556262	0.0766561	0.0942374	0.115509
a23	0.148315	0.147586	0.126671	0.0846079	0.0499023	0.0456669	0.0558564	0.076202	0.105777	0.159416
a87	0.0816681	0.0699727	0.0539261	0.0341244	0.0197659	0.017408	0.0299537	0.0937864	0.199271	0.400123
a97	0.031038	0.0263388	0.0231315	0.0186964	0.014844	0.0168744	0.0225214	0.065201	0.189582	0.591772
</S>	0.0439905	0.0475766	0.0474625	0.042095	0.0397262	0.0367245	0.0364365	0.0806085	0.183829	0.441551
