 	j'	ai	vu	un	fantôme	hier	dans	la	nuit	</S>
a66	0.211792	0.168305	0.185733	0.199167	0.101458	0.0396303	0.0297796	0.025429	0.0201101	0.0185948
a87	0.184694	0.121239	0.0944345	0.206084	0.162612	0.0344038	0.0387736	0.0501774	0.0515814	0.0559997
a23	0.437777	0.23106	0.10754	0.106886	0.0474442	0.00940569	0.00795574	0.0115888	0.0155324	0.0248101
a87	0.419643	0.259464	0.132949	0.0591196	0.0172847	0.0109665	0.0137512	0.0194373	0.0257739	0.0416103
a23	0.380822	0.324936	0.17216	0.0587664	0.0141293	0.00534044	0.0066493	0.00920452	0.0114864	0.0165054
a99	0.443041	0.220502	0.103901	0.0688505	0.0289451	0.0100227	0.0127723	0.021051	0.0364229	0.0544913
a38	0.321224	0.176373	0.157565	0.151125	0.088826	0.0217076	0.0172878	0.0186638	0.0212721	0.0259558
a31	0.143024	0.130886	0.214031	0.239198	0.167941	0.0368996	0.0202812	0.0167064	0.0150676	0.0159651
a88	0.102469	0.132473	0.209402	0.235134	0.175167	0.0581607	0.0307724	0.0228645	0.0173484	0.0162086
a21	0.0747637	0.0790267	0.1407	0.204181	0.284125	0.0881632	0.0454397	0.0341606	0.025402	0.024038
a47	0.0562675	0.064078	0.118113	0.237749	0.264485	0.123202	0.0581625	0.0350777	0.022709	0.0201556
a31	0.0736839	0.0564238	0.068092	0.152134	0.202209	0.145684	0.102493	0.0811169	0.0605835	0.05758
a0	0.0343577	0.0239861	0.0373724	0.151449	0.320677	0.180365	0.0951322	0.0666362	0.0464104	0.043614
a62	0.0191844	0.00909192	0.00841687	0.0368825	0.169354	0.266752	0.176844	0.130447	0.0928244	0.0902022
a47	0.033125	0.0189054	0.0193746	0.0592502	0.165489	0.215692	0.168994	0.13615	0.0968004	0.0862204
a75	0.017045	0.00691706	0.00486082	0.01405	0.0676847	0.25969	0.223568	0.171343	0.122209	0.112633
a25	0.00552749	0.00185979	0.00139029	0.00476654	0.0212498	0.157945	0.206956	0.220414	0.191865	0.188026
a90	0.00249888	0.00080539	0.000623482	0.00157447	0.00731283	0.128289	0.21666	0.231144	0.199558	0.211534
a69	0.000939537	0.000406565	0.000350872	0.000736662	0.00279628	0.0557083	0.147818	0.210011	0.255617	0.325615
a53	0.00124818	0.00044199	0.000260977	0.000543095	0.00202996	0.0506008	0.152412	0.227158	0.268467	0.296839
a69	0.000712946	0.000259386	0.000136635	0.000317841	0.00171849	0.0330277	0.127361	0.222994	0.287351	0.32612
a4	0.000281911	8.54321e-05	4.79541e-05	0.000105019	0.000582558	0.0155207	0.0761904	0.171421	0.304624	0.431141
a58	0.000334533	7.58341e-05	3.68879e-05	9.02312e-05	0.000620077	0.013703	0.0652839	0.163233	0.311231	0.445392
a57	0.000351289	9.61641e-05	4.6163e-05	9.0215e-05	0.000407418	0.00514129	0.0263716	0.0944646	0.275262	0.59777
a82	0.0130627	0.0066221	0.00341222	0.00723939	0.01694	0.0315139	0.060585	0.115336	0.254928	0.490361
a87	0.0561991	0.0390992	0.035945	0.0620877	0.0747359	0.100461	0.108708	0.122516	0.160366	0.239881
a23	0.0991984	0.0726159	0.109208	0.184335	0.185211	0.0996632	0.0768843	0.0595278	0.0502438	0.0631131
a99	0.0400985	0.0219352	0.0292726	0.0456131	0.0345812	0.0530306	0.12358	0.165333	0.204275	0.282281
a97	0.00763846	0.00398702	0.00401041	0.00654728	0.0145657	0.0582295	0.140174	0.1962	0.24844	0.320208
</S>	0.00237156	0.00120484	0.00190727	0.0039551	0.0118318	0.0616076	0.155897	0.196786	0.243901	0.320539
