 	la	pluie	tombe	à	gouttes	fines	</S>
a66	0.455382	0.247841	0.125808	0.0684806	0.036852	0.0352594	0.0303768
a87	0.343175	0.222059	0.162125	0.123722	0.0747168	0.0439099	0.0302932
a23	0.349411	0.287533	0.232923	0.0873659	0.0246161	0.0110752	0.00707561
a99	0.188457	0.197001	0.323752	0.12978	0.064592	0.0433722	0.0530454
a20	0.194049	0.185405	0.226409	0.141337	0.112914	0.0706441	0.0692431
a69	0.285289	0.197434	0.236381	0.121388	0.0646664	0.0438998	0.0509422
a4	0.121684	0.167684	0.329583	0.215892	0.097072	0.0374061	0.0306783
a53	0.0342214	0.0539663	0.144358	0.286105	0.300141	0.127357	0.0538516
a54	0.0193119	0.0243513	0.0527819	0.179529	0.363611	0.263993	0.0964217
a15	0.0166155	0.0289359	0.0468632	0.138537	0.265653	0.292447	0.210948
a7	0.0137542	0.0287807	0.0550164	0.12285	0.204774	0.270202	0.304624
a37	0.00860833	0.014189	0.0256789	0.0680948	0.135753	0.277419	0.470257
a2	0.0176348	0.0248743	0.0338372	0.0624546	0.110004	0.224051	0.527144
a57	0.0349692	0.0316861	0.0254804	0.0326899	0.0647794	0.178772	0.631623
a87	0.323983	0.173904	0.111501	0.0533626	0.049004	0.0785209	0.209724
</S>	0.399092	0.265606	0.2011	0.0588201	0.026675	0.0227185	0.0259878
