 	si	tu	blagues	avec	moi	je	vais	te	faire	du	mal	</S>
a66	0.347111	0.448268	0.136145	0.0174906	0.0136165	0.00946997	0.00788904	0.00624223	0.00450715	0.00339627	0.00291822	0.00294661
a87	0.326026	0.216701	0.0600069	0.0427594	0.0436104	0.0453749	0.050274	0.0480661	0.0439869	0.0443273	0.0395336	0.0393328
a10	0.256825	0.252967	0.144024	0.0374129	0.029626	0.0301248	0.0354319	0.0358765	0.0403491	0.0469991	0.0429281	0.0474361
a87	0.276953	0.277661	0.128831	0.0331138	0.0300775	0.0285798	0.0337831	0.0329476	0.0397585	0.0432499	0.0382976	0.0367465
a97	0.234825	0.244275	0.129201	0.0323733	0.0309683	0.0336433	0.0417323	0.0405341	0.0497068	0.0558502	0.0543256	0.0525644
a87	0.214214	0.254318	0.154828	0.0315316	0.0275221	0.0273053	0.0378746	0.0405474	0.0511338	0.058999	0.0535523	0.0481736
a97	0.202356	0.235846	0.151767	0.0324032	0.0274157	0.0285834	0.0403774	0.0430669	0.0559703	0.0659538	0.0610903	0.0551698
a79	0.164353	0.208414	0.154533	0.029572	0.0238165	0.0233069	0.0394326	0.0521442	0.0684338	0.0865155	0.0800867	0.069392
a15	0.243959	0.172817	0.117144	0.0150981	0.0112236	0.0115822	0.0310379	0.0614209	0.0784235	0.0955584	0.0821957	0.0795398
a79	0.294638	0.171155	0.140849	0.0361008	0.0340093	0.0271629	0.0388079	0.0533981	0.0544584	0.054315	0.0493814	0.0457249
a56	0.214718	0.164684	0.165537	0.0763029	0.0766145	0.0526288	0.0439488	0.0428671	0.0405144	0.0390889	0.0390998	0.043996
a75	0.202223	0.178289	0.265436	0.10237	0.0843458	0.0482849	0.0265258	0.0194675	0.0173237	0.0158187	0.0170494	0.022866
a5	0.13959	0.156146	0.136572	0.0958451	0.121789	0.103543	0.0767301	0.0463687	0.0332452	0.0249146	0.0271852	0.0380714
a75	0.176204	0.151753	0.237305	0.127328	0.113572	0.0710338	0.0355735	0.0205636	0.0160726	0.0136245	0.0153056	0.0216646
a92	0.0815794	0.113616	0.167475	0.13099	0.142401	0.116099	0.0797802	0.0439004	0.0313547	0.0239279	0.0279958	0.0408811
a37	0.0925711	0.104385	0.182098	0.158262	0.142718	0.107821	0.0677289	0.0362997	0.0267163	0.0217092	0.0253447	0.0343461
a75	0.0551714	0.0723727	0.162736	0.181354	0.160049	0.122954	0.0774774	0.0415376	0.0313039	0.0272075	0.0301532	0.0376836
a6	0.0246122	0.0404408	0.111154	0.165743	0.157838	0.143483	0.107064	0.0662972	0.0525302	0.040525	0.0417692	0.0485439
a37	0.019751	0.028677	0.0898394	0.15804	0.14541	0.140746	0.115021	0.074649	0.0579004	0.0487786	0.0549498	0.0662372
a75	0.0150469	0.0191297	0.0481846	0.137473	0.147949	0.172358	0.146886	0.084116	0.0571508	0.0467022	0.0544413	0.0705637
a5	0.00603013	0.00740464	0.028392	0.101141	0.111016	0.145895	0.141701	0.0975458	0.0798508	0.0750595	0.0903121	0.115653
a37	0.00937224	0.00931016	0.0217607	0.0871122	0.101069	0.141048	0.148047	0.109369	0.0836671	0.076147	0.0927609	0.120337
a90	0.0047325	0.00466654	0.0103507	0.0587793	0.0821668	0.126734	0.148655	0.120155	0.0940648	0.0839386	0.107643	0.158113
a56	0.00270465	0.00253507	0.00578146	0.0339766	0.052746	0.103054	0.153391	0.139759	0.116769	0.103213	0.120967	0.165104
a54	0.00273698	0.0024449	0.00551525	0.0285607	0.0425725	0.0855502	0.133381	0.141641	0.134767	0.123313	0.133659	0.165858
a47	0.000892474	0.00116764	0.00540221	0.022223	0.0319716	0.0599576	0.0987085	0.100438	0.106248	0.12943	0.180336	0.263224
a36	0.000286966	0.000408176	0.0034092	0.0210513	0.0321607	0.0658097	0.11264	0.124101	0.131033	0.128865	0.155277	0.224958
a79	0.000513366	0.00053704	0.00179527	0.00790143	0.0130194	0.0304544	0.0567522	0.0773822	0.109131	0.144252	0.213234	0.345028
a44	0.000289861	0.000321347	0.000946737	0.00442733	0.00829821	0.0233356	0.0593603	0.0990801	0.136859	0.172143	0.200069	0.294869
a53	0.000365459	0.000370342	0.000721816	0.00325465	0.00581595	0.0164143	0.0396552	0.0665714	0.106502	0.156778	0.229454	0.374096
