 	je	suis	un	oncle	pour	cet	enfant	que	j'	héberge	</S>
a66	0.313889	0.157567	0.0932821	0.11305	0.0803357	0.0719948	0.0600665	0.0462492	0.0259598	0.0231029	0.0145029
a10	0.265057	0.163262	0.121228	0.101575	0.0857953	0.0714539	0.0529907	0.0437914	0.0339064	0.0348764	0.0260644
a87	0.402605	0.267981	0.171212	0.08334	0.025735	0.0157535	0.00910761	0.00615788	0.00474124	0.00683732	0.00652892
a38	0.32517	0.264077	0.205926	0.110219	0.0316763	0.0207851	0.0134513	0.00949326	0.00669396	0.00663476	0.00587367
a20	0.326476	0.208132	0.159054	0.105572	0.0455873	0.0367271	0.0296725	0.0236595	0.0227422	0.0204549	0.0219225
a47	0.415673	0.236432	0.144189	0.0692537	0.0335114	0.0268107	0.0213601	0.014473	0.0127325	0.011316	0.0142486
a5	0.198997	0.231461	0.225833	0.118807	0.0461892	0.0347645	0.0291777	0.0271169	0.0278607	0.0274345	0.0323585
a21	0.149685	0.210919	0.226476	0.143777	0.0632951	0.0485418	0.0381342	0.0342301	0.0309359	0.027444	0.026562
a98	0.167449	0.212441	0.192862	0.15139	0.0781756	0.0587604	0.0393661	0.0280044	0.0204051	0.0217282	0.0294185
a71	0.0946366	0.121736	0.164009	0.164205	0.113207	0.0999958	0.0729332	0.0548828	0.0406377	0.0335352	0.0402212
a38	0.0600924	0.076073	0.131337	0.202057	0.126106	0.100621	0.0738356	0.055767	0.0461422	0.0563944	0.0715738
a62	0.0354129	0.041851	0.0775442	0.178541	0.146648	0.127858	0.0994371	0.071237	0.0572119	0.0718149	0.0924437
a21	0.0314098	0.0327139	0.0515427	0.14008	0.155523	0.15576	0.125704	0.0897458	0.0639397	0.0689123	0.0846686
a61	0.0614145	0.0570743	0.0680118	0.138761	0.146138	0.144633	0.120715	0.0853301	0.0547611	0.0562704	0.0668917
a75	0.0267927	0.0259903	0.0378492	0.0894694	0.116918	0.142218	0.137176	0.120371	0.0989372	0.0970019	0.107277
a85	0.018907	0.016322	0.0240941	0.0498235	0.0704379	0.0985578	0.104695	0.111843	0.123267	0.153965	0.228088
