 	cette	femme	malpropre	laisse	des	vêtements	ça	et	là	dans	la	parcelle	</S>
a23	0.211834	0.124835	0.138491	0.122255	0.112076	0.0718842	0.0751398	0.0525327	0.0345121	0.0207323	0.014501	0.011262	0.00994494
a87	0.175158	0.141971	0.150377	0.116298	0.0675737	0.044304	0.0490107	0.0408867	0.0414399	0.0434862	0.0436826	0.0437383	0.0420739
a30	0.104522	0.159103	0.180898	0.117806	0.0595525	0.0360049	0.0287003	0.0254926	0.0289589	0.0384764	0.0500489	0.0743265	0.096111
a93	0.229692	0.240044	0.153566	0.0944823	0.0447988	0.0305248	0.0279503	0.0231846	0.0233694	0.0265947	0.0285543	0.0343982	0.0428417
a70	0.42377	0.225371	0.0806645	0.0690184	0.0460883	0.0243591	0.0205899	0.0146773	0.0154531	0.0170396	0.0196036	0.0212824	0.0220833
a31	0.345218	0.270995	0.113109	0.0846711	0.0487329	0.0240967	0.0195915	0.0127662	0.0119475	0.0121376	0.0150128	0.0188334	0.0228878
a56	0.284384	0.278457	0.131548	0.0835825	0.0528005	0.0321895	0.0281454	0.0202119	0.0173843	0.0153488	0.0159961	0.0178203	0.0221324
a34	0.225717	0.249498	0.138261	0.0918382	0.0642675	0.0456148	0.0377067	0.0272782	0.0225767	0.0192414	0.0205433	0.0246488	0.032808
a93	0.175451	0.217067	0.142303	0.0989609	0.0711673	0.0600519	0.0473185	0.0354618	0.0287898	0.0235453	0.0255916	0.031464	0.0428274
a61	0.140215	0.190596	0.1567	0.122349	0.0787227	0.0658011	0.0460741	0.0332055	0.0270744	0.0227544	0.026746	0.0367284	0.0530322
a43	0.129581	0.1804	0.176534	0.136195	0.0938688	0.0720707	0.0500705	0.0339803	0.0253113	0.0193859	0.0206897	0.0262479	0.0356654
a11	0.096904	0.159188	0.174298	0.146893	0.100572	0.0771666	0.0539706	0.040505	0.0310101	0.0241642	0.0250122	0.0300999	0.0402168
a90	0.0640615	0.133731	0.171203	0.165161	0.101527	0.0754124	0.0508252	0.0413504	0.0348679	0.0304552	0.0342905	0.0417605	0.0553544
a93	0.0543629	0.113277	0.187522	0.176601	0.124454	0.0877724	0.0604604	0.0427436	0.0307138	0.023441	0.0248194	0.0309139	0.0429181
a90	0.0589294	0.11797	0.186985	0.17005	0.123604	0.0857085	0.0601568	0.0422806	0.0297642	0.0224841	0.0244341	0.0312974	0.0463355
a56	0.0397788	0.0740476	0.15855	0.158606	0.132095	0.100092	0.0725779	0.0558197	0.0418808	0.0308908	0.0326691	0.0410344	0.0619574
a75	0.0410047	0.0663529	0.153979	0.146487	0.132885	0.0976705	0.0717232	0.0554629	0.0415743	0.0324439	0.0357911	0.0471966	0.0774289
a85	0.0494391	0.0713828	0.132102	0.0970803	0.104786	0.103998	0.0830713	0.079112	0.0583693	0.0402057	0.0373033	0.0515645	0.0915862
a5	0.0484647	0.0641497	0.115028	0.0943749	0.108098	0.101033	0.081569	0.0815799	0.0620813	0.0458964	0.0422727	0.0573786	0.0980741
a47	0.0534252	0.0762588	0.116154	0.0914124	0.108035	0.0973065	0.0796741	0.0804917	0.0582101	0.041108	0.0409163	0.056098	0.10091
a88	0.0373943	0.0631802	0.108914	0.0917924	0.115826	0.106317	0.0858708	0.0881534	0.0670464	0.0476948	0.0455936	0.0560816	0.0861353
a31	0.0262446	0.0491292	0.0956628	0.0881223	0.125523	0.121828	0.0906386	0.0874836	0.0659053	0.0448565	0.0452962	0.0588578	0.100453
a24	0.0369196	0.0499099	0.0866657	0.0719058	0.112252	0.13315	0.106865	0.0973072	0.0713456	0.0464796	0.0434817	0.0546025	0.089115
a9	0.0320478	0.0490738	0.0925634	0.0699832	0.102716	0.125083	0.10358	0.10378	0.0805011	0.0525077	0.0479655	0.0566766	0.0835218
a75	0.00911574	0.0251812	0.0869702	0.0734283	0.114367	0.137436	0.100038	0.109585	0.0826345	0.0545811	0.0509664	0.0637074	0.0919888
a5	0.0227382	0.0357985	0.0702665	0.0581847	0.0826338	0.0984231	0.0769883	0.0872561	0.0823059	0.0742351	0.078922	0.0929398	0.139308
a61	0.0552063	0.067601	0.0853468	0.0705504	0.0936383	0.102591	0.0811464	0.0864985	0.0695528	0.0590212	0.0601832	0.0710479	0.0976157
a75	0.029149	0.0430087	0.0677818	0.0520427	0.0765999	0.0966243	0.0837419	0.0941831	0.0853675	0.074973	0.0789538	0.0942719	0.123302
a85	0.0237631	0.0381287	0.0662112	0.0539972	0.0795596	0.106969	0.0868011	0.0953279	0.0853949	0.0709783	0.0739822	0.0894931	0.129393
a37	0.0251366	0.0370152	0.0780122	0.0653507	0.0921675	0.114451	0.0875041	0.0879473	0.0725048	0.0600727	0.0625426	0.0850527	0.132243
a66	0.0150929	0.0260936	0.0530047	0.0385459	0.0591204	0.0883324	0.0722923	0.104995	0.101165	0.0834634	0.0846504	0.105363	0.167882
a93	0.00885082	0.0176078	0.0434569	0.0297117	0.0394396	0.0623648	0.0457765	0.0724365	0.078505	0.0764506	0.0945755	0.151143	0.279681
a4	0.00676757	0.0131807	0.0337991	0.0237397	0.0352845	0.0572887	0.0475286	0.0732658	0.0867229	0.0939001	0.115253	0.160012	0.253257
a93	0.00745243	0.0147569	0.0335206	0.0225372	0.0329219	0.0523331	0.0465214	0.0756678	0.0920084	0.100215	0.123317	0.16363	0.235118
a43	0.00443806	0.00931087	0.0276938	0.0219012	0.035603	0.0581154	0.0507385	0.0722407	0.0892092	0.0980735	0.118466	0.166483	0.247727
a75	0.00181598	0.00454575	0.0158012	0.00930306	0.0131143	0.021445	0.0161282	0.0326567	0.0501138	0.0686701	0.110359	0.223531	0.432516
