 	pourquoi	tu	ne	me	parles	plus	</S>
a15	0.403121	0.204072	0.136513	0.132721	0.0774098	0.0269236	0.0192388
a66	0.338284	0.202129	0.16392	0.137682	0.0697191	0.0475709	0.0406944
a87	0.632253	0.179584	0.0514779	0.0362058	0.022312	0.0270492	0.0511179
a23	0.590665	0.278989	0.0606859	0.0257624	0.0152815	0.0115275	0.0170887
a83	0.593451	0.264529	0.0716534	0.019691	0.00928509	0.0151599	0.0262305
a34	0.416889	0.275799	0.123465	0.0499409	0.0349386	0.0418976	0.057069
a75	0.35751	0.35237	0.171724	0.0638978	0.0227647	0.0160053	0.015728
a61	0.238817	0.330712	0.215898	0.0970447	0.0560864	0.0314356	0.0300054
a56	0.25309	0.345424	0.23917	0.0913403	0.0334514	0.0188861	0.0186386
a96	0.231585	0.31343	0.259715	0.123284	0.0381371	0.0171161	0.0167326
a56	0.157829	0.250328	0.31455	0.182265	0.0521351	0.0203763	0.0225176
a75	0.144987	0.236579	0.346249	0.202203	0.041094	0.0135218	0.0153652
a92	0.0673291	0.111291	0.249824	0.240001	0.138177	0.0906601	0.102717
a36	0.0348943	0.0533663	0.154529	0.216124	0.198342	0.167244	0.175501
a85	0.0291635	0.0300536	0.0928689	0.234168	0.239598	0.162633	0.211515
a6	0.00719179	0.00775225	0.0232445	0.0713136	0.216883	0.32086	0.352755
a36	0.00519532	0.00633391	0.016916	0.05785	0.222283	0.334813	0.356609
a85	0.00691842	0.00567149	0.00992143	0.0217892	0.104215	0.324988	0.526496
a92	0.00140899	0.00126256	0.00272225	0.00885652	0.0795347	0.407118	0.499097
a37	0.00127297	0.00128208	0.00270368	0.00983406	0.0875407	0.413501	0.483865
a21	0.001343	0.00113441	0.00192103	0.00519386	0.0492229	0.338879	0.602306
a5	0.00120472	0.00103514	0.00162142	0.00442443	0.0356421	0.328915	0.627157
a18	0.000828014	0.000641413	0.00100119	0.00285584	0.0262811	0.302982	0.66541
a25	0.00108454	0.000732541	0.000737201	0.00210381	0.0223163	0.227356	0.745669
a82	0.00134063	0.000832673	0.000994282	0.00338248	0.0277488	0.247348	0.718353
a87	0.083934	0.0489991	0.043623	0.0610863	0.116131	0.234969	0.411258
a23	0.434571	0.202512	0.0915509	0.0629694	0.0543005	0.0683751	0.0857214
a87	0.121975	0.060564	0.028932	0.0281836	0.0763436	0.258771	0.42523
</S>	0.00836283	0.00594326	0.00602322	0.0121595	0.0697352	0.288677	0.609099
