 	sa	mère	lui	a	donné	un	morceau	de	viande	</S>
a66	0.353348	0.19844	0.128723	0.102932	0.0753349	0.0556332	0.0337585	0.0204493	0.0169373	0.0144438
a87	0.361392	0.189486	0.137762	0.111349	0.077226	0.045158	0.0249164	0.018207	0.0182196	0.0162828
a23	0.394028	0.2065	0.143015	0.0820234	0.0564841	0.0351739	0.0255914	0.0186312	0.019608	0.0189454
a30	0.389203	0.188291	0.118568	0.0653601	0.0450629	0.0322709	0.0300359	0.0333191	0.0473232	0.0505664
a53	0.323241	0.185836	0.133139	0.096131	0.0714057	0.0389632	0.0292241	0.0312479	0.042414	0.0483989
a15	0.281024	0.213873	0.164192	0.137455	0.0901439	0.0434709	0.0236511	0.0165797	0.0155471	0.0140626
a20	0.161617	0.160085	0.157149	0.183343	0.156085	0.0911024	0.0418688	0.0202495	0.0151938	0.0133075
a75	0.107378	0.141945	0.153812	0.193003	0.184796	0.102924	0.0436204	0.0272313	0.0244929	0.0207966
a56	0.0840425	0.0998676	0.113582	0.155542	0.180358	0.145032	0.0838825	0.0548841	0.0473579	0.0354507
a90	0.0884031	0.0997114	0.113637	0.144399	0.165191	0.132603	0.0806095	0.0608411	0.0618497	0.0527561
a92	0.0555529	0.070565	0.0964952	0.141939	0.175285	0.161962	0.102087	0.0726289	0.0684393	0.055046
a61	0.0312884	0.0381198	0.0584538	0.0939462	0.125	0.153093	0.139211	0.128378	0.124288	0.108222
a21	0.0308052	0.0301945	0.0432692	0.0642601	0.0867252	0.133458	0.139276	0.140391	0.156901	0.174721
a12	0.0117798	0.00993609	0.0122919	0.0183638	0.0319183	0.0733582	0.130437	0.186415	0.235384	0.290117
a96	0.0100668	0.00839804	0.00954476	0.0124837	0.0211033	0.0609439	0.135178	0.191899	0.242778	0.307604
a18	0.00719666	0.00625301	0.00682254	0.00821416	0.0130661	0.0375329	0.104242	0.20077	0.263023	0.352879
a62	0.00840211	0.00812792	0.00800598	0.00753421	0.0092939	0.0136867	0.0358455	0.108341	0.252228	0.548534
a21	0.00224699	0.00221886	0.00246462	0.00291649	0.0050308	0.00974432	0.0321146	0.110256	0.25393	0.579077
a12	0.000729919	0.000673888	0.00078124	0.00101935	0.00182912	0.00627455	0.0295193	0.118807	0.268388	0.571977
a21	0.000854629	0.00090769	0.00109002	0.00140447	0.00258598	0.0061951	0.0212569	0.0853997	0.243685	0.63662
a6	0.000514623	0.000512293	0.000568688	0.00064573	0.00101428	0.00293195	0.0128877	0.0656498	0.206529	0.708746
a37	0.000151468	0.000165271	0.000201988	0.000258778	0.000489666	0.00190758	0.00979832	0.0576672	0.195452	0.733908
a7	0.000862451	0.000978001	0.00113237	0.00137195	0.00257674	0.00600909	0.0202096	0.0811008	0.238704	0.647055
a26	0.00556611	0.00586439	0.0056793	0.00637863	0.00968513	0.0177213	0.0411551	0.107784	0.247001	0.553165
a82	0.0556542	0.0570087	0.0540273	0.0568906	0.0646471	0.078389	0.0962916	0.117072	0.16025	0.25977
a87	0.292057	0.138975	0.0954944	0.0671971	0.0569934	0.0566588	0.0619215	0.0658658	0.0737785	0.0910585
a23	0.39589	0.189788	0.112313	0.0650759	0.0461842	0.036064	0.0337528	0.0346266	0.0392637	0.0470419
a99	0.0974814	0.0588222	0.0422687	0.0257447	0.0254069	0.0362998	0.0623875	0.133358	0.211711	0.30652
a27	0.0481286	0.0261729	0.0178015	0.0118235	0.0138462	0.0237755	0.0593096	0.144183	0.26623	0.38873
</S>	0.01245	0.00815514	0.00734887	0.00705292	0.0119354	0.0263252	0.0643862	0.144229	0.277012	0.441106
