 	la	maladie	de	ma	femme	me	dépasse	</S>
a82	0.284396	0.212243	0.155577	0.154928	0.0913069	0.0492703	0.0303046	0.0219743
a10	0.276235	0.180336	0.110116	0.105381	0.0958813	0.0836322	0.0595739	0.0888441
a62	0.420322	0.240309	0.108687	0.0901118	0.0530717	0.0282291	0.0226179	0.0366521
a83	0.3665	0.306924	0.147155	0.0894277	0.0415727	0.0183265	0.0142525	0.0158418
a40	0.316195	0.2691	0.168031	0.109412	0.0579407	0.0280377	0.0244041	0.0268795
a90	0.358961	0.289369	0.176388	0.0756225	0.0372924	0.0190268	0.0175363	0.0258034
a92	0.312954	0.266464	0.198597	0.105885	0.0510137	0.0214465	0.0173659	0.026274
a75	0.28069	0.253223	0.210301	0.114749	0.0624598	0.0303236	0.0211523	0.0271003
a21	0.229691	0.210482	0.204078	0.137962	0.0821212	0.0498157	0.0395298	0.04632
a75	0.270622	0.22872	0.198394	0.136629	0.0787694	0.0388086	0.0230541	0.0250034
a98	0.130925	0.160865	0.205782	0.198786	0.123721	0.0727146	0.0532564	0.0539515
a79	0.0675776	0.0915326	0.147778	0.18828	0.148401	0.103579	0.117278	0.135572
a98	0.0491663	0.061203	0.103044	0.164747	0.17018	0.129637	0.150675	0.171348
a85	0.02644	0.032095	0.0617807	0.120121	0.144354	0.147406	0.213421	0.254382
a56	0.0235478	0.0263728	0.0504125	0.108145	0.145025	0.150414	0.230257	0.265825
a43	0.0283695	0.0268969	0.0474118	0.120749	0.183845	0.184445	0.178695	0.229587
a61	0.0213665	0.018457	0.0301458	0.0863537	0.175649	0.211955	0.210346	0.245728
a62	0.0180972	0.0164117	0.0262484	0.0707204	0.157792	0.225615	0.253014	0.232102
a70	0.0131021	0.0118582	0.0185732	0.0459385	0.112176	0.203602	0.297444	0.297306
a54	0.00680747	0.00625724	0.0102431	0.0265679	0.072631	0.178628	0.340792	0.358073
a47	0.00397637	0.00347493	0.00543613	0.0127928	0.0324403	0.0941172	0.290477	0.557286
a37	0.00256289	0.00199556	0.00285509	0.00679891	0.0234975	0.0818788	0.341136	0.539275
a85	0.00180597	0.00128565	0.00184001	0.00466055	0.018031	0.0809973	0.276655	0.614724
a47	0.000989348	0.000800662	0.00139124	0.003338	0.0145702	0.0736389	0.303645	0.601627
a15	0.00122399	0.000938324	0.00157605	0.00386884	0.0155271	0.0718157	0.284318	0.620732
a44	0.00150446	0.00114269	0.001781	0.00420497	0.0154594	0.0646762	0.258965	0.652266
a7	0.000989628	0.000700987	0.000973594	0.00185823	0.00716546	0.0454582	0.267532	0.675322
a84	0.00383622	0.00318569	0.00412548	0.00523885	0.0149833	0.0660733	0.301304	0.601254
a82	0.0801238	0.0483187	0.0513573	0.0558395	0.0773767	0.14144	0.238158	0.307386
a3	0.246662	0.109045	0.05398	0.0441981	0.0495378	0.094112	0.163694	0.238771
a97	0.186571	0.102706	0.0533235	0.0442448	0.0580432	0.134214	0.183181	0.237717
a10	0.155813	0.0932876	0.0638585	0.0857676	0.113034	0.161389	0.15835	0.1685
a3	0.129742	0.0837867	0.0664917	0.0879526	0.0929157	0.13052	0.162242	0.24635
a10	0.109851	0.0686431	0.0578928	0.0753418	0.0794952	0.10664	0.17187	0.330265
a9	0.0965561	0.0613919	0.0566826	0.0722112	0.0731084	0.0955082	0.162872	0.381669
a97	0.0990508	0.0701927	0.0657171	0.0764116	0.0727601	0.0955267	0.152442	0.367899
</S>	0.0933133	0.0733272	0.0726503	0.0881357	0.0847773	0.108172	0.158563	0.321061
