 	il	a	raison	dans	cette	affaire	</S>
a66	0.511999	0.252405	0.0596222	0.0327255	0.0459115	0.050008	0.0473285
a87	0.519519	0.310091	0.0850403	0.0324746	0.0198933	0.0174231	0.0155588
a23	0.613981	0.278238	0.0452072	0.0164049	0.0139216	0.0159096	0.0163367
a38	0.480825	0.261044	0.0628463	0.0353137	0.0408393	0.0539561	0.0651755
a18	0.314538	0.198939	0.0954017	0.0622698	0.077309	0.0976662	0.153876
a96	0.389823	0.342928	0.110348	0.0333101	0.0368246	0.0400617	0.0467045
a90	0.240288	0.342564	0.212232	0.067543	0.0516718	0.0421376	0.0435642
a69	0.106807	0.222614	0.321582	0.129059	0.085718	0.0606657	0.0735541
a79	0.0812227	0.189948	0.318692	0.153216	0.0987563	0.0703294	0.0878358
a56	0.0878054	0.163175	0.290837	0.177132	0.109069	0.07952	0.0924625
a96	0.103459	0.153439	0.23235	0.17918	0.129614	0.095761	0.106197
a90	0.0775585	0.0995851	0.153842	0.192746	0.183977	0.142275	0.150017
a79	0.034616	0.0464676	0.0930969	0.211745	0.252938	0.188348	0.172789
a56	0.0139942	0.0179205	0.0429066	0.163461	0.295426	0.247781	0.218509
a96	0.0112922	0.0102233	0.0220995	0.116206	0.25636	0.282508	0.301311
a44	0.00815677	0.00567438	0.0083426	0.0569486	0.193404	0.31118	0.416293
a70	0.00523094	0.00352147	0.00544497	0.0393742	0.153208	0.322914	0.470306
a11	0.00254967	0.00180457	0.00248634	0.0155659	0.0701653	0.248838	0.65859
a0	0.00548991	0.00356419	0.00471672	0.0189962	0.0836146	0.279698	0.60392
a11	0.0127531	0.0074694	0.010707	0.0360221	0.120721	0.296644	0.515683
a70	0.0435911	0.0295967	0.031238	0.0674971	0.128942	0.252418	0.446717
a71	0.0102547	0.0090182	0.018762	0.0593209	0.133787	0.282096	0.486762
a9	0.0546656	0.0262345	0.0276575	0.0751146	0.134969	0.262715	0.418643
a87	0.36157	0.112835	0.043386	0.070556	0.0933053	0.141294	0.177054
a23	0.468279	0.23118	0.064519	0.0447883	0.0473719	0.0655275	0.0783347
a87	0.295705	0.149771	0.0399686	0.0608693	0.0690894	0.14324	0.241357
</S>	0.0385641	0.0241516	0.0173269	0.0528774	0.101723	0.262448	0.502909
