 	nous	avons	l'	habitude	de	boire	le	vin	de	palme	</S>
a66	0.23254	0.143961	0.107362	0.114839	0.0912181	0.0754082	0.0601529	0.0505193	0.047004	0.0412975	0.0356984
a87	0.251704	0.197968	0.171305	0.119106	0.0585105	0.0531286	0.0423866	0.034436	0.0276762	0.0203983	0.023382
a23	0.172067	0.158317	0.166532	0.148534	0.11349	0.112426	0.0621352	0.0248718	0.0130105	0.0127686	0.0158471
a83	0.208527	0.15839	0.171984	0.130481	0.0944263	0.0810337	0.0584374	0.0282751	0.019534	0.0193253	0.0295859
a88	0.306334	0.199348	0.17381	0.108725	0.0618819	0.0623093	0.0354144	0.0167673	0.0113961	0.00938945	0.0146245
a0	0.31678	0.201162	0.155987	0.107379	0.0750151	0.0645135	0.0404208	0.0211149	0.00838266	0.00457651	0.00466824
a31	0.251962	0.181387	0.131202	0.0869348	0.0739501	0.0753271	0.075401	0.0645996	0.0314532	0.0156611	0.0121218
a21	0.18798	0.157428	0.117087	0.0968893	0.0956858	0.0867719	0.101246	0.0848305	0.0387305	0.0198966	0.0134537
a12	0.133972	0.122898	0.0839988	0.0702268	0.078824	0.075044	0.108591	0.14227	0.0931986	0.0527256	0.0382511
a98	0.087883	0.085109	0.0655543	0.0685521	0.0845994	0.0769899	0.112723	0.145449	0.120533	0.088715	0.0638933
a47	0.0300094	0.034616	0.0344695	0.0536075	0.0891617	0.0944658	0.135046	0.187975	0.168614	0.0971179	0.0749168
a98	0.00910912	0.00808969	0.00922945	0.0223234	0.0509029	0.0575565	0.0876128	0.138506	0.209841	0.205467	0.201362
a79	0.0136965	0.0114088	0.0149858	0.0388718	0.0828488	0.102157	0.135854	0.167782	0.174587	0.13129	0.126519
a37	0.00381384	0.00284223	0.00389477	0.0111411	0.0309759	0.0491243	0.0803006	0.117504	0.185796	0.223437	0.29117
a44	0.000743731	0.000547866	0.000746212	0.00176337	0.0059779	0.0158101	0.0332802	0.0559355	0.145391	0.28662	0.453184
a93	0.000457647	0.000399772	0.000670301	0.00167254	0.00503652	0.0122095	0.0235425	0.0403816	0.1309	0.293403	0.491326
a70	0.000396357	0.00038347	0.000530023	0.00126615	0.00411075	0.00960744	0.0166324	0.0305509	0.121594	0.310462	0.504466
a4	0.000770353	0.000678298	0.000999479	0.00227882	0.00589476	0.0149299	0.0265666	0.0473648	0.135391	0.308031	0.457095
a57	0.000380593	0.000419364	0.000517733	0.00107375	0.00332947	0.00885845	0.0150657	0.0333808	0.107688	0.289123	0.540164
a3	0.000408316	0.0004444	0.000814279	0.00228712	0.00700827	0.0143772	0.0174056	0.0271372	0.0968766	0.270771	0.56247
a87	0.043856	0.035649	0.0486705	0.0725427	0.086758	0.083815	0.0612518	0.0559939	0.0915684	0.169439	0.250455
a23	0.124219	0.107298	0.118368	0.141573	0.144036	0.122281	0.0884667	0.0491592	0.0383346	0.0326923	0.0335733
a87	0.0306183	0.0278012	0.028038	0.0301421	0.0461028	0.0954117	0.0947317	0.116966	0.12717	0.165735	0.237284
</S>	0.00476946	0.00474042	0.00569715	0.00837595	0.0193358	0.045002	0.0542812	0.0994409	0.159075	0.24321	0.356072
